BF Bremerhaven	Zur Hexenbrücke 12	27568 Bremerhaven
Florian Bremerhaven 01/10-01	KdoW	(Amtsleiter/A-Dienst)
Florian Bremerhaven 01/10-02	KdoW	(A-Dienst)
Florian Bremerhaven 01/10-03	KdoW	
Florian Bremerhaven 01/10-04	KdoW	
Florian Bremerhaven 01/10-05	KdoW	
Florian Bremerhaven 01/10-06	KdoW	
Florian Bremerhaven 01/10-07	KdoW	
Florian Bremerhaven 01/10-08	KdoW	
Florian Bremerhaven 01/11-01	ELW 1	
Florian Bremerhaven 01/11-02	ELW 1	
Florian Bremerhaven 01/11-03	ELW 1	B-Dienst
Florian Bremerhaven 01/17-01	MTW	
Florian Bremerhaven 01/17-02	MTW	
Florian Bremerhaven 01/17-03	MTW	
Florian Bremerhaven 01/24-01	TLF 16/25	
Florian Bremerhaven 01/24-02	TLF 16/25 (a.D.)	
Florian Bremerhaven 01/26-01	TLF 24/50	
Florian Bremerhaven 01/30-01	DLAK 23-12	
Florian Bremerhaven 01/30-02	DLAK 23-12	
Florian Bremerhaven 01/30-04	DLK 23-12	
Florian Bremerhaven 01/48-01	HLF 20	
Florian Bremerhaven 01/48-02	HLF 24/20-2	
Florian Bremerhaven 01/48-03	HLF 24/20-2	
Florian Bremerhaven 01/50-01	GW-Technik	
Florian Bremerhaven 01/53-01	FwK 60	
Florian Bremerhaven 01/57-01	GW-Wasserrettung	
Florian Bremerhaven 01/59-01	GW-HöRG	
Florian Bremerhaven 01/59-02	MTW	
Florian Bremerhaven 01/59-03	MZF	
Florian Bremerhaven 01/63-01	GW-L	
Florian Bremerhaven 01/63-02	GW-L	
Florian Bremerhaven 01/65-01	WLF	
Florian Bremerhaven 01/66-01	WLF	
Florian Bremerhaven 01/67-01	WLF-Kran	
Florian Bremerhaven 01/68-01	GW-L1	
Florian Bremerhaven 01/69-01	AB Wache	
Kater Bremerhaven 01/71-01	CBRN ErkKw	
Kater Bremerhaven 01/72-01	DEKON-P	
Florian Bremerhaven 01/73-01	GW-U	
Florian Bremerhaven 01/78-01	FwA-RBA 44-GWW	
		
	FwA-RBA1	
	FwA-RBA2	
	FwA-SE	
	FwA-Babsi	(Baumbiegesimulator)
		
Abrollbehälter:		
		
	AB-Atemschutz	
	AB-Jugendfeuerwehr	
	AB-MG	Mulde groß
	AB-MK	Mulde klein
	AB-SEE	Schiffsbrandbekämpfung
	AB-SM4	Schaummitteltank
	AB-SM6	Schaummittel 6000
	AB-Tank 7000	
	AB-TEL	
	AB-TR	(Technische Rettung)
	AB-U	
		
FF Bremerhaven-Weddewarden	Morgensternstraße 2	27580 Bremerhaven
Florian Bremerhaven 04/17-01	MTF	
Florian Bremerhaven 04/44-01	LF-KatS	
Florian Bremerhaven 04/48-01	HLF 20	
	FwA-JF	
		
FF Bremerhaven-Lehe	Auestraße 18-20	27576 Bremerhaven
Florian Bremerhaven 05/17-01	MTW	
Florian Bremerhaven 05/44-01	LF-KatS	
Florian Bremerhaven 05/48-01	HLF 20	
Florian Bremerhaven 05/62-01	SW2000-Tr	
	FwA-JF	
		
FF Bremerhaven-Wulfsdorf	Lindenallee 23	27568 Bremerhaven
Florian Bremerhaven 06/24-01	TLF 16/25	
Florian Bremerhaven 06/42-01	MLF	
	FwA-JF	
