Feuerwehr Bremen		
		
FuRW 1	Am Wandrahm 24	28195 Bremen
Florian Bremen 01/11-01	ELW 1 Amtsleiter	
Florian Bremen 01/11-02	ELW 1 D-Dienst	
Florian Bremen 01/11-03	ELW 1 ELD-Stadt	
Florian Bremen 01/11-04	ELW 1 OrgL RD	
Florian Bremen 01/11-05	ELW 1 stv. Amtsleiter	
Florian Bremen 01/11-06	ELW 1 Res-ELW des ELD-Stadt	
Florian Bremen 01/18-02	GW-Instandsetzung/Werkstatt	
Florian Bremen 01/19-01	MTF	
Florian Bremen 01/33-01	DLA(K) 23/12 CS	
Florian Bremen 01/43-01	HLF 20/16	
Florian Bremen 01/43-02	HLF 16/16	
Florian Bremen 01/56-01	GW-A	
Florian Bremen 01/56-02	GW-A	Reserve
Florian Bremen 01/58-01	GW-W	Neufahrzeug 2022
Florian Bremen 01/58-02	GW-W	Reserve
Florian Bremen 01/72-01	KdoW	
Florian Bremen 01/72-02	KdoW	
Florian Bremen 01/72-04	KdoW	
Florian Bremen 01/72-05	KdoW	
Florian Bremen 01/72-06	KdoW	
Florian Bremen 01/72-07	KdoW	
Florian Bremen 01/72-08	KdoW	
Florian Bremen 01/72-09	KdoW	
Florian Bremen 01/72-10	KdoW	Personalrat
Florian Bremen 01/72-11	KdoW	
Florian Bremen 01/72-12	KdoW	
Florian Bremen 01/72-13	KdoW	
Florian Bremen 01/72-15	KdoW	
Florian Bremen 01/88-01	FwA-RTB 1	
		
Florian Bremen 01/18-01	GW-LRD	
Florian Bremen 01/81-01	ITW	steht beim DRK Schwachhausen
Florian Bremen 01/83-01	RTW 11	(P)
Florian Bremen 01/83-10	RTW 12	(P-Res)
Florian Bremen 10/07-02	KdoW LNA	
Florian Bremen 10/83-01	RTW 13	(Des-Tausch) (rot)
Florian Bremen 10/83-02	RTW	(Des-Tausch) (rot)
Florian Bremen 10/82-01	NEF Reserve	
Florian Bremen 10/82-02	NEF Reserve	
		5 RTW der techn. Reserve TB/1+2 und MB/1-3
		
FuRW 2	Benningsenstraße 16	28207 Bremen
Florian Bremen 02/19-01	MTF	
Florian Bremen 02/24-01	TLF 4000	
Florian Bremen 02/33-01	DLAK 23/12	L32
Florian Bremen 02/43-01	HLF 20	
Florian Bremen 02/43-03	HLF 16/16	Reserve
Florian Bremen 02/72-01	KdoW	
Florian Bremen 02/29-01	FwA-P250	
Florian Bremen 02/88-02	FwA RTB-W	
Florian Bremen 02/88-03	FwA RTB 2	
		
Florian Bremen 02/83-01	RTW 21	
Florian Bremen 02/83-02	RTW 22 Reserve	
Florian Bremen 02/83-03	RTW 23 Primär-Reserve	
		
FuRW 3	Osterholzer Heerstraße 75	28307 Bremen
Florian Bremen 03/33-01	DLA (K) 23-12	
Florian Bremen 03/43-01	HLF 20/16	
Florian Bremen 03/72-01	KdoW	
Florian Bremen 03/88-01	FwA-RTB	
Florian Bremen 03/83-01	RTW	
		
FuRW 4	Woltmershauser Allee 1	28199 Bremen
Florian Bremen 04/18-01	GW-L	
Florian Bremen 04/18-02	GW-PSA-Hygiene	Neufahrzeug 2023
Florian Bremen 04/18-03	GW Schlauch	Ehem. GW-Reserve, kann als GW-A, GW-U, GW-L und GW-Wasser bestückt werden
Florian Bremen 04/18-04	GW-L (PSA)	
Florian Bremen 04/18-05	GW-L Reserve	
Florian Bremen 04/19-01	MTF	
Florian Bremen 04/33-01	DLA(K) 23/12 CS	
Florian Bremen 04/33-02	DLA(K) 23/12 CS	Reserve
Florian Bremen 04/43-01	HLF 20/16	
Florian Bremen 04/49-01	FwA-Schlauch	
Florian Bremen 04/72-01	KdoW Abschnittsleiter	
Florian Bremen 04/72-02	KdoW	
Florian Bremen 04/88-01	FwA-RTB	
		
Florian Bremen 04/83-01	RTW 41 (P)	
Florian Bremen 04/83-10	RTW Takt. Res. 4	
		
FuRW 5	Gottlieb-Daimler-Straße 8	28237 Bremen
Florian Bremen 05/11-03	ELW	ELD-West
Florian Bremen 05/14-01	ELW-Umwelt	
Florian Bremen 05/18-01	GW-Löschmittel Werkstatt	
Florian Bremen 05/33-01	DLK 23/12	L32
Florian Bremen 05/43-01	HLF 20	
Florian Bremen 05/43-02	HLF 20/16	
Florian Bremen 05/54-01	GW-Umweltschutz	
Florian Bremen 05/54-02	GW-Umweltschutz	Reserve
Florian Bremen 05/65-01	WLF-Kran 5/1	
Florian Bremen 05/65-02	WLF 5/2	
Florian Bremen 05/69-03	AB-SLM	
Florian Bremen 05/69-06	AB-Mulde 5/1	
Florian Bremen 05/69-11	AB-Nachschub-Gefahrgut	
Florian Bremen 05/69-12	AB-Rüst	
Florian Bremen 05/69-16	AB-Nachschub	
Florian Bremen 05/69-21	AB-Umwelt	
Florian Bremen 05/69-25	Gabelstapler	
Florian Bremen 05/69-28	Teleskoplader	
Florian Bremen 05/69-94	AB-ÖSK 104	
Florian Bremen 05/69-95	AB-ÖSK 106	
Florian Bremen 05/72-01	KdoW-Abschnittsleiter	
Florian Bremen 05/74-01	Fw-Hub	
Florian Bremen 05/88-01	FwA-RTB	
		
Florian Bremen 05/83-01	RTW 51 (P)	
Florian Bremen 05/83-10	RTW Takt. Res. 5 (P)	
Florian Bremen 05/85-01	RTW-Sonder 1	
Florian Bremen 05/85-02	RTW-Sonder 2	
Florian Bremen 05/87-01	GRTW	
Florian Bremen 05/69-24	AB-RD (MANV)	
Florian Bremen 05/74-20	AB-Rett	Gerätekoffer Rettungszelle
		4 RTW der Technischen Reserve FW5/1-5/4
Standort Kap-Hoorn-Straße:		
Florian Bremen 05/69-27	Gabelstapler	
Florian Bremen 05/69-96	AB-Trellboom-SEA	
Florian Bremen 05/69-97	AB-ÖSK 107	
		
FuRW 6	Aumunder Feldstraße 41	28757 Bremen
Florian Bremen 06/24-01	TLF 4000	
Florian Bremen 06/33-01	DLA(K) 23/12 CS	
Florian Bremen 06/43-01	HLF 20/16	
Florian Bremen 06/65-01	WLF	
Florian Bremen 06/72-01	KdoW	
		
Anhänger:		
Florian Bremen 06/29-01	FwA-Löschcontainer	
Florian Bremen 06/88-01	FwA-RTB	
		
Abrollbehälter:		
Florian Bremen 06/69-10	AB-Bau/Technik	
Florian Bremen 06/69-20	AB-Schaum	
Florian Bremen 06/69-26	AB-WF 6	
		
Geräteprüfzentrum:		
