Wach- /Funkrufname	Typ	Kommentar
F02 Einsatzabteilung	Wendenstraße 251	20537 Hamburg
Florian Hamburg 02 KDOW 1	KdoW	
Florian Hamburg 02 KDOW 2	KdoW	HH-4060E
Florian Hamburg 02 LNA 01	KdoW LNA	
Florian Hamburg 02 LNA 01	KdoW LNA	
		
F03 Technik & Logistik	Großmannstraße 10	20539 Hamburg
Florian Hamburg 03 GW-Logistik	GW-L	
Florian Hamburg 03 GW-Logistik	GW-L	
Florian Hamburg 03 GW-Logistik	GW-L	
Florian Hamburg 03 GW-Logistik	GW-L	
Florian Hamburg 03 KdoW	KdoW	
Florian Hamburg 03 KdoW	KdoW	
Florian Hamburg 03 KdoW	KdoW	
	Werkstattwagen Geräteprüfgruppe	
	Werkstattwagen KFZ-Technik	
	Werkstattwagen IuK	
+ Außenstelle Allgemeine Reserve	Durchdeich 62	21037 Hamburg
Florian Hamburg 03 Dekon-P	GW-Dekon-P	(ehem. CURSL Dekon-P)
Florian Hamburg 03 GW-FM	GW-FM	
Florian Hamburg 03 KdoW	KdoW	
Florian Hamburg 03 LF 16	LF 16	
Florian Hamburg 03 NEF ?	NEF	Technische Reserve
Florian Hamburg 03 RTW ?	RTW	Technische Reserve
Florian Hamburg 03 RTW ?	RTW	Technische Reserve
	FwA-FüLa	
+ Außenstelle Reservehalle Ost	Mühlendamm	
Florian Hamburg 03 Dekon-P	GW-Dekon-P	(ehem. LOKS Dekon-P)
Florian Hamburg 03 NEF A?	NEF	Strategische Reserve
Florian Hamburg 03 RTW ?	RTW	Strategische Reserve
Florian Hamburg 03 RTW ?	RTW	Strategische Reserve
Florian Hamburg 03 RTW ?	RTW	Technische Reserve
Florian Hamburg 03 RTW ?	RTW	Technische Reserve
Florian Hamburg 03 RTW ?	RTW	Technische Reserve
Florian Hamburg 03 RTW ?	RTW	Technische Reserve
Florian Hamburg 03 RTW ?	RTW	Technische Reserve
Florian Hamburg 11 RTW M	RTW	Sonderbedarf
Florian Hamburg 12 RTW M	RTW	Sonderbedarf
Florian Hamburg 13 RTW M	RTW	Sonderbedarf
Florian Hamburg 15 RTW M	RTW	Sonderbedarf
Florian Hamburg 16 RTW M	RTW	Sonderbedarf
Florian Hamburg 21 RTW M	RTW	Sonderbedarf
Florian Hamburg 22 RTW M	RTW	Sonderbedarf
Florian Hamburg 23 RTW M	RTW	Sonderbedarf
Florian Hamburg 25 RTW M	RTW	Sonderbedarf
Florian Hamburg 33 RTW M	RTW	Sonderbedarf
Florian Hamburg GW-BHP	GW-BHP	Halterverantwortlichkeit: F34. Dient nun der medizinischen Task Force
+ Außenstelle Tilsiter Straße	Tilsiter Straße	Standort unbekannt (Stand 13.10.2021)
Florian Hamburg 03 RTW ?	RTW	Technische Reserve
Florian Hamburg 03 RTW ?	RTW	Technische Reserve
		
		
F05 Feuerwehrakademie Hamburg	Bredowstraße 4	22113 Hamburg
Florian Hamburg 05 BFW	BFW	
Florian Hamburg 05 DLK	DLA (K) 26-12	
Florian Hamburg 05 DLK	DLA (K) 23-12 CS	
Florian Hamburg 05 DLK	DLA (K) 23-12 2x	
Florian Hamburg 05 DLK	DLK 23-12 PLC III 2x	
Florian Hamburg 05 ELW	ELW	Reservefahrzeug für den ORGL sowie wie den U-Dienst.
Florian Hamburg 05 ELW OrgL	ELW-OrgL	
	Fahrschulwagen	
	Fahrschulwagen	
	Fahrschulwagen	
Florian Hamburg 05 GW-BHP	GW-BHP	
Florian Hamburg 05 GW-FM	GW-FM	a.d.?
Florian Hamburg 05 GW-Rüst 2	GW-R2	
Florian Hamburg 05 GW	GW	HH-2800, Vmt. Hauptsächlich Log.
Florian Hamburg 05 HLF 1	HLF 20	
Florian Hamburg 05 HLF 2	HLF 20	
Florian Hamburg 05 HLF 3	HLF 20	
Florian Hamburg 05 HLF 4	HLF 20	
Florian Hamburg 05 HLF 5	HLF 20	
Florian Hamburg 05 HLF 6	HLF 20	
Florian Hamburg 05 HLF 7	HLF 20	
Florian Hamburg 05 HLF 8	HLF 20	
Florian Hamburg 05 HLF 9	HLF 20	
Florian Hamburg 05 HLF 10	HLF 20	
Florian Hamburg 05 HLF 11	HLF 20	
Florian Hamburg 05 HLF 12	HLF 20	
Florian Hamburg 05 IRTW A	IRTW	
Florian Hamburg 05 KdoW	KdoW	
Florian Hamburg 05 KdoW	KdoW	
Florian Hamburg 05 Kleinboot	Kleinboot	
Florian Hamburg 05 LF 16 KatS	LF 16 KatS	
Florian Hamburg 05 LF 16/12	LF 16/12	
Florian Hamburg 05 LF-Kats	LF-Kats	
	MOBAS	
Florian Hamburg 05 MTW 1 ?	MTW	Mit in RD Soll aufgeführt
Florian Hamburg 05 MTW 2 ?	MTW	Mit in RD Soll aufgeführt
