Name	Kennung	Abkürzung
Allermöhe-Billwerder	2961	ALLBI
Alsterdorf	1955	ALSTD
Altengamme	2952	ALTG
Altona	1928	ALT
Barmbek	2926	BARMB
Bergedorf	2941	BERGD
Bergstedt	2932	BERGS
Berliner Tor	2969	BERLT
Berne	2911	BERNE
Bille	2947	BILLE
Billstedt-Horn	2948	BILLH
Blankenese	1922	BLANK
Boberg	2944	BOBG
Bramfeld	2921	BRAMF
Cranz	3934	CRANZ
Curslack	2951	CURSL
Duvenstedt	2934	DUVST
Eidelstedt	1932	EIDST
Eimsbüttel	1937	EIMSB
Eißendorf	3926	EISSD
Eppendorf	1951	EPPD
Farmsen	2912	FARMS
Finkenwerder	3931	FINKW
Fischbek	3925	FSCHB
Francop	3932	FRANC
Fünfhausen	2968	FUEH
Fuhlsbüttel	1952	FUHL
Groß Borstel	1954	GBORS
Groß Flottbek	1925	FLOTB
Harburg	3922	HARB
Hausbruch	3921	HAUSB
Hohendeich	2964	HOHED
Hummelsbüttel	2924	HUMMB
Kirchdorf	3911	KICHD
Kichsteinbek	2945	KICHS
Kirchwerder/Nord	2956	KIWN
Kirchwerder/Süd	2955	KIWS
Krauel	2954	KRAUL
Langenhorn	1956	LANGH
Langenhorn/Nord	1953	LANGN
Lehmsahl-Mellingstedt	2933	LEMSM
Lohbrügge	2943	LOHBR
Lokstedt	1935	LOKS
Lurup	1926	LURUP
Marmsdorf	3916	MARMS
Meiendorf	2915	MEID
Moorburg	3923	MOORB
Moorfleet	2967	MOORF
Moorwerder	3912	MOORW
Nettelnburg	2942	NETTB
Neudorf	2965	NEUD
Neuenfelde/Nord	3933	NEUFN
Neuenfelde/Süd	3935	NEUFS
Neuengamme	2953	NEUG
Neugraben	3924	NEUGR
Neuland	3913	NEUL
Neuwerk	3936	NEUW
Niendorf	1934	NIEND
Nienstedten	1923	NIENS
Öjendorf	2946	OEJD
Ohlstedt	2936	OHLST
Oldenfelde	2914	OLDF
Oldenfelde/Siedlung	2913	OLDFS
Osdorf	1924	OSD
Ottensen Bahrenfeld	1929	OTTS
Pöseldorf	1938	POESD
Poppenbüttel	2923	POPPB
Rahlstedt	2916	RAHLS
Reitbrook	2963	REITB
Rissen	1921	RISS
Rönneburg	3914	ROENB
Rothenburgsort Veddel	3917	ROTVE
Sasel	2925	SASEL
Schnelsen	1933	SCHNL
Sinstorf	3915	SINST
Spadenland	2966	SPADL
Stellingen	1931	STELG
Sülldorf Iserbrook	1927	SUELD
Tonndorf	2917	TONND
Volksdorf	2931	VOLKD
Wandsbek Marienthal	2918	WDBMA
Warwisch	2951	WARW
Wellingsbüttel	2922	WELLB
Wilhelmsburg	3918	WILH
Winterhude	2928	WINTH
Wohldorf	2935	WOHLD
