Falck RW Hamburg-Bahrenfeld	Rondenbarg 7	
B-141	ITW	
RD-366	Verlegungs-RTW	
RD-XXX	Verlegungs-RTW	
B-211	KTW	
B-218	KTW	
B-221	KTW	
B-241	KTW	
B-242	KTW	
B-243	KTW	
B-244	KTW	
B-247	KTW	
B-252	KTW	
B-257	KTW	
B-541	KTW	
B-551	KTW	
14 weitere KTWs		
4 AEF		
		
Falck RW Barmbek	Mexikoring 11	
RD-342	Verlgeungs-RTW	
BA-413	KTW	
BA-422	KTW	
BA-442	KTW	
BA-470	KTW	
BA-532	KTW	
BA-535	KTW	
BA-543	KTW	
BA-544	KTW	
BA-548	KTW	
BA-557	KTW	
BA-558	KTW	
BA-565	KTW	
BA-590	KTW	
1 AEF		
		
Falck RW Hamburg-Bramfeld	Gründgensstraße 10	
BF-508	KTW	
BF-520	KTW	
BF-521	KTW	
BF-522	KTW	
BF-526	KTW	
BF-536	KTW	
BF-552	KTW	
BF-572	KTW	
BF-574	KTW	
BF-575	KTW	
BF-576	KTW	
BF-577	KTW	
BF-578	KTW	
BF-582	KTW	
BF-586	KTW	
		
Falck RW Hamburg-Harburg	Eißendorfer Pferdeweg 52	
HA-421	KTW	
HA-424	KTW	
HA-425	KTW	
HA-438	KTW	
HA-494	KTW	
HA-516	KTW	
HA-524	KTW	
HA-525	KTW	
HA-563	KTW	
HA-566	KTW	
HA-595	KTW	
KV-660	AEF	
KV-663	AEF	
KV-682	AEF	
		
		
Falck RW Hohenfelde	Alfredstraße 9	
HO-547	KTW	
HO-587	KTW	
HO-597	KTW	
KV-664	AEF	
		
Falck RW Hamburg-Langenhorn	Tangstedter Landstraße 400	
RD-361	ITW	in Kooperation mit AK Nord
LA-545		
LA-546		
LA-581		
LA-583		
LA-588		
LA-589		
1 AEF		
		
Falck RW Lohbrügge	Weberade 9-11	
LO-218	KTW	
LO-237	KTW	
LO-259	KTW	
LO-298	KTW	
LO-237	KTW	
LO-429	KTW	
LO-518	KTW	
LO-519	KTW	
LO-523	KTW	
LO-584	KTW	
LO-598	KTW	
LO-507	KTW	
KV-626	AEF	
		
Falck RW Poppenbüttel	Hinsbleek 2	
1 AEF		
		
Falck RW Rothenburgsort	Ausschläger Billdeich 50	
RO-265	KTW	
RO-267	KTW	
RO-268	KTW	
RO-269	KTW	
RO-271	KTW	
RO-272	KTW	
RO-273	KTW	
RO-274	KTW	
RO-275	KTW	
RO-276	KTW	
RO-277	KTW	
RO-278	KTW	
RO-279	KTW	
5x KTW		
		
Falck RW UK Eppendorf		
EP-361	ITW	
		
Falck RW Wandsbek	Holstenhofkamp 12	
RD-344	Reserve-ITW/NAW	
RD-351	NAW	
RD-346	RTW	24h
RD-354	RTW	
RD-359	RTW	
RD-402	RTW	
W-245	KTW	
W-248	KTW	
W-253	KTW	
W-264	KTW	
W-266	KTW	
W-286	KTW	
W-321	KTW	Oldtimer/Eiserne Reserve (MB G Klasse)
W-539	KTW	
W-542	KTW	
W-547	KTW	
W-549	KTW	
W-559	KTW	
W-562	KTW	
W-563	KTW	
W-564	KTW	
W-566	KTW	
W-569	KTW	
W-585	KTW	
W-586	KTW	
W-587	KTW	
W-588	KTW	
W-623	AEF	
W-641	AEF	
W-655	AEF	
ASN-1	Werkstatt/Logisitik	
ASN-2	Werkstatt/Logisitik	
ASN-3	Werkstatt/Logisitik	"""Tweety"""
KDOW 20/50	KDOW	OLRD/TEL/Reserve-NEF
KDOW 30/11	KDOW	MHW / Rettungsdienstleiter
weitere Reservefahrzeuge		Europas größte Rettungswache
