Station Code / Callsign,Station Name / Unit-Type,Address,Comment,Coordinates
HQ,HAFS West,"Fire HQ, Hounslow TW6 1QG, United Kingdom",,"51.47127878105647, -0.4700239328114311"
Fire 1,Arifield Firefighting Command Vehicle,,2014 Land Rover Discovery (UK#OE14 BKL) (VIN#SALLAAAG5EA715279),
Fire 2,Crash Tender,,2011 Rosenbauer (UK#YK12 CEN) (VIN#VA96WF682BLRB1028),
Fire 3,Crash Tender,,2020 Rosenbauer (UK#LC49 BUF),
Fire 4,Crash Tender,,2012 Rosenbauer (UK#YJ62 AHF),
Fire 8,Fire Hose Retrieval Unit,,Scania P360 / Anglus Fire Hose Retrieval Unit (UK#X428 ACF),
Fire 9,Rescue Platform,,Scania P380 / Angloco / Bronto Skylift (UK#RX57 DJD),
Fire 10,4x2 pumper,,2022 Scania P280 B 4X2 pumper (UK#LD22RBV) (VIN#YS2P4X20002187563),
Fire 11,Crash Tender,,2012 Rosenbauer crash tender,
Fire 14,Rescue Stairs,,Rosenbauer Scania (UK#LJ16 KMF),
Fire 15,Tunnel response vehicle,,2019 Toyota Hilux (UK#RE19 OYP) (VIN#AHTBB3CD901756958),
Fire 20,RV,,2015 Land Rover Discovery (UK#OV15 NFP) (VIN#SALLAAAG5FA768500) (Ex-Fire 1) -- Medical Response?,
,,,,
FE,HAFS East,"Elgin Cres, Hounslow TW6 2RX, United Kingdom",,"51.475463696502864, -0.4281471348459145"
Fire 5,Crash Tender,,2012 Rosenbauer,
Fire 6,Crash Tender,,2012 Rosenbauer (UK#YH13 TYA) (VIN#VA96WF688CLRB1052),
Fire 7,Crash Tender,,2020 Rosenbauer crash tender (UK#LC69BUF) (VIN#VA96WK68XLRB1013),
Fire 12,Crash Tender,,2012 Rosenbauer crash tender (UK#YC13 LXM) (VIN#VA96WF68XCLRB1053) - Reserve?,
,Emergency medical equipment trailer,,,
