Station Code / Callsign,Station Name / Unit-Type,Address,Comment,Coordinates
,Waterloo Headquarters,220 Waterloo Road London,EOC,
,,,,
North Central Area,,,,
C8,Mill Hill Ambulance Station,"10 Hartley Ave, London NW7 2HX, United Kingdom",,"51.615042681605104, -0.24346232409574065"
C801,DCA,,Mercedes Sprinter,
C802,DCA,,Mercedes Sprinter,
C803,DCA,,Mercedes Sprinter,
C804,DCA,,Mercedes Sprinter,
C850,FRU,,Volkswagen Tiguan,
C851,FRU,,Volkswagen Tiguan,
C852,FRU,,Volkswagen Tiguan,
C853,FRU,,Skoda Octavia,
,,,,
D2,Barnet Ambulance Station,"144 Station Rd, Barnet EN5 1TE, United Kingdom",,"51.647166918182144, -0.1859973047117958"
D299,CTM,,Volvo XC90,
D201,DCA,,Mercedes Sprinter,
D202,DCA,,Mercedes Sprinter,
D203,DCA,,Mercedes Sprinter,
D204,DCA,,Mercedes Sprinter,
D250,FRU,,Volkswagen Tiguan,
D251,FRU,,Volkswagen Tiguan,
D252,FRU,,Skoda Octavia,
,,,,
D4,Friern Barnet Ambulance Station,"272a Colney Hatch Ln, London N11 3DD, United Kingdom",Group station,"51.60858500558894, -0.15398412368544187"
UP64,APP,,Volvo XC90,
D499,CTM,,Volvo XC90,
D401,DCA,,Mercedes Sprinter,
D402,DCA,,Mercedes Sprinter,
D403,DCA,,Mercedes Sprinter,
D404,DCA,,Mercedes Sprinter,
D405,DCA,,Mercedes Sprinter,
D406,DCA,,Mercedes Sprinter,
D407,DCA,,Mercedes Sprinter,
D408,DCA,,Mercedes Sprinter,
D409,DCA,,Mercedes Sprinter,
D410,DCA,,Mercedes Sprinter,
D411,DCA,,Mercedes Sprinter,
D412,DCA,,Mercedes Sprinter,
D450,FRU,,Volkswagen Tiguan,
D451,FRU,,Volkswagen Tiguan,
D452,FRU,,Volkswagen Tiguan,
D453,FRU,,Skoda Octavia,
D454,FRU,,Skoda Octavia,
IR21,IRO,,Mercedes Vito,
,,,,
E1,Bloomsbury Ambulance Station,"19 Herbrand St, London WC1N 1HP, United Kingdom",,"51.52489188087816, -0.12657842054440321"
E101,DCA,,Mercedes Sprinter,
E102,DCA,,Mercedes Sprinter,
E103,DCA,,Mercedes Sprinter,
E104,DCA,,Mercedes Sprinter,
E150,FRU,,Volkswagen Tiguan,
E151,FRU,,Skoda Octavia,
,,,,
E3,Camden Ambulance Station,"5 Cressy Rd, London NW3 2NA, United Kingdom",Group station,"51.5539025449009, -0.16118005951665748"
E399,CTM,,Volvo XC90,
E101,DCA,,Mercedes Sprinter,
E102,DCA,,Mercedes Sprinter,
E103,DCA,,Mercedes Sprinter,
E104,DCA,,Mercedes Sprinter,
E105,DCA,,Mercedes Sprinter,
E106,DCA,,Mercedes Sprinter,
E107,DCA,,Mercedes Sprinter,
E108,DCA,,Mercedes Sprinter,
E109,DCA,,Mercedes Sprinter,
E110,DCA,,Mercedes Sprinter,
E111,DCA,,Mercedes Sprinter,
E112,DCA,,Mercedes Sprinter,
E350,FRU,,Volkswagen Tiguan,
E351,FRU,,Volkswagen Tiguan,
E352,FRU,,Volkswagen Tiguan,
E353,FRU,,Skoda Octavia,
,,,,
G1,Islington Ambulance Station,"88 Brewery Rd, London N7 9NT, United Kingdom",North Central Sector HQ / Training station,"51.544479624427225, -0.12388735676309313"
G199,CTM,,Volvo XC90,
G101,DCA,,Mercedes Sprinter,
G102,DCA,,Mercedes Sprinter,
G103,DCA,,Mercedes Sprinter,
G104,DCA,,Mercedes Sprinter,
G105,DCA,,Mercedes Sprinter,
G106,DCA,,Mercedes Sprinter,
G107,DCA,,Mercedes Sprinter,
G108,DCA,,Mercedes Sprinter,
G109,DCA,,Mercedes Sprinter,
G110,DCA,,Mercedes Sprinter,
G111,DCA,,Mercedes Sprinter,
G112,DCA,,Mercedes Sprinter,
G150,FRU,,Volkswagen Tiguan,
G151,FRU,,Volkswagen Tiguan,
G152,FRU,,Volkswagen Tiguan,
G153,FRU,,Skoda Octavia,
G154,FRU,,Skoda Octavia,
,,,,
H1,Chase Farm Ambulance Station,"22 Enders Close, Enfield EN2 8JR, United Kingdom",,"51.66577256176633, -0.10624063967600375"
H101,DCA,,Mercedes Sprinter,
H102,DCA,,Mercedes Sprinter,
H103,DCA,,Mercedes Sprinter,
H104,DCA,,Mercedes Sprinter,
H105,DCA,,Mercedes Sprinter,
H106,DCA,,Mercedes Sprinter,
H107,DCA,,Mercedes Sprinter,
H108,DCA,,Mercedes Sprinter,
H109,DCA,,Mercedes Sprinter,
H150,FRU,,Volkswagen Tiguan,
H151,FRU,,Volkswagen Tiguan,
H152,FRU,,Skoda Octavia,
H153,FRU,,Skoda Octavia,
,,,,
H3,Edmonton Ambulance Station,"93 Windmill Rd, London N18 1NJ, United Kingdom",Group station,"51.61949824452792, -0.08103762661489423"
H301,DCA,,Mercedes Sprinter,
H302,DCA,,Mercedes Sprinter,
H303,DCA,,Mercedes Sprinter,
H304,DCA,,Mercedes Sprinter,
H305,DCA,,Mercedes Sprinter,
H306,DCA,,Mercedes Sprinter,
H307,DCA,,Mercedes Sprinter,
H308,DCA,,Mercedes Sprinter,
H309,DCA,,Mercedes Sprinter,
