Station Code / Callsign,Station Name / Unit-Type,Address,Comments
Northern Command (A),,,
A21,Paddington,156 Harrow Road,Built 1969
A211,DPL,,DPL 151 - 2017 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX66 JVK)
A212,DPL,,DPL 254 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WP68 TKD)
A213,TL,,TL 60A - 2020 Scania L360 Turntable Ladder / Emergency One / Magirus M32L-AS (2400/-/32M) (#EY20 YLP)
A216,FRU,,FRU 38 - 2021 Mercedes Benz Atego 1527F / Emergency One (#WX71 VHZ) (Ex-H276)
A21S,ORV,,Station Manager
,,,
A23,Euston,172 Euston Road,Built 1902
A231,DPL,,DPL 302 - 2019 Mercedes Benz Atego / Emergency One (2000/1365/75F) (#WX69 ZFP)
A236,FRU,,FRU 31 - 2021 Mercedes Benz Atego 1527F / Emergency One (#WN21 PFA) (Ex-A216)
A23S,ORV,,2023 BMW 420D M Sport (#LF72 AJR)
,,,
A24,Soho,126 Shaftesbury Avenue,Built 1984
A241,DPL,,DPL 313 - 2020 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX20 ZYB)
A242,DPL,,DPL 256 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU19 JLO)
A243,TL,,TL 61A - 2020 Scania L360 Turntable Ladder / Emergency One / Magirus M32L-AS (2400/-/32M) (#EY70 YXR)
A24S,ORV,,2022 Toyota RAV4 VVT-I (#FV22 LXN)
,,,
A28,Dowgate,94-95 Upper Thames Street,Built 1976
A281,DPL,,DPL 303 - 2020 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX20 ZHA)
A28S,ORV,,Station Manager
OK12,FIV,,FIV 7 - 2018 Ford Transit Custom 310 Trend L2 M (#LG18 FVB)
OK13,FIV,,FIV 8 - 2018 Ford Transit Custom 310 Trend L2 M (#LG18 FTY)
OK14,FIV,,FIV 9 - 2018 Ford Transit Custom 310 Trend L2 M (#LG18 FPN)
OK15,FIV,,FIV 10 - 2018 Ford Transit Custom 310 Trend L2 M (#LG18 FOA)
OK16,FIV,,FIV 11 - 2018 Ford Transit Custom 310 Trend L2 M (LG18 FNR)
OK17,FIB,,FID 3 - 2018 Ford Transit Custom 310 Trend L2 M (#LG18 FMK)
,,,
A30,Islington,278 Upper Street,Built 1992
A301,DPL,,DPL 232 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU18 FJA)
A306,FRU,,FRU 36 - 2021 Mercedes Benz Atego 1527F / Emergency One (#WX71 VHW) (Ex-E216)
A30S,ORV,,Station Manager
,,,
A31,Holloway,270-282 Hornsey Road,Built 1975
A311,DPL,,DPL 307 - 2020 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX20 ZHE)
A31S,ORV,,Station Manager
CU2,CSU,,CSU 13 - 2023 Optare Solo SR / WH Bence (#LK23 DWL)
,,,
A32,Hornsey,108 Park Avenue South,Built 1963
A321,DPL,,DPL 246 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WP68 THZ)
A322,DPL,,DPL 292 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX69 ZBC)
,,,
A33,Tottenham,49 St. Loys Road,Built 1966
A331,DPL,,DPL 238 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU68 LWT) (Ex-H381)
A332,DPL,,DPL 266 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU19 JNV)
A333,TL,,TL 64A - 2020 Scania L360 Turntable Ladder / Emergency One / Magirus M32L-AS (2400/-/32M) (#EY70 YXV)
A33S,ORV,,Station Manager
,,,
A34,Edmonton,99 Church Street,Built 1941
A341,DPL,,DPL 243 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WP68 TGO)
A342,DPL,,DPL 291 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX69 YWG)
A346,FRU,,FRU 39 - 2021 Mercedes Benz Atego 1527F / Emergency One (#WX71 VJA)
