LUP-RD-gGmbH RW Crivitz	Brüeler Straße 27b	19089 Crivitz
Rettung Crivitz 56 11-82-01	NEF	
Rettung Crivitz 56 11-83-01	RTW	
Rettung Crivitz 56 11-85-01	KTW	
		
ASB RW Boizenburg	Steingahre 3	19258 Boizenburg/Elbe
Sama Boizenburg 6211-82-01	NEF	
Sama Boizenburg 6211-82-02	NEF Reserve	
Sama Boizenburg 6211-83-01	RTW	
Sama Boizenburg 6211-83-02	RTW Reserve	
Sama Boizenburg 6211-85-01	KTW	
		
ASB RW Waschow	(Waschower) Dorfstraße 8	19243 Waschow
Sama Waschow 5311-83-01	RTW	
Sama Waschow 5311-83-02	RTW Reserve	
		
DRK RW Lübtheen	Amtsstraße 1	19249 Lübtheen
Rotkreuz Lübtheen 64 13/83-01	RTW	
		
DRK RW Hagenow	Eichenweg 7	19230 Hagenow
Rotkreuz Hagenow 6411-83-01	RTW	
Rotkreuz Hagenow 6411-83-02	RTW Reserve	
Rotkreuz Hagenow 6411-85-01	MZF	
Rotkreuz Hagenow 6411-85-02	MZF	
		
DRK RW Brüel	Am Kreuzsee 11	19412 Brüel
Rotkreuz Brüel 4611-82-01	NEF	
		
DRK RW Cambs	Ventschower Straße 1	19067 Cambs
Rotkreuz Cambs 4514-83-01	RTW	
Rotkreuz Parchim 4514-80-01	ITW 1 MV	
		
DRK RW Goldberg	Neue Hoffnung	19399 Goldberg
Rotkreuz Goldberg 5811-83-01	RTW	
		
DRK RW Groß Godems	Parchimer Straße 20	19372 Groß Godems
Rotkreuz Groß Godems 6713-83-01	RTW	
		
DRK RW Lübz	Grevener Straße 31	19386 Lübz
Rotkreuz Lübz 5711-83-01	RTW	
		
DRK RW Ludwigslust	Grabower Chaussee 2	19288 Ludwigslust
Rotkreuz Ludwigslust 6511-10-01	KdoW OrgL/(LNA)	
Rotkreuz Ludwigslust 6511-83-01	RTW	
Rotkreuz Ludwigslust 6511-83-02	RTW Reserve	
Rotkreuz Ludwigslust 6511-85-01	KTW	
Rotkreuz Ludwigslust 6511-85-02	KTW	
Rotkreuz Ludwigslust 6511-85-03	MZF	
		
DRK NEF Ludwigslust	Neustädter Straße 1	19288 Ludwigslust
Rotkreuz Ludwigslust 6512-82-01	NEF	
		
DRK RW Malliß	Am Bergwerk 4b (gegenüber Hausnr. 3)	19294 Malliß
Rotkreuz Malliß 7411-83-01	RTW	
		
Neustadt-Glewe	Neuhöfer Straße 34	19306 Neustadt-Glewe
Rotkreuz Neustadt-Glewe 6611-83-01	RTW	
		
DRK RW Parchim	Pestalozziweg 19	19370 Parchim
Rotkreuz Parchim 6711-83-01	RTW	
Rotkreuz Parchim 6711-85-01	KTW	
	NEF Reserve	
	RTW Reserve	
	KTW Reserve	
	Kdow-OrgL	
	Kdow-LNA	
		
DRK NEF KH Parchim	John-Brinckman-Straße 8-10	19370 Parchim
Rotkreuz Parchim 6712-82-01	NEF	
		
DRK RW Plau am See	Lange Straße 58a	19395 Plau am See
Rotkreuz Plau 5813-83-01	RTW	
Rotkreuz Plau 5813-85-01	KTW	
		
DRK NEF Plau am See	Quetziner Str. 88	19395 Plau am See
Rotkreuz Plau 5812-82-01	NEF	
		
DRK NEF Schwinz	Krakower Str. 4a	19399 Dobbertin
Rotkreuz Schwinz 8411-82-01	NEF	
		
DRK RW Sternberg	Rachower Moor 4	19406 Sternberg
Rotkreuz Sternberg 47 11-83-01	RTW	
		
DRK RW Walsmühlen	Schossiner Weg 7	19073 Dümmer
Rotkreuz Walsmühlen 5411-83-01	RTW	
