Berufsfeuerwehr + Freiwillige Feuerwehr Cuxhaven-Mitte	Schulstraße 3	27474 Cuxhaven
BF CUXHAVEN (FW)		
Florian Cuxhaven 01/10-02	KdoW	
Florian Cuxhaven 01/17-01	MTW/KdoW	
Florian Cuxhaven 01/30-01	DLA(K) 23/12	
Florian Cuxhaven 01/48-01	HLF 20	
Florian Cuxhaven 01/58-01	GW-Wattrettung	
Florian Cuxhaven 01/59-01	GW-Werkstatt	
Florian Cuxhaven 01/64-01	GW-L1	
Florian Cuxhaven 01/67-01	WLF-Kran	
Florian Cuxhaven 01/78-01	RTB-Cuxhaven	
	AB-Rüst	
	AB-Schiffsbrand	
		
FF CUXHAVEN OF MITTE		
Florian Cuxhaven 02/12-01	ELW 2	
Florian Cuxhaven 02/17-01	MTW	
Florian Cuxhaven 02/17-02	MTF	
Florian Cuxhaven 02/47-02	LF 16/12	
Florian Cuxhaven 02/45-01	LF 10	
Florian Cuxhaven 02/51-01	RW 1	
Florian Cuxhaven 02/67-01	WLF-Kran	
	AB-Gefahrgut	
		
FF CUXHAVEN OF GRODEN	Abschnede 14	27472 Cuxhaven
Florian Cuxhaven 02/17-02	MTF	
Florian Cuxhaven 02/20-02	TLF 1500	
Florian Cuxhaven 02/43-02	LF 8	
		
FF CUXHAVEN OF DÖSE	Steinmarner Straße 21	27476 Cuxhaven
Florian Cuxhaven 03/17-01	MTF	
Florian Cuxhaven 03/23-01	TLF 20/25	
Florian Cuxhaven 03/30-01	DLK 23-12 PLC	
Florian Cuxhaven 03/47-01	LF 20	
Florian Cuxhaven 03/67-01	WLF-Kran	
	AB-Schaum (SLM)	
	AB-Schlauch	
	AB-Wasser	
	AB-Ölwehr	
	AB-Mulde	
		
FF CUXHAVEN OF SAHLENBURG	Spanger Straße 14	27476 Cuxhaven
Florian Cuxhaven 04/17-02	MTF	
Florian Cuxhaven 04/20-02	TLF 8-W	
Florian Cuxhaven 04/45-01	LF 10/6	
Florian Cuxhaven 04/62-01	GW-L2	vorher Lüdingworth
	AB-Mulde	liegt nur hier, für Sandsäcke bei Hochwasser, gehört aber zu OF Döse
		
FF CUXHAVEN OF HOLTE-SPANGEN	Im Dorf 3	27476 Cuxhaven
Florian Cuxhaven 04/17-03	MTF	
Florian Cuxhaven 04/41-02	TSF-W	
		
FF CUXHAVEN OF BERENSCH	Oxstedter Straße 151	27476 Cuxhaven
Florian Cuxhaven 05/17-01	MTF	
Florian Cuxhaven 05/20-01	TLF 8/18	
Florian Cuxhaven 05/45-01	LF 10	
		
FF CUXHAVEN OF ALTENWALDE	Frankenweg 6	27478 Cuxhaven
Florian Cuxhaven 06/17-01	MTF	
Florian Cuxhaven 06/20-01	TLF 8/18 W	
Florian Cuxhaven 06/45-01	LF 10	
Florian Cuxhaven 06/51-01	RW	
		
FF CUXHAVEN OF LÜDINGWORTH	Süderende 4	27478 Cuxhaven
Florian Cuxhaven 07/17-01	MTF	
Florian Cuxhaven 07/41-01	TSF-W	vorher Stickenbüttel
Florian Cuxhaven 07-44-01	LF-KatS	Neufahrzeug 2024
		
FF CUXHAVEN OF ALTENBRUCH	Friedhofstraße 2-3	27478 Cuxhaven
Florian Cuxhaven 07/17-02	MTF	
Florian Cuxhaven 07/45-02	LF 10	
Florian Cuxhaven 07/48-02	HLF 20	
		
FF CUXHAVEN OF STICKENBÜTTEL	Windeichenweg 4c	27476 Cuxhaven
Florian Cuxhaven 08/17-01	MTF	
Florian Cuxhaven 08/20-01	TLF 8/18	
Florian Cuxhaven 08/45-01	LF 10	vorher Lüdingworth
		
FF CUXHAVEN OF DUHNEN	Rugenbargsweg 7	27476 Cuxhaven
Florian Cuxhaven 08/17-02	MTF	
Florian Cuxhaven 08/41-02	TSF-W	
Florian Cuxhaven 08/58-01	GW-Wattrettung	
	Rettungsboot auf Trailer RTB	"Hein Wöbber"
		
		
FF SG LAND HADELN OF IHLIENWORTH	Meisterstraße 3	21775 Ihlienworth
Florian Cuxhaven 10/11-02	ELW	
Florian Cuxhaven 10/22-02	TLF 16/24	evtl. auch -01
Florian Cuxhaven 10/43-02	LF 10	
		
FF SG LAND HADELN OF NEUENKIRCHEN	Dorfstraße 47	21765 Neuenkirchen
Florian Cuxhaven 10/11-03	ELW	
Florian Cuxhaven 10/21-03	TLF 3000	
Florian Cuxhaven 10/43-03	LF 8	
		
FF SG LAND HADELN OF NORDLEDA	Otterndorfer Str 11	21765 Nordleda
Florian Cuxhaven 10/17-04	MTF	
Florian Cuxhaven 10/41-04	TSF-W	
		
FF SG LAND HADELN OF ODISHEIM	Dorfstraße 49	21775 Odisheim
Florian Cuxhaven 10/17-05	MTF	
Florian Cuxhaven 10/41-05	TSF-W	
		
FF SG LAND HADELN OF OSTERBRUCH	Dorfstraße 31	21762 Osterbruch
Florian Cuxhaven 10/41-06	TSF-W	
		
FF SG LAND HADELN OF OTTERNDORF	Liebesweg 4c	21762 Otterndorf
Florian Cuxhaven 10/11-07	ELW	
Florian Cuxhaven 10/40-07	TSF	
Florian Cuxhaven 10/43-07	LF 8	
Florian Cuxhaven 10/47-07	LF 20	
Florian Cuxhaven 10/48-07	HLF 20	
Florian Cuxhaven 10/77-07	Boot Otter II	
	Anhänger Stromerzeuger 9kVA	
		
FF SG LAND HADELN OF STEINAU	Norderende 3	21775 Land Hadeln
Florian Cuxhaven 10-40-08	TSF	
Florian Cuxhaven 10-61-08	GW-L	1.000m B-Schlauch + TS
		
FF SG LAND HADELN OF WANNA	Am Mühldeich 10	21776 Wanna
Florian Cuxhaven 10/11-09	ELW 1	
Florian Cuxhaven 10/20-09	TLF 2000	
Florian Cuxhaven 10/46-09	HLF 10	
		
FF SG LAND HADELN OF BELUM	Deichstr. 9	21785 Belum
Florian Cuxhaven 12-41-01	TSF-W	
Florian Cuxhaven 12-17-01	MTF	
		 
FF SG LAND HADELN OF BÜLKAU GH BOVENMOOR	Bovenmoor 31	21782 Bülkau
Florian Cuxhaven 12/41-02	TSF-W	
		
FF SG LAND HADELN OF BÜLKAU GH BÜLKAU	Dorf 29	21782 Bülkau
Florian Cuxhaven 12/41-12	TSF-W	
	MTW	
		
FF SG LAND HADELN OF CADENBERGE	Stader Straße 44	21781 Cadenberge
Florian Cuxhaven 12/11-03	ELW 1	
Florian Cuxhaven 12/43-03	LF 8	
Florian Cuxhaven 12/47-03	LF 20	
Florian Cuxhaven 12/48-03	HLF 20	
		
FF SG LAND HADELN OF GEVERSDORF	Ostehallenstraße 1	21784 Geversdorf
Florian Cuxhaven 12/41-04	TSF-W	
		
FF SG LAND HADELN OF KEHDINGBRUCH	Osterende 53	21785 Belum
Florian Cuxhaven 12-40-05	TSF	
		
FF SG LAND HADELN OF NEUHAUS/OSTE	Amtshof 6 A	21785 Neuhaus/Oste
Florian Cuxhaven 12/11-06	ELW	
Florian Cuxhaven 12/21-06	TLF 16/24 Tr	
Florian Cuxhaven 12/43-06	LF 8	
	Rettungsboot	
		
FF SG LAND HADELN OF OBERNDORF GH BENTWISCH	Bentwisch	21787 Oberndorf
Florian Cuxhaven 12/40-07	TSF	
		
FF SG LAND HADELN OF OBERNDORF GH OBERNDORF	Hoffmann-von-Fallersleben-Straße 10	21787 Oberndorf
Florian Cuxhaven 12/17-07	MTW	
Florian Cuxhaven 12/41-07	TSF-W	
	Rettungsboot	
		
FF SG LAND HADELN OF WINGST	Dobrock 32	21789 Wingst
Florian Cuxhaven 12/21-08	TLF 3000	
Florian Cuxhaven 12/45-08	LF 10	
		
FF SG LAND HADELN OF WINGST GH WESTERHAMM	Westerhamm 5	21789 Wingst
Florian Cuxhaven 12/43-09	LF 8/6	
Florian Cuxhaven 12/68-09	GW-Logistik	
		
		
