		Im Landkreis Cuxhaven gibt es historisch die Bereiche Land Hadeln und Wesermünde, was sich auch in der Organisation
		des Rettungsdienstes widerspiegelt. Die Stadt Cuxhaven ist eigenständig.
		Es gibt insgesamt jeweils 6 LNA und ORGL, im Landkreis vor allem in/um Cuxhaven und östlich Bremerhaven beheimatet
		jeweils mit Funkgerät und Magnet-Sosi ausgestattet, siehe: https://elrd-lk-cux.de/standorte/
		Die 85er RTW sind alles ehrenamtliche Bereitschafts-RTW, die bei Auslastung der normalen RTW oder bei MANV alarmiert werden.
		
DRK Cuxhaven/Land Hadeln		
		
DRK Rettungswache Otterndorf	Goethestraße 11	21762 Otterndorf
Rotkreuz Cuxhaven 40-83-11	RTW	CUX R 8311
Rotkreuz Cuxhaven 40-92-11	KTW	
Rotkreuz Cuxhaven 40-92-12	KTW	
		
DRK Rettungswache Cadenberge	Gewerbestraße 2a	21781 Cadenberge
Rotkreuz Cuxhaven 40-83-12	RTW	CUX R 8312
		
Notarztstandort Neuhaus	Am Bürgerpark 2	21785 Neuhaus (Oste)
Rotkreuz Cuxhaven 40-82-10	NEF	CUX R 8210, auch CUX R 666, organisatorisch zu Otterndorf
		
DRK Rettungswache Hemmoor	Oestinger Weg 21b	21745 Hemmor
Rotkreuz Cuxhaven 40-83-21	RTW	
Rotkreuz Cuxhaven 40-83-22	RTW	CUX R 1142
		
Notartzstandort Hemmoor	Zentrumstraße 11	21745 Hemmoor
Rotkreuz Cuxhaven 40-82-20	NEF	war CUX R 4555, Neufahrzeug 04/2020, am 30.10.20 verunfallt
		
Falck Rettungswache Dorum	Im Gewerbepark 3	27639 Wurster Nordseeküste (Dorum)
Rettung Cuxhaven 79-82-70	NEF	
Rettung Cuxhaven 79-82-71	NEF Reservefahrzeug	
Rettung Cuxhaven 79-83-71	RTW	
Rettung Cuxhaven 79-83-72	RTW	
Rettung Cuxhaven 79-84-71	RTW Reservefahrzeug	
Rettung Cuxhaven 79-92-71	KTW	
Rettung Cuxhaven 79-92-72	KTW Reservefahrzeug	
		
DRK Kreisverband Wesermünde		
		
DRK RW Lintig	Lintiger Straße 2	Ecke Lammhorn
Rotkreuz Cuxhaven 40-83-31	RTW	
		
DRK RW Schiffdorf	Zum Feldkamp 9	27619 Schiffdorf
Rotkreuz Cuxhaven 40-83-61	RTW	24h
Rotkreuz Cuxhaven 40-83-62	RTW	12h
Rotkreuz Cuxhaven 40-84-61	RTW	Reservefahrzeug
		
DRK RW Stinstedt	Windhövenweg 1	27612 Loxstedt
Rotkreuz Cuxhaven 40-83-51	RTW	24h
		
DRK RW Beverstedt	Logestraße 78	27616 Beverstedt
Rotkreuz Cuxhaven 40-82-40	NEF	24/7
Rotkreuz Cuxhaven 40-83-43	RTW	24/7
		
DRK RW Hagen	Feldkamp 4	27628 Hagen im Bremischen (Neubau 2019)
Rotkreuz Cuxhaven 40-83-41	RTW	24h
Rotkreuz Cuxhaven 40-92-41	KTW	5h
		
		
DRK Kreisverband / Bereitschaft Land Hadeln		
Standort  Hemmoor	Am Heideberg 2	21745 Hemmoor
Rotkreuz Cuxhaven 41-85-21	RTW	CUX R 8511, MANV-T LH
Rotkreuz Cuxhaven 41-85-22	RTW	CUX R 8512, MANV-T LH
Rotkreuz Cuxhaven 97-11-1	ELW RD	CUX R 9711, DRK KV Land Hadeln
Rotkreuz Cuxhaven 40-82-19	Technische Reserve-NEF	CUX R 8221
Rotkreuz Cuxhaven 40-84-11	Technische Reserve RTW	
		
Fahrzeuge der Bereitschaft Land Hadeln	mit unnbek. Standort	bei einer der folg. Bereitsch.
Rotkreuz Cuxhaven 17/61	Betreuungskraftwagen	
Rotkreuz Cuxhaven 41-17-32	MTW	
Rotkreuz Cuxhaven 41-17-31	MTW	
Rotkreuz Cuxhaven 41-19-11	MZF	
		
DRK OV Nordleda	Cuxhavener Straße 1	21765 Nordleda
Rotkreuz Cuxhaven 41-85-31	RTW	CUX R 8531
Rotkreuz Cuxhaven 41-85-32	RTW	
Rotkreuz Cuxhaven 41-17-14	MTW	
	Anhänger Logistik	
		
DRK Bereitschaft Wingst		
Rotkreuz Cuxhaven 41-17-61	MTW	CUX DR 960
	Anhänger Logistik	
		
DRK Bereitschaft Steinau		
Rotkreuz Cuxhaven 41-17-3?	MTW	
		
DRK Bereitschaft Wanna		
Rotkreuz Cuxhaven 41-17-13	MTW	
		
DRK Bereitschaft Altenbruch		
?		
		
DRK Bereitschaft Cuxhaven		
		Siehe Liste Stadt Cuxhaven, stellt einen RTW MANV-T für den Landkreis
Rotkreuz Cuxhaven 41-85-71	RTW	CUX RK 311
		
DRK Kreisverband Wesermünde		
		
Standort Spaden	Friesenstraße 25	27619 Schiffdorf/Spaden
