12 Städte- und Gemeindefeuerwehren		
insgesamt 93 Freiwillige Feuerwehren		
7 Werk- / Betriebsfeuerwehren		
		
Landkreis Heidekreis FTZ Soltau	Harburger Straße 75-77	29614 Soltau
Florian Heidekreis 81-10-01	ELW 1	
Florian Heidekreis 81-11-01	ELW 2	
Florian Heidekreis 81-14-01	AB-EL	
Florian Heidekreis 81-17-01	MZF	
Florian Heidekreis 81-56-01	AB-A/S	
Florian Heidekreis 81-62-01	SW 2000	stationiert bei der FF Soltau
Florian Heidekreis 81-64-01	SKW	Schlauchwechselwagen
Florian Heidekreis 81-65-01	WLF	
	FKH	
		
Landkreis Heidekreis FTZ Schneeheide	Schneeheide 84	29664 Walsrode
Florian Heidekreis 82-11-01	ELW 2	
Florian Heidekreis 82-14-01	AB-EL	
Florian Heidekreis 82-17-01	MTW	
Florian Heidekreis 82-64-01	SKW	Schlauchwechselwagen
Florian Heidekreis 82-65-01	WLF	
Florian Heidekreis 82-69-01	Werkstattwagen	
Florian Heidekreis 82-70-01	ABC-MZF	
Florian Heidekreis 82-72-01	LKW Dekon-P	von Honerdingen besetzt
Florian Heidekreis 82-73-01	AB-G	
	AB-Mulde	
		
Samtgemeinde Ahlden		
Ortsfeuerwehr Hodenhagen	Heerstraße (gegenüber Schulstraße)	29693 Hodenhagen
		Neubau, Fertigstellung 02/2023
Florian Heidekreis 11-19-1	MTF	
Florian Heidekreis 11-23-1	TLF 16/25	vermutlich durch HLF ersetzt
Florian Heidekreis 11-45-1	LF 8/6	
Florian Heidekreis 11-48-1	HLF 20	Auslieferung Sommer 2022, unklar ab wann i.D.
Florian Heidekreis 11-51-1	GW-TH	
		
Ortsfeuerwehr Ahlden	Lindenstraße 21	29693 Ahlden/Aller
Florian Heidekreis 11-11-2	MTF	
Florian Heidekreis 11-23-2	TLF 20/30	
Florian Heidekreis 11-45-2	LF 10/6	
		
Ortsfeuerwehr Eickeloh	Hinter der Kirche 4	29639 Eickeloh
Florian Heidekreis 11-19-3	MTF	
Florian Heidekreis 11-41-3	TSF-W	
		
Ortsfeuerwehr Grethem-Büchten	Büchtener Hauptstraße	29690 Grethem
Florian Heidekreis 11-40-4	TSF	
		
