DRK RW Hützel	Bispinger Straße 30	29646 Bispingen
Rotkreuz Heidekreis 41-83-01	RTW	
		
DRK RW Schneverdingen	Bergstraße 25	29640 Schneverdingen
Rotkreuz Heidekreis 43-83-01	RTW	
Rotkreuz Heidekreis 43-83-02	RTW	
		
DRK RW Soltau	Feldstraße 30	29614 Soltau
Rotkreuz Heidekreis 40-82-01	NEF	
Rotkreuz Heidekreis 40-83-01	RTW	
Rotkreuz Heidekreis 40-83-02	RTW	
Rotkreuz Heidekreis 40-83-03	RTW a.d.?	
Rotkreuz Heidekreis 40-92-01	KTW	
Rotkreuz Heidekreis 40-92-02	KTW	
Rotkreuz Heidekreis 40-92-03	KTW	
Rotkreuz Heidekreis 40-92-04	KTW	
	Reserve-NEF	  
		
DRK RW Munster	Rehrhofer Weg 68	29633 Munster
Rotkreuz Heidekreis 42-83-01	RTW	
Rotkreuz Heidekreis 42-83-02	RTW	
Rotkreuz Heidekreis 42-83-03	RTW (Reserve)	
		
DRK RW Wietzendorf	Hauptstraße 15	29649 Wietzendorf
Rotkreuz Heidekreis 44-83-01	RTW	8-20
		
ASG RW Soltau	Willinger Weg 15	29614 Soltau
Rettung Heidekreis 78-93-01	N-KTW B	
Rettung Heidekreis 78-93-02	N-KTW B	
		
DRK RW Bad Fallingsbostel	Michelsenstraße 23-25	29638 Bad Fallingbostel
Rotkreuz Heidekreis 46-83-01	RTW	
		
DRK RW Walsrode	Albrecht-Thaer-Str. 2	29664 Walsrode
Rotkreuz Heidekreis 45-82-01	NEF	
Rotkreuz Heidekreis 45-83-01	RTW	
Rotkreuz Heidekreis 45-83-02	RTW	
Rotkreuz Heidekreis 45-92-01	KTW	
Rotkreuz Heidekreis 45-92-02	KTW	
		
JUH RW Schwarmstedt	Celler Straße 7	29690 Schwarmstedt
Akkon Heidekreis 50-83-01	RTW	
Akkon Heidekreis 50-83-02	RTW	
Akkon Heidekreis 50-83-03	RTW	MANV-Komponente
		
JUH RW Rethem (Aller)	Zur Scheibenwiese 2	27336 Rethem
Akkon Heidekreis 51-83-01	RTW	
		
DRK OV Bispingen	Borsteler Straße 33	29646 Bispingen
		
DRK OV Breloh	Eschenweg 38	29633 Munster
		
DRK KV Fallingbostel	Albrecht-Thaer-Str. 2	29664 Walsrode
Geschäftstelle		
		
DRK KV Fallingbostel	Schneeheide 84a	29664 Walsrode
	FüKW	
Rotkreuz Soltau ??-??-??	GW San	
	? 1 GW Technik & Sicherheit	
> MANV Reserve besetzt:		
	Reserve-NEF	Auch als ORGL Fahrzeug genutzt
	RTW	
	KTW	
	KTW	
	MTF	
> Fachgruppe Betreuung		
	MTF	
	Gerätewagen Betreuung/Verpflegung	
> Patiententransport		
	KTW	
> Einsatzgruppe Outdoor		
	All-Terrain-Vehicle	
	Kamera-Multikopter	
> Anhänger		
	Feldkochherd	
	Planenanhänger	
	Verpflegungsanhänger	
		
DRK OV Heber	Mühlenstraße 17	29640 Schneverdingen
		
DRK OV Munster	Dr. Hermann-Marcks-Straße 13	
Rotkreuz Heidekreis 42-10-5	KdoW	
Rotkreuz Heidekreis 42-11-5	ELW 1	
Rotkreuz Heidekreis 42-17-5	MTW	
Rotkreuz Heidekreis 42-17-6	MTW	
Rotkreuz Heidekreis 42-79-5	Krad	
Rotkreuz Heidekreis 42-85-5	RTW	
Rotkreuz Heidekreis 42-92-5	N-KTW	
Rotkreuz Heidekreis 42-96-5	GW-San II	
	Anhänger	
		
DRK OV Neuenkirchen	Pfingsthorn 6	29643 Neuenkirchen
		
DRK OV Oerrel	Am Sportplatz 18	29633 Munster
		
DRK OV Schneverdingen	Overbeckstraße 16a	29640 Schneverdingen
Rotkreuz Heidekreis 43-85-05	RTW	
Rotkreuz Heidekreis 43-85-06	RTW	
		
JUH SEG Schwarmstedt	Celler Straße 7	29690 Schwarmstedt
Akkon Soltau 50-11-01	ELW 1	
Akkon Soltau 50-17-01	MTW	
Akkon Soltau 50-85-01	RTW	
Akkon Soltau 52-85-01	RTW	Standort Hodenhagen?
Akkon Soltau 50-9x-01	KTW	
Akkon Soltau 50-96-01	GW SAN	
		
JUH OV Aller-Leine SEG Hodenhagen	Heerstraße 32	29693 Hodenhagen
Akkon Soltau 50/41	RTW	?
Akkon Soltau 50/51	KTW4	?
		
DRK OV Soltau	Harburger Straße 77	29614 Soltau
Rotkreuz Heidekreis 40-10-05	KdoW	
Rotkreuz Heidekreis 40-11-05	ELW	
Rotkreuz Heidekreis 40-17-05	MTW	
Rotkreuz Heidekreis 40-74-05	BetLKW	
Rotkreuz Heidekreis 40-85-05	RTW	
Rotkreuz Heidekreis 40-92-06	KTW	
Rotkreuz Heidekreis 40-92-0x	KTW	
Rotkreuz Heidekreis 40-96-05	GW-SAN	
		
DRK OV Trauen	Ostpreußenweg 6	29633 Munster
		
ASB Kreisverband Heidekreis OG Walsrode	Wernher-von-Braun Straße 16	29664 Walsrode
	ELW Hundestaffel	Hannover
	MTW Hundestaffel	Hannover
	MTW	
Sama Heidekreis 64-85-01	RTW	
Sama Heidekreis 64-93-01	KTW	
	KTW 4 gl	
Sama Heidekreis 64-99-01	Großraum-MTW	auf ehemaligem Linienbus
	Kühlanhänger	
		
DRK OV Wietzendorf	Hauptstraße 33	29649 Wietzendorf
		
DRK OV Wolterdingen	Auf dem Meeck 39a	29614 Soltau
		
DLRG OG Soltau	Lührsbockel 12a	29649 Wietzendorf 
Fahrzeuge	 Friedrich-Einhoff-Ring 24	29614 Soltau
Pelikan Heidekreis 71-17-02	MTW	
Pelikan Heidekreis 71-57-02	GW-Tauchen	
Pelikan Heidekreis 71-77-02	RTB	
	Tauchanhänger	
		
DLRG OG Fallingbostel		
1. Standort:	Gustaf-de-Laval-Straße 2	29683 Bad Fallingbostel
Pelikan Heidekreis 71-11-04	ELW	
Pelikan Heidekreis 71-17-04	MTW	
Pelikan Heidekreis 71-57-04	GW-Tauchen	
Pelikan Heidekreis 71-77-04	MZB - Heidjer	 
	Mobile Wasserrettungs- und Sanitätsstation	
	Geräteanhänger	 
2. Standort:	Zur Scheibenwiese 2	27336 Rethem (Aller)
Pelikan Heidekreis 71-58-03	GW-Wassergefahren	 
Pelikan Heidekreis 71-77-03	MZB - Aller-Leine	 
