Rettungsdienst Landkreis Lüchow-Dannenberg		
		
DRK RW Dannenberg	Am Reiterstadion 1A	29451 Dannenberg
Rotkreuz Lüchow 42-82-21	NEF	24h
Rotkreuz Lüchow 42-83-11	RTW	16/24h, nachts teilw. In Hitzacker
Rotkreuz Lüchow 42-92-21	KTW	10h
Rotkreuz Lüchow 42-82-22	Reserve-NEF	
Rotkreuz Lüchow 42-08-01	LNA	
		
DRK RW Lüchow	Jeetzeler Straße 10d	29439 Lüchow
Rotkreuz Lüchow 42-83-41	RTW	24h
Rotkreuz Lüchow 42-83-42	RTW	16/24h
Rotkreuz Lüchow 42-92-41	KTW	10h
		
DRK RW Clenze	Lüchower Straße 10c	29459 Clenze
Rotkreuz Lüchow 42-83-51	RTW	24h
		
DRK RW Gorleben	Hauptstraße 16	29475 Gorleben
Rotkreuz Lüchow 42-83-31	RTW	24h
		
DRK / A-R D&K RW Hitzacker	Dannenberger Straße 14	29456 Hitzacker
Rotkreuz Lüchow 42-83-11	RTW	8h/0h, verlegt nachts aus DAN
Rettung Lüchow 78-83-11	RTW	16/24h, im Wechsel mit DRK
		
DRK KV Dannenberg	Am Dömitzer Damm 2	29451 Dannenberg
Rotkreuz Lüchow 43-11-91	ELW 1	
Rotkreuz Lüchow 43-59-91	GW-San	
Rotkreuz Lüchow 43-93-91	RTW	
Rotkreuz Lüchow 43-94-91	ArTrKw	
Rotkreuz Lüchow 43-94-xx	KTW Tragen	
Rotkreuz Lüchow 43-xx-xx	SEG-RTW	
Rotkreuz Lüchow 43-	Krad	
		
ORGL mit Privatfahrzeug in:		
Gusborn		
Wustrow		
Meudelfitz		
Hitzacker		
Trebel		
Woltersdorf		
