Feuerwehrtechnische Zentrale Scharnebeck	Bardowicker Straße 65	21379 Scharnebeck
		(am gleichen Standort ist die FF Scharnebeck)
Florian Lüneburg 81-62-30	AB Wasserförderung	
Florian Lüneburg 81-77-10	MZB	
Florian Lüneburg 82-12-10	ELW 2	
Florian Lüneburg 82-59-20	AB Gefahrgut	
Florian Lüneburg 82-59-30	AB Gewässerschutz	
Florian Lüneburg 82-59-40	AB Ölsperre	
Florian Lüneburg 82-71-10	ABC-ErkKW	
Florian Lüneburg 87-17-01	MTW	
Florian Lüneburg 87-63-01	Werkstattwagen	
Florian Lüneburg 87-66-10	WLF	
Florian Lüneburg 87-67-10	WLF-Kran	
Florian Lüneburg 87-68-01	GW L	
Florian Lüneburg 89-14-01	AB Einsatzleitung	
	1 AB Dusche	
	1 AB Mulde	
	1 AB Toilette	
		
FF Lüneburg OF Lüneburg-Mitte	Lise-Meitner-Straße 12	21337 Lüneburg
Florian Lüneburg 10-10-10	KdoW BvD	
Florian Lüneburg 10-10-11	KdoW StBM	
Florian Lüneburg 10-12-40	ELW 2	
Florian Lüneburg 10-17-10	MTW	
Florian Lüneburg 10-17-20	MTW	
Florian Lüneburg 10-17-30	MTW	
Florian Lüneburg 10-30-10	DLA(K) 23/12	
Florian Lüneburg 10-38-20	TM 40	
Florian Lüneburg 10-47-10	LF 20	
Florian Lüneburg 10-47-20	LF 20/24	
Florian Lüneburg 10-47-21	LF 20/30	
Florian Lüneburg 10-48-10	HLF 20	
Florian Lüneburg 10-52-40	RW	
Florian Lüneburg 10-56-40	GW-A	
Florian Lüneburg 10-57-40	GW-Taucher	
Florian Lüneburg 10-63-40	GW-V	
Florian Lüneburg 10-68-40	GW-V	Rollcontainer Schlauch, TS, TH, Licht, AS, RüstH, Wasser
Florian Lüneburg 10-77-40	Rettungsboot	
		
FF Lüneburg Standort Süd (OF Häcklingen+Oedeme+Rettmer)	Lüneburger Straße 8	21335 Lüneburg
Florian Lüneburg 10-12-50	ELW 2	
Florian Lüneburg 10-17-50	MTF	
Florian Lüneburg 10-17-51	MTF	
Florian Lüneburg 10-17-52	MTF	
Florian Lüneburg 10-20-50	TLF 8-W	
Florian Lüneburg 10-26-50	TLF 4000	
Florian Lüneburg 10-30-50	DLK 23-12	
Florian Lüneburg 10-47-50	LF 16/12	
Florian Lüneburg 10-47-51	LF 16	
Florian Lüneburg 10-48-50	HLF 20	
		
FF Stadt Bleckede		
		
OF Barskamp	Am Buursood	21354 Bleckede
Florian Lüneburg 11-17-10	MTW	
Florian Lüneburg 11-20-10	TLF 8/18	
Florian Lüneburg 11-47-10	LF 16/12	
		
OF Göddingen	Wöppenberg 1	21354 Bleckede
Florian Lüneburg 11-17-12	MTW	
Florian Lüneburg 11-47-12	LF 16	
		
OF Alt Garge	Am Horster Felde 5a	21354 Bleckede
Florian Lüneburg 11-17-14	MTW	
Florian Lüneburg 11-43-14	LF 8s	
		
OF Walmsburg	Wiesenweg 7	21354 Bleckede
Florian Lüneburg 11-17-16	MTF	
Florian Lüneburg 11-40-16	TSF	
Florian Lüneburg 11-77-16	MZB	
		
Ortsfeuerwehr Bleckede	Am Bleckwerk 4	21354 Bleckede
Florian Lüneburg 11-11-20	ELW 1	
Florian Lüneburg 11-17-20	MTW	
Florian Lüneburg 11-23-20	TLF 20/30	
Florian Lüneburg 11-30-20	DLK 23/12	
Florian Lüneburg 11-44-20	LF 16-TS	
Florian Lüneburg 11-47-20	LF 16/12	
Florian Lüneburg 11-54-20	RW	
Florian Lüneburg 11-77-20	MZB	Oberbrandmeister Otto Lühr
		
OF Breetze	Hauberg 1	21354 Bleckede
Florian Lüneburg 11-17-22	MTF	
Florian Lüneburg 11-23-22	TLF 16/25	
		
OF Garze	Im Lütten Dorp 28	21354 Bleckede
Florian Lüneburg 11-17-30	MTF	
Florian Lüneburg 11-45-30	LF 8/6	
		
OF Karze	Am Rotdom 11	21354 Bleckede
Florian Lüneburg 11-40-32	TSF	
		
OF Rosenthal	Rosenthal	21354 Bleckede
Florian Lüneburg 11-40-34	TSF	
		
OF Garlstorf	Dorfstraße 77	21354 Bleckede
Florian Lüneburg 11-17-40	MTW	
Florian Lüneburg 11-47-40	LF 16	
	Rettungsboot	
		
OF Radegast	Zum Kirchplatz 1	21354 Bleckede
Florian Lüneburg 11-17-42	MTW	
Florian Lüneburg 11-23-42	TLF 16/25	
		
OF Brackede	Uhlenbuschstraße 9	21354 Bleckede
Florian Lüneburg 11-40-44	TSF	
		
OF Wendewisch	Hittberger Straße 46	21354 Bleckede
Florian Lüneburg 11-40-46	TSF	
		
FF Samtgemeinde Amelinghausen		
		
Ortsfeuerwehr Amelinghausen	An‘n Sprüttenhus 2	21385 Amelinghausen
Florian Lüneburg 13-11-10	ELW 1	
Florian Lüneburg 13-17-10	MTW	
Florian Lüneburg 13-23-10	TLF 16/25	
Florian Lüneburg 13-32-10	DLK 12-9 SE	
Florian Lüneburg 13-47-10	LF 16/12	1.300l Wasser
Florian Lüneburg 13-51-10	RW 1	
		
OF Soderstorf	Westefeld 2	21388 Soderstorf
Florian Lüneburg 13-11-20	ELW 1	
Florian Lüneburg 13-17-20	MTW	
Florian Lüneburg 13-21-20	TLF 8/18	2.400 l
Florian Lüneburg 13-44-20	LF 20 KatS	27.08.2021 ausgeliefert
Florian Lüneburg 13-62-20	SW 2000	
		
OF Raven/Rolfsen	Im Sande 15	21388 Soderstorf
Florian Lüneburg 13-47-22	LF 16/12	
		
OF Drögennindorf	Westerkamp 2	21386 Betzendorf
Florian Lüneburg 13-17-30	MTW	
Florian Lüneburg 13-45-30	LF 10/6	
		
OF Oldendorf/Luhe	Diesselbünte 5	21385 Oldendorf (Luhe)
Florian Lüneburg 13-20-32	TLF 8-W	
Florian Lüneburg 13-40-32	TSF	
	MTF JF	ohne Funk
		
OF Wetzen	Dorfstraße 9	21385 Oldendorf (Luhe)
Florian Lüneburg 13-17-34	MTW	
Florian Lüneburg 13-40-34	TSF	
		
OF Betzendorf	Heinser Straße 1	21386 Betzendorf
Florian Lüneburg 13-17-40	MTW	
Florian Lüneburg 13-20-40	TLF 8-W	
Florian Lüneburg 13-40-40	TSF	
	Waldbrandbekämpfungsanhänger	
		
OF Rehlingen	Kötnerstraße 12	21385 Rehlingen
Florian Lüneburg 13-17-42	MTW	
Florian Lüneburg 13-40-42	TSF	
		
OF Tellmer	Tellmer Dorfstraße 17	21386 Betzendorf
Florian Lüneburg 13-40-44	TSF	
		
FF Samtgemeinde Bardowick		
		
OF Bardowick	Mühlenstraße 39	21357 Bardowick
Florian Lüneburg 14-11-10	ELW	
Florian Lüneburg 14-17-10	MTW	
Florian Lüneburg 14-25-10	TLF 4000	
Florian Lüneburg 14-30-10	DLK 23/12	
Florian Lüneburg 14-48-10	HLF 20/16	
Florian Lüneburg 14-64-10	GW-L1	Ölbindemittel, CSA, Zelt
	Mehrzweckboot	
	Anhänger Ölabwehr	
		
OF Mechtersen	Brockwinkler Weg 1	21358 Mechtersen
Florian Lüneburg 14-11-20	ELW	
Florian Lüneburg 14-17-20	MTW	
Florian Lüneburg 14-25-20	TLF 4000 St.	
Florian Lüneburg 14-48-20	HLF 20	
		
OF Vögelsen	Schulstraße	21360 Vögelsen
Florian Lüneburg 14-17-22	MTW	
Florian Lüneburg 14-42-22	StLF 10/6 / MLF	
		
OF Radbruch	Dorfmitte	21449 Radbruch
Florian Lüneburg 14-17-24	MTW	
