jeweils ASB und DRK stellen ORGL (wöchentlicher Wechsel)		
Rotkreuz Lüneburg 40-08-01	KdoW OrgL	
Sama Lüneburg 60-08-01	KdoW OrgL	
		
ASB+DRK Notarztstandort	Bögelstraße 1	21339 Lüneburg
Sama Lüneburg 64-82-01	NEF	
Rotkreuz Lüneburg 40-82-01	NEF	
		Fahrzeuge tauschen wöchentlich
		zweites NEF täglich 7-16 am Klinik Lüneburg, von 16-23 in Neetze
		Von hier stellt das Klinikum ein LNA auf OrgL Fahrzeug
		
DRK RW Lüneburg Stadt	Schnellenberger Weg 42	21339 Lüneburg
Rotkreuz Lüneburg 40-83-01	RTW	
Rotkreuz Lüneburg 40-83-02	RTW	
Rotkreuz Lüneburg 40-83-03	RTW	
Rotkreuz Lüneburg 40-92-01	KTW	
Rotkreuz Lüneburg 40-92-02	KTW	
Rotkreuz Lüneburg 40-92-03	KTW	
Rotkreuz Lüneburg 40-92-04	KTW	
		
ASB RW Lüneburg Stadt	Moldenweg 10-12	21339 Lüneburg
Sama Lüneburg 64-83-1	RTW	
Sama Lüneburg 64-83-2	RTW	
Sama Lüneburg 64-92-1	KTW	
Sama Lüneburg 64-92-2	KTW	
Sama Lüneburg 64-92-3	KTW	
Sama Lüneburg 64-92-4	KTW	
		
DRK RW Ellringen	Ellringer Neetzetal 2	21368 Ellringen
Rotkreuz Lüneburg 41-83-01	RTW	24 h
Rotkreuz Lüneburg 41-83-02	RTW	7-23 Uhr
		Wache 2022 neu gebaut
		
ASB RW Drögennindorf	Alte Poststraße 3	21386 Drögennindorf (Neubau 2020)
Sama Lüneburg 65-83-01	RTW	
		4. Lüneburger RTW stellt Sa 15-23 von hier einen 2. RTW
		
ASB/DRK RW Zeetze	An der Bäk 11	19273 Zeetze (Amt Neuhaus)
Rotkreuz Lüneburg 40-82-02	NEF 15-23 Uhr	
Sama Lüneburg 64-82-02	NEF 15-23 Uhr	
		zweites NEF aus der Stadt fährt hier ab 15 Uhr raus. DRK und ASB wechseln wöchentlich ab.
		
DRK RW Zeetze	An der Bäk 11	19273 Amt Neuhaus
Rotkreuz Lüneburg 42-83-01	RTW	24h
		
LK LG RW Lüdersburg/Bockelkathen	Bockelkathener Straße 18	21379 Lüdersburg
Rettung Lüneburg 66-83-01	RTW	
Rettung Lüneburg 66-83-02	RTW	(Mo-Sa 7-23, So 15-23)
		Verlegung nach Lüdersburg in Planung
		
ASB Katastrophenschutzzentrum	Moldenweg 16	21339 Lüneburg
