DRK NEF Standort Osterholz	Am Krankenhaus	27711 Osterholz-Scharmbeck
Rotkreuz Osterholz 40-82-1	NEF	
Rotkreuz Osterholz 40-82-2	NEF Reservefahrzeug	
		
DRK RW Hambergen	Bremer Straße 2A	27729 Hambergen
Rotkreuz Osterholz 42-83-01	RTW	
		
DRK RW Lilienthal	Hospitalweg	28865 Lilienthal
Rotkreuz Osterholz 43-83-1	RTW	
Rotkreuz Osterholz 43-83-2	RTW	OHZ L 2065
		
DRK RW Osterholz-Scharmbeck	Bördestraße 23	27711 Osterholz-Scharmbeck
Rotkreuz Osterholz 44-83-1	RTW	
Rotkreuz Osterholz 44-83-2	RTW	OHZ L 2067
Rotkreuz Osterholz 44-84-1	RTW Reservefahrzeug	
Rotkreuz Osterholz 44-93-1	KTW	Regelrettungsdienst
		
DRK RW Schwanewede	Henry Dunant Weg 1	28790 Schwanewede
Rotkreuz Osterholz 46-83-1	RTW	OHZ L 2062
Rotkreuz Osterholz 46-83-2	RTW	12/7
Rotkreuz Osterholz 46-93-1	KTW	Feuerwehrbereitschaft
		
DRK RW Worpswede	Worphauser Landstraße 54c	27726 Worpswede
Rotkreuz Osterholz 47-83-1	RTW	Tagdienst
		
ÖEL beim DRK Osterholz Scharmbeck		
Rotkreuz Osterholz 97-10-01	KdoW ÖEL LNA/ORGL	
		LNAs 97-07-11 bis -15
		ORGLs 97-08-11 bis -18
		
DRK OV Grasberg		
Rotkreuz Osterholz 41-74-01	Küchenfahrzeug	
		
DRK OV Hambergen	Bremer Straße 2A	27729 Hambergen
Rotkreuz Osterholz 42-17-01	MTW/MZF	OHZ RK 112
Rotkreuz Osterholz 42-93-01	KTW	OHZ RK 117
		
DRK KV Osterholz-Sch.+ OV Osterholz	Bördestraße 23	27711 Osterholz-Scharmbeck
Rotkreuz Osterholz ??-11-1	ELW	
Rotkreuz Osterholz 44-16-1	Betr. MTW	
Rotkreuz Osterholz 44-85-1	RTW	OHZ RK 105
Rotkreuz Osterholz 44-93-2	NKTW	OHZ RK 114
Rotkreuz Osterholz 44-94-1	KTW4	OHZ 8006
Rotkreuz Osterholz 44-96-1	GW-San	OHZ RK 210, Neufahrzeug 2020
Rotkreuz Osterholz 44-96-2	GW-San	OHR RK 412
Rotkreuz Osterholz 44-69-01	Geländewagen	OHZ RK 115
	Anhänger Technik und Sicherheit	
Rotkreuz Osterholz 44-19-01	MZF / ELW	OHZ OV 112
Rotkreuz Osterholz 48-10-1	KdoW	OHZ RK 48
		
DRK OV Schwanewede	Henry Dunant Weg 1	28790 Schwanewede
Rotkreuz Osterholz 46-17-01	MTW	OHZ AV 808
Rotkreuz Osterholz 46-93-01	KTW	OHZ RK 49
		
DRK OV Worpswede	Worphauser Landstraße 54c	27726 Worpswede
Rotkreuz Osterholz 47-17-1	MTW	OHZ RK 14
Rotkreuz Osterholz 47-93-1	NKTW	OHZ RK 116, im Mai 2019 übernommen
		
DLRG OG Osterholz-Scharmbeck	Am Barkhof 5	27711 Osterholz Scharmbeck
Pelikan Osterholz 74-17-01	MTW 1	
Pelikan Osterholz 74-17-02	MTW 2	
Pelikan Osterholz 74-19-01	ELW/MTW	
Pelikan Osterholz 74-57-01	GW Taucher	
Pelikan Osterholz 74-77-01	MZB Mooradler	
Pelikan Osterholz 74-78-01	MRB Calypso	
