Freiwillige Feuerwehr Landkreis Rotenburg		
		
Kreisfeuerwehr		
Florian Rotenburg 99-10-01	Kreisbrandmeister	Mitarbeiter in der FTZ Zeven
Florian Rotenburg 99-10-11	Abschnittsleiter Bremervörde	Gnarrenburg
Florian Rotenburg 99-10-21	KdoW Abschnittsleiter Zeven	Kommt aus der FF Tiste
Florian Rotenburg 99-10-31	Abschnittsleiter Rotenburg	
		
Feuerwehrtechnische Zentrale	Böttcherstraße 3	27404 Zeven
	Reserve-TSF	
	Fahrschul-LKW	
Gefahrgutzug:		
Florian Rotenburg 86-10-11	KdoW	Leiter Gefahrgutzug
Florian Rotenburg 86-17-13	MTW	in Wilstedt stationiert
Florian Rotenburg 86-56-11	GW-A	Neufahrzeug 2020
Florian Rotenburg 86-73-11	GW-G	Neufahrzeug 2021
Florian Rotenburg 86-72-11	GW-Dekon P	
Florian Rotenburg 86-70-11	GW-Mess	
Florian Rotenburg 85-12-11	ELW 2	
Florian Rotenburg 85-1x-11	ELW 2/3 Teil 2	
Florian Rotenburg 85-64-21	GW-N	
	Melde-Quad	
	Werkstattwagen	
		
Freiwillige Feuerwehr Bremervörde	Handelshof 4	27432 Bremervörde
Florian Rotenburg 11-11-11	ELW 1	
Florian Rotenburg 11-17-11	MTW	
Florian Rotenburg 11-23-11	TLF 3000	
Florian Rotenburg 11-23-12	TLF 16/25	
Florian Rotenburg 11-30-11	DLK 23/12	
Florian Rotenburg 11-47-11	LF 16/12	
Florian Rotenburg 11-52-11	RW	
Florian Rotenburg 11-64-11	GW-L	Wasserwehr, Ölwehr, Atemschutz, Schaummittel,...
Florian Rotenburg 11-77-11	MZB auf FwA	
	FwA- P250	
	FwA-SWW	
		
Ortsfeuerwehr Elm	Schulstraße 5	27432 Bremervörde
Florian Rotenburg 11-17-13	MTF	
Florian Rotenburg 11-23-13	TLF 24/38	
Florian Rotenburg 11-42-13	MLF	
		
Ortsfeuerwehr Hönau-Lindorf	Lindauer Straße 45	27432 Bremervörde
