Feuerwehr im Landkreis Stade		
Liste erstellt von 112233		mit diversen Internetquellen und Infos von Krischi_97 und 112SGL
		
Feuerwehrtechnische Zentrale Landkreis Stade (80)		
Florian Stade 80/10-1	PKW	
Florian Stade 80-10-21	PKW	
Florian Stade 80-11-1	ELW 1	
Florian Stade 80-12-1	ELW 2	
Florian Stade 80-63-1	LKW	
Florian Stade 80-65-03	WLF	offiziell THW Heros Stade 86/65, aber auch für Feuerwehr verfügbar
Florian Stade 80-66-1	WLF	DLRG-Lackierung, auch als Pelikan 77-66-01 im Einsatz
Florian Stade 80-67-1	WLF-Kran	
Florian Stade 80-69-1	LKW (Fahrschule)	
Florian Stade 80-70-1	GW-Mess	
Florian Stade 80-71-1	ErkKW	
Florian Stade 80-72-1	Dekon-P	
Florian Stade 97-10-1	KdoW (OrgL)	
		
	Abrollbehälter Atemschutz	
	Abrollbehälter Besprechung	
	Abrollbehälter Sandsäcke	
	Abrollbehälter Schaummittel	
	Abrollbehälter Material zur Ölwehr	grün, dauerhaft auf dem WLF von Zug 2
	Abrollbehälter Auffangbehälter-Ölabscheider	im Sommer zeitweise als AB-Wasser 12.000 Liter
		
Abfallwirtschaftszentrum Stade Süd	Klarenstrecker Damm 50	21684 Stade (80)
Florian Stade 80-66-21	WLF	gemeinsames Fzg. AWZ und Kreisfeuerwehr
		
Freiwillige Feuerwehr Stadt Buxtehude (10)		
Florian Stade 10-01	KdoW	Stadtbrandmeister
		
OF Buxtehude Zug 1	Westmoor 2a	21614 Buxtehude
Florian Stade 10-11-01	ELW 1	
Florian Stade 10-17-01	MTF	
Florian Stade 10-24-01	TLF 4000	
Florian Stade 10-30-01	DLA(K) 23/12	
Florian Stade 10-47-01	LF 16/12	
Florian Stade 10-48-01	HLF 20/24/2	
Florian Stade 10-52-01	RW 2	
Florian Stade 10-68-01	GW-L2	Schlauch, Atemschutz, Öl,...
		
OF Buxtehude Zug 2	Am Eichholz 6-8	21614 Buxtehude
Florian Stade 10-11-02	ELW 1	
Florian Stade 10-17-02	MTF	
Florian Stade 10-23-02	TLF 16/25	
Florian Stade 10-48-02	HLF 20	
Florian Stade 10-64-02	GW-L1	TH, AS, SchlB, Schlauch, Ölwehr, TS
Florian Stade 10-78-02	MZB	
		
OF Daensen	Zum Lehmfeld	21614 Buxtehude
Florian Stade 10-41-03	TSF-W	
		
OF Dammhausen	Dammhauser Straße	21614 Buxtehude
Florian Stade 10-41-04	TSF-W	
	Anhänger Schlauchmaterial+TS	
		
OF Hedendorf	Feldstraße 15	21614 Hedendorf
Florian Stade 10-17-05	MTF	
Florian Stade 10-45-05	LF 8/6	
	Tragkraftspritzenanhänger	+Schlauchmaterial)
		
OF Immenbeck	Inne Beek 60	21614 Immenbeck
Florian Stade 10-17-06	MTF	
Florian Stade 10-41-06	TSF-W	
		
OF Neukloster	Lärchenweg 14	21614 Neukloster
Florian Stade 10-17-07	MTF	
Florian Stade 10-48-07	HLF 20/16	
Florian Stade 10-73-07	GW-U	Gefahrgut
		
OF Ovelgönne	Hemberg 2	21614 Ovelgönne
Florian Stade 10-17-08	MTF	
Florian Stade 10-46-08	HLF 10	
	Anhänger Notstromaggregat	
	Anhänger Logistik/Jugend	
	Anhänger Transport	Ölbindemittel, TS, Schlauchmaterial
		
OF Ottensen	Estewiesen 25	21614 Ottensen
Florian Stade 11-17-09	MTF	
Florian Stade 11-42-09	MLF	
	Schlauchanhänger	
		
		
Freiwillige Feuerwehr Stadt Stade (20)		
		
OF Stade Zug 1	Hansestraße 22	21682 Stade (1)
Florian Stade 20-11-01	ELW	
Florian Stade 20-17-01	MTW	
Florian Stade 20-17-31	MTW	
Florian Stade 20-23-01	STLF 24/28/2	
Florian Stade 20-30-01	DL(A)K 23/12	
Florian Stade 20-45-01	LF 16/6	
Florian Stade 20-48-01	HLF 20	
Florian Stade 20-52-01	RW2	
Florian Stade 20-57-01	GW-Taucher	
Florian Stade 20-64-01	GW-L1	Schlauch, Rüstholz, Transportboxen, Verkehrssicherung, Ölspur
Florian Stade 20-65-01	WLF	
Florian Stade 20-77-01	HLB Henry Köpcke	
	Abrollbehälter Umwelt (Gefahrgut)	
Anhänger:		
Florian Stade 42-40	Mehrzweckboot MZB	
Florian Stade 43-21	Pulverlöschanhänger	
Florian Stade 43-22	Schaum-/Wasserwerfer	
Florian Stade 43-24	Anhänger Wasserrettung	
	Anhänger Jugenfeuerwehr	
	Anhänger Kinderfeuerwehr	
		
OF Stade Zug 2	Helmster Weg 2	21680 Stade (2)
Florian Stade 20-11-02	ELW	
Florian Stade 20-11-22	ELW	Umweltzug, Begleitung DLK/WLF überörtlich
Florian Stade 20-17-21	MTW	
Florian Stade 20-24-02	STLF 24/24/2	
Florian Stade 20-31-02	DLK 18-12	
Florian Stade 20-45-02	LF 20/6-TS	
Florian Stade 80-66-02	WLF	mit AB-Öl siehe FTZ Stade
	Logistikanhänger	Rollcontainer z.B. Absperr- und Schlauchmaterial
	Stromanhänger	
		
OF Bützfleth	Nicolaus-Dreyer-Straße	21683 Stade (3), Neubau 09/2023
Florian Stade 20-11-3	ELW	
Florian Stade 20-17-3	MTW	
Florian Stade 20-23-3	TLF 16/25	
Florian Stade 20-45-3	LF 10/6	
	Abrollbehälter Schiffbrand	
		
OF Bützfleth-Löschgruppe Bützflethermoor	Moorchaussee 122	21683 Stade (23)
Florian Stade 20-17-23	MTW	
Florian Stade 20-45-23	LF 8/6	
		
OF Hagen	Eichenstraße 1	21684 Stade (4)
Florian Stade 20-17-04	MTW	
Florian Stade 20-45-04	LF 8/6	
	FwA-Schlauch	
	FwA-Strom	
		
OF Wiepenkathen	Alte Dorfstraße 112	21684 Stade (5)
Florian Stade 20-11-05	ELW	
Florian Stade 20-17-05	MTW	
Florian Stade 20-17-25	MTW	
Florian Stade 20-17-35	MTW	
Florian Stade 20-23-05	TLF 3000	
Florian Stade 20-43-05	LF 8	
Florian Stade 20-54-05	GW L2	
	FwA-Schlauch	
	FwA-Notstromaggregat	
	FwA-Wasserschaden	
	FwA-Logistik	
		
Freiwillige Feuerwehr Samtgemeinde Apensen (30)		
		
OF Apensen (1)	Neukloster Straße 54	21641 Apensen
Florian Stade 30-11-01	Einsatzleitwagen ELW	
Florian Stade 30-17-01	MTW	
Florian Stade 30-20-01	TLF 8/18	
Florian Stade 30-47-01	LF 20	
Florian Stade 30-48-01	HLF 20/16	
	2 Schlauchanhänger	
		
OF Beckdorf (2)	Hauptstraße	21643 Beckdorf
Florian Stade 30-17-02	MTW	
Florian Stade 30-41-02	TSF-W	
	Schlauchanhänger	
		
OF Goldbeck (3)	Bahnhofstraße 4	21643 Beckdorf
Florian Stade 30-40-03	TSF	
	Schlauchanhänger	
		
OF Nindorf (4)	Apensener Straße	21643 Beckdorf
Florian Stade 30-40-04	TSF	
		
OF Revenahe (5)	Lindenallee 11	21644 Sauensiek
Florian Stade 30-41-05	TSF-W	
	Schlauchanhänger	
		
OF Sauensiek (6)	Gewerbestraße 8	21644 Sauensiek
Florian Stade 30-17-06	MTW	
Florian Stade 30-46-06	HLF 10	
		
OF Wiegersen (7)	Am Teich 5	21644 Sauensiek
Florian Stade 30-41-07	TSF-W	
	Schlauchanhänger	
		
Freiwillige Feuerwehr Gemeinde Drochtersen (31)		
		
OF Assel (1)	Schmiedestraße 5	21706 Drochtersen
Florian Stade 31-17-1	MTW	
Florian Stade 31-48-1	HLF 20	
Florian Stade 31-51-1	RW 1	
Florian Stade 31	Geräteanhänger Strom	
		
OF Asselermoor (2)	Asselermoor 61	21706 Drochtersen
Florian Stade 31-17-02	MTW	
Florian Stade 31-41-02	TSF-W	
	Schlauchanhänger	
		
OF Drochtersen (3)	Alter Hof 14	21706 Drochtersen
Florian Stade 31-11-3	ELW	
Florian Stade 31-17-3	MTW	
Florian Stade 31-23-3	TLF 16/25	
Florian Stade 31-48-3	HLF 20/16	
		
OF Drochtersermoor (4)	Drochtersermoor 23	21706 Drochtersen
Florian Stade 31-40-4	TSF	
	Schlauchanhänger	
		
OF Dornbusch (5)	Dornbuscher Straße 43	21706 Drochtersen
Florian Stade 31-17-5	MTW	
Florian Stade 31-43-5	LF 8	
Florian Stade 31-78-5	RTB	
		
OF Hüll (6)	Gehrden 10	21706 Drochtersen
Florian Stade 31-17-6	MTW	
Florian Stade 31-45-6	LF 8/6	
		
Freiwillige Feuerwehr Samtgemeinde Fredenbeck (32)		
		
OF Aspe (1)	Landstraße	27449 Kutenholz
Florian Stade 32-40-01	TSF	mit Wassertank
	FwA-Schlauch	
		
OF Deinste (2)	Hauptstraße 7	21717 Deinste
Florian Stade 32-43-02	LF 8/6	
		
OF Essel (3)	Sportplatzweg 3	27449 Kutenholz
Florian Stade 32-40-03	TSF	mit Wassertank
	Schlauchanhänger	
		
OF Fredenbeck (4)	Bahnhofstraße 44	21717 Fredenbeck
Florian Stade 32-11-04	ELW	
Florian Stade 32-17-04	MTF	
Florian Stade 32-23-04	TLF 16/25	
Florian Stade 32-43-04	LF 8	
Florian Stade 80-62-04	SW 2000	Kreisfahrzeug
		
OF Helmste (5)	Schulstraße 3	21717 Helmste
Florian Stade 32-17-05	MTW	
Florian Stade 32-46-05	HLF 10	
		
OF Kutenholz (6)	Fredenbecker Straße/Schulstraße	27449 Kutenholz
Florian Stade 32-17-06	MTF	
Florian Stade 32-46-06	HLF 10	
		
OF Mulsum (7)	Rosenstraße 10	27449 Mulsum
Florian Stade 32-11-07	ELW	
Florian Stade 32-23-07	TLF 16/25	
Florian Stade 32-43-07	LF 8	
		
OF Schwinge (8)	Forstkampweg 3	21717 Schwinge
Florian Stade 32-17-08	MTW	
Florian Stade 32-42-08	MLF	Neufahrzeug 01/2024
	Anhänger mit IFEX 3000	
	TSA des Fördervereins	
		
OF Wedel (9)	Am Schießstand 8	21717 Wedel
Florian Stade 32-17-09	MTW	
Florian Stade 32-42-09	MLF	
	Schlauchanhänger	
		
Freiwillige Feuerwehr Samtgemeinde Harsefeld (33)		
		
OF Ahlerstedt (1)	Kakerbecker Straße 30	21702 Ahlerstedt
Florian Stade 33-11-1	ELW 1	
Florian Stade 33-22-1	TLF 16/24 Tr	geplanter Ersatz: TLF 3000 Gruppenkabine Schlingmann auf MAN Lieferung 2023/24
Florian Stade 33-46-1	HLF 10	
	Anhänger Jugendfeuerwehr	
	Anhänger NEA 50	Neufahrzeug 2023
		
OF Ahrensmoor (2)	Weststraße 15	21702 Ahlerstedt
Florian Stade 33-49-2	KLF	Neufahrzeug 2020/21
		
OF Ahrenswohlde (3)	Landstraße, nord-östl. Kreuzung Lange Straße	21702 Ahlerstedt
Florian Stade 33-40-3	TSF	Baujahr 2006
		Anbau/Neubau 2022 fertig gestellt
		Beschaffung eines neuen LF KatS für 2024 geplant
		
OF Bargstedt (4)	Bahnhofstraße 14	21698 Bargstedt
Florian Stade 33-17-04	MTW	
Florian Stade 33-44-04	LF 10	
Florian Stade 80-62-06	SW 2000 Tr	STD 8036
		Beschaffung eines ELW geplant
		
OF Brest (5)	Ringstraße 13	21698 Brest
Florian Stade 33-49-5	KLF	
		
OF Harsefeld (6)	Auf der Herde 5a	21698 Harsefeld
Florian Stade 33-11-06	ELW 1	
Florian Stade 33-17-06	MTF	
Florian Stade 33-30-06	DLA(K) 23/12	
Florian Stade 33-47-06	LF 16/12	
Florian Stade 33-48-06	HLF 20/16	
Florian Stade 33-59-06	MZF	MTW/Kleine Umwelteinsätze
Florian Stade 80-72-06	Dekon P	Bund
	Pulverlöschanhänger	
	Anhänger NEA 50	Neufahrzeug 2023
	TLF 16 T	Oldtimer Tanklöschfahrzeug
		
OF Hollenbeck (7)	Unterdorf	21698 Harsefeld
Florian Stade 33-49-07	KLF	
		
OF Issendorf (8)	Horneburger Straße 20	21698 Harsefeld
Florian Stade 33-23-08	TLF 16/25	
Florian Stade 33-40-08	TSF	
		
OF Kakerbeck (9)	Neue Straße 16	21702 Ahlerstedt
Florian Stade 33-49-9	KLF	Neufahrzeug 2020/21
		
OF Ottendorf (10)	Hauptstraße 3	21702 Ahlerstedt
Florian Stade 33-40-10	TSF	
		
OF Oersdorf (11)	Brinkkrog	21702 Ahlerstedt
Florian Stade 33-49-11	KLF	Neufahrzeug 2020/21
		
OF Ohrensen (12)	Harsefelder Straße 12	21698 Bargstedt
Florian Stade 33-49-12	KLF	
		
OF Reith (13)	Reith 5	21698 Brest
Florian Stade 33-49-13	KLF	Neufahrzeug 2020/21
		
OF Ruschwedel (14)	Am Steinbeck 12	21698 Harsefeld
Florian Stade 33-40-14	KLF (neu 2015)	
		
OF Wangersen (15)	Alte Schulstraße 9	21702 Ahlerstedt
Florian Stade 33-40-15	TSF	
		
OF Wohlerst (16)	Wohlerst 30	21698 Brest
Florian Stade 33-49-16	KLF	
		
Freiwillige Feuerwehr Samtgemeinde Oldendorf-Himmelpforten	ehem. Oldendorf (34)	
		
OF Blumenthal (1)	Ostestraße	21709 Burweg
Florian Stade 34-40-1	TSF	
	FwA-Schlauch	
		
OF Brobergen (2)	Boben in Dörp 10	21726 Kranenburg
Florian Stade 34-40-2	TSF	Neufahrzeug 2021
	FwA-Schlauch	
		
OF Burweg (3)	Bauernreihe 35A	21709 Burweg
Florian Stade 34-17-3	MTF	
Florian Stade 34-45-3	LF 10/6	2006
Florian Stade 34-78-3	RTB	
Florian Stade 80-44-3	LF 16-TS	Landkreisfahrzeug
		
OF Estorf (4)	Osterberg 3	21727 Estorf
Florian Stade 34-17-4	MTF	
Florian Stade 34-40-4	TSF	
	Anhänger SW 1000	Neufahrzeug 2020
		
OF Gräpel (5)	Dorfstraße	21727 Estorf
Florian Stade 34-40-5	TSF	
Florian Stade 34-78-5	RTB	Neufahrzeug 2017
		
OF Hagenah (6)	Trift	21726 Heinbockel
Florian Stade 34-17-6	MTF	2019 gebraucht übernommen
Florian Stade 34-46-6	HLF 10	
		
OF Heinbockel (7)	Dorfstraße	21726 Heinbockel
Florian Stade 34-40-7	TSF	Ersatzbeschaffung 2022 geplant
	Schlauchanhänger	
		
OF Kranenburg (8)	Dorfstraße 12	21726 Kranenburg
Florian Stade 34-40-8	TSF	Neufahrzeug 2010
	FwA-Schlauch	
		
OF Oldendorf (9)	Schützenstraße 12	21726 Oldendorf
Florian Stade 34-11-9	ELW	Neufahrzeug 2016
Florian Stade 34-19-9	MTF	
Florian Stade 34-24-9	TLF 16/25	
Florian Stade 34-45-9	LF 10/6	
		
Freiwillige Feuerwehr Samtgemeinde Oldendorf-Himmelpforten	ehem. Himmelpforten (35)	
		
OF Breitenwisch (1)	Breitenwisch 2	21709 Himmelpforten
Florian Stade 35-40-1	TSF	2006
		
OF Düdenbüttel (2)	An der Loge 16	21709 Düdenbüttel
Florian Stade 35-40-2	TSF	
		
OF Engelschoff (3)	Dorfstraße 41	21710 Engelschoff
Florian Stade 35-41-3	TSF-W	Neufahrzeug 2016
		
OF Groß Sterneberg (4)	Groß Sterneberger Straße 74	21714 Hammah
Florian Stade 35-40-4	TSF	
	Schlauchanhänger	
		
OF Großenwörden (5)	Zum See	21712 Großenwörden
Florian Stade 35-41-5	TSF-W	
		
OF Hammah (6)	Osterheide 1	21714 Hammah
Florian Stade 35-17-6	MTW	Neufahrzeug 2016
Florian Stade 35-45-6	LF 10/6	
		
OF Himmelpforten (7)	Poststraße 14	21709 Himmelpforten
Florian Stade 35-11-7	ELW	Neufahrzeug 2019
Florian Stade 35-17-7	MTW	
Florian Stade 35-48-7	HLF 20	Neufahrzeug 2021
Florian Stade 35-35-7	DL17	
Florian Stade 35-43-7	LF 8	
		
OF Mittelsdorf (8)	Alte Dorfstraße 25	21714 Hammah
Florian Stade 35-40-8	TSF	
