Rettungsdienst Landkreis Stade		
		
		Es gibt im Landkreis mehrere Bereitschafts-RTW, die bei Auslastung des Regelrettungsdienstes (ohne Bedarf einer SEG),
		oder zur längeren Absicherung alarmiert werden können Bereitschafts-RTW brauchen ca. 5-10min zum ausrücken und 
		sind prinzipiell aus den SEG und mit denen stationiert, Standorte (auch in der Liste aufgeführt) sind:
		- Stade im Wechsel von Rotem Kreuz und Johanniter gestellt
		- Buxtehude im Wechsel von Rotem Kreuz und Maltesern gestellt
		- Drochtersen vom Roten Kreuz gestellt
		
		DRK Rettungswache Stade: Neubau zu späterem Zeitpunkt gegenüber aktuellem Standort
		Die FTZ Stade liegt am selben Standort wie die FRL und die DRK Wache Stade, die FRL stellt von hier aus die ORGL
Florian Stade 97-11-1	ELW Rettungsdienst	STD R 9711
		Auch der LNA fährt mit diesen Fahrzeugen bzw. wird vom ORGL am Klinikum Stade eingesammelt
		
DRK Rettungswache Stade	Ohle Kamp 3	21684 Stade
Rotkreuz Stade 40-19-11	ELW	
Rotkreuz Stade 40-83-11	RTW	
Rotkreuz Stade 40-83-21	RTW	
Rotkreuz Stade 40-92-11	KTW	
Rotkreuz Stade 40-92-21	KTW	
Rotkreuz Stade 40-92-31	KTW	
Rotkreuz Stade 40-92-41	KTW	
Rotkreuz Stade 40-84-11	Reservefahrzeug RTW	
Rotkreuz Stade 40-84-21	Reservefahrzeug RTW	
Rotkreuz Stade 40-84-31	Reservefahrzeug RTW	
Rotkreuz Stade 40-84-41	Reservefahrzeug RTW	
	1 Reservefahrzeug KTW	
		
DRK Notarztstandort Elbe Klinikum Stade	Bremervörder Straße 111	21682 Stade
Rotkreuz Stade 40-82-11	NEF	
Rotkreuz Stade 40-82-21	NEF	MANV Reserve mit langer Ausrückzeit
		
Werkfeuerwehr Airbus Stade	(s.a. Feuerwehr-Liste)	
Rettung Stade 93-83-11	RTW	wird nur bei MANV alarmiert
		
Werkfeuerwehr Dow Stade	(s.a. Feuerwehr-Liste)	
Florian Stade 93-82-02	NEF	stehen nur evtl. bei Einsätzen direkt vorm Werk zur Verfügung
Florian Stade 93-83-12	RTW	stehen nur evtl. bei Einsätzen direkt vorm Werk zur Verfügung
Florian Stade 93-83-22	RTW	stehen nur evtl. bei Einsätzen direkt vorm Werk zur Verfügung
		
DRK Kreisverband Stade+Bereitschaft+SEG Stade	Am Hofacker 4	21682 Stade
Kreisverband Stade:		
Rotkreuz Stade 42-01	KdoW Kreisbereitschaftsleiter	
Rotkreuz Stade 41-11-4	ELW	
Rotkreuz Stade 42-66-6	WLF	
Rotkreuz Stade 42-69-6	GW-L	
	2x AB-Betreuung	
	1x AB-Mulde	
Bereitschaft Stade:		
Rotkreuz Stade 41-17-06	MTW	auch als ELW nutzbar
Rotkreuz Stade 41-85-16	RTW	Bereitschaftsfahrzeug im Wechsel mit JUH Stade
Rotkreuz Stade 41-85-26	S-RTW	
Rotkreuz Stade 41-94-16	KTW-4	
Rotkreuz Stade 41-96-6	GW-San	
	Geräteanhänger Sanität	Zelte/BHP
	Mehrzweckanhänger	Tische, Bänke, Großzelt
		
JUH RW+Bereitschaft+SEG Stade	Thuner Straße 124	21680 Stade
Regelrettungsdienst:		
Akkon Stade 49-83-11	RTW/MZF	Mo-So 8/9-19/17, STD R 1282
Akkon Stade 49-92-11	KTW	Mo-Fr 6-14
Akkon Stade 49-92-12	KTW	
Akkon Stade 49-84-11	RTW Reservefahrzeug	
Bereitschaft/SEG:		B-RTW, RHS, San-Grp, Log, PSNV, ZF
Akkon Stade 49-11-01	ELW	STD R 1264
Akkon Stade 49-17-11	MTW	STD R 1711, für Rettungshundestaffel
Akkon Stade 49-17-21	MTW	
Akkon Stade 49-66-11	WLF	STD R 6611, 2017
Akkon Stade 49-85-21	RTW	Bereitschafts-RTW im Wechsel mit RK Stade, STD R 1242
Akkon Stade 49-96-11	GW-San	2021
	Anhänger Rettungshunde	
	Anhänger Feldküche 250	
	Anhänger Kühl	
	Anhänger Abrollbehälter	
	Abrollbehälter Pritsche	
	Abrollbehälter Bett	350 Notbetten
		
DRK Rettungswache Buxtehude	Am Krankenhaus 1	21614 Buxtehude
		nordwestliches Ende des Geländes, nahe der Häuser Stieglitzweg 19-33
Rotkreuz Stade 40-82-12	NEF	
Rotkreuz Stade 40-83-12	RTW	
Rotkreuz Stade 40-83-22	RTW	
Rotkreuz Stade 40-92-12	KTW	Mo-Fr 9-18
Rotkreuz Stade 40-84-12	Reservefahrzeug RTW	
Rotkreuz Stade 40-84-22	Reservefahrzeug RTW	
		
FALCK RW Buxtehude	Alter Postweg 42	21614 Buxtehude
Rettung Stade 78-83-11	RTW	STD R 7804
Rettung Stade 78-92-11	KTW	
Rettung Stade 78-92-21	KTW	
Rettung Stade 78-84-11	Reservefahrzeug RTW	
		
MHD Bereitschaft+SEG Buxtehude	Bebelstraße 38	21614 Buxtehude
Johannes Stade 57-85-11	RTW	Bereitschaftsfahrzeug, das 1 Woche pro Monat ehrenamtlich besetzt ist, Neufahrzeug 03/2020
Johannes Stade 57-11-01	ELW	
Johannes Stade 57-17-01	MTW	
	Transportanhänger	
		
DRK Bereitschaft+SEG Buxtehude	Philipp-Reis-Straße 15	21614 Buxtehude
Transportstaffel:		
Rotkreuz Stade 41-85-12	RTW	Bereitschaftsfahrzeug, abwechselnd mit dem RTW des MHD
Rotkreuz Stade 41-85-22	RTW	Bereitschaftsfahrzeug, abwechselnd mit dem RTW des MHD
Rotkreuz Stade 41-94-12	4-KTW	
Sanitätsgruppe:		
Rotkreuz Stade 41-17-02	MTW	Neufahrzeug 05/2020
Rotkreuz Stade 41-96-02	GW-San	Neufahrzeug 11/2018
