THW in Niedersachsen		
		
		Aufgeführt sind die nahe an Hamburg gelegenen Regionalstellen Bremen, Verden und Buxtehude
		Weitere Infos unter: https://www.lv-hbni.thw.de/THW-LV-HBNI/DE/Landesverband/Dienststellen/dienststellen_node.html
		
THW OV Buxtehude	Helga-Wex-Platz 2	21614 Buxtehude
		http://www.thw-buxtehude.de
>>> 1. Technischer Zug		
Heros Buxtehude 21/10	MTW	
Heros Buxtehude 22/51	GKW	
	Anhänger 5t	
>>> Fachgruppe N		
Heros Buxtehude 24/54	MzKW	
	Anhänger SEA 50kVA mit Lichtmast	
	Anhänger Lima 20kVA	
>>> Fachgruppe Beleuchtung		
aufgelöst		
>>> Fachgruppe Elektroversorgung		
Heros Buxtehude 32/34	MLW 4	
		Große NEA 200/650 kVA in Beschaffung
>>> OV Stab		
Heros Buxtehude 86/25	MTW	
Heros Buxtehude 86/69	Transporter	
		
THW OV Kutenholz	Heerloge 43	27449 Kutenholz
		Zukünftig nur noch Zugtrupp, B1 und FG N, keine dedizierten Logistikeinheiten mehr
		https://ov-kutenholz.thw.de
>>> 1. Technischer Zug		
Heros Kutenholz 21/10	MTW	
Heros Kutenholz 22/51	GKW 1	
	Anhänger EGS	
>>> Fachgruppe N		
Heros Kutenholz 24/43	LKW Ladebordwand	
	Gabelstapler	
	Anhänger 7t	
	Boot	
>>> OV-Stab		
Heros Kutenholz 86/25	MTW	
		
THW OV Lüchow-Dannenberg	Konsul-Wester-Straße 12	29439 Lüchow
>>> 1. Technischer Zug		
Heros Lüchow 21/10	MTW	
Heros Lüchow 22/51	GKW 1	
	Anhänger 7t	
>>> Fachgruppe N		
	Boot	aus der FGr W?
>>> Fachgruppe Räumen (B)		
Heros Lüchow 41/62	LKW K	Neufahrzeug 2020
	Anhänger Tieflader	Neufahrzeug 2022
Heros Lüchow 41/72	BRmG R	Baujahr 2009, 2018 übernommen
>>> OV-Stab		
Heros Lüchow 79/53	GKW II	
Heros Lüchow 86/25	MTW	Neufahrzeug 2021
>>> Fachgruppe Wassergefahren		offiziell aufgelöst
Heros Lüchow 37/46	LKW Lkr	keine offizielle Funktion mehr
Heros Lüchow 37/81	MzAB a.D.?	
Heros Lüchow 37/82	MzAB a.D.?	
Heros Lüchow 37/83	MzPT a.D.?	
		
THV OV Lüneburg	Dorette-von-Stern-Straße 1	21337 Lüneburg
>>> 1. Technischer Zug		
Heros Lüneburg 21/10	MTW	
Heros Lüneburg 22/51	GKW 1	
>>> Fachgruppe N		
Heros Lüneburg 24/55	MzGW	Neufahrzeug 2021
	Anhänger mit SEA 30 kvA	
>>> Fachgruppe Schwere Bergung		
Heros Lüneburg 38/54	MzKW	
>>> Fachgruppe Elektroversorgung		
Heros Lüneburg 32/43	LKW Lbw	
	Anhänger NEA 200kVA	
	Anhänger Hubarbeitsbühne	
>>> Fachgruppe Ortung		
Heros Lüneburg 46/25	MTW	
>> Fachzug Logistik		
>>>>> Zugtrupp Logistik		
Heros Lüneburg 61/10	MTW-Ztr	
>>> Fachgruppe Logistik Verpflegung		
Heros Lüneburg 64/35	MLW 5	
Heros Lüneburg 64/43	LKW Lbw	 
	Anhänger Feldkochherd	
	Kühlanhänger	
>>> Fachgruppe Logistik Materialwirtschaft		
>>>>> Trupp Logistik Materialerhaltung		
Heros Lüneburg 63/25	MTW FGr	
Heros Lüneburg 63/63	LKW K Lkr	
	Plattformanhänger	
	Werkstattcontainer	
>>>>> Trupp Logistik Verbrauchsgüterversorgung		
Heros Lüneburg 63/34	MLW IV	
>>> OV Stab		
Heros Lüneburg 86/21	PKW-OV	
Heros Lüneburg 86/25	MTW-OV	
Heros Lüneburg 86/77	Krad	
	Anhänger Plane 750kg	
		
THW OV Rotenburg (Wümme)	Zum Flugplatz 40	27356 Rotenburg
>>> 1. Technischer Zug		
Heros Rotenburg 21/10	MTW	Neufahrzeug 2021
Heros Rotenburg 22/51	GKW	
	Anhänger 7t EGS	
>>> Fachgruppe N		
Heros Rotenburg 24/55	MzGW	Neufahrzeug 2021
	Anhänger NEA 140 kVA a.D.?	
>>> Fachgruppe Räumen		
Heros Rotenburg 41/62	LKW Kipper	
	Anhänger Tieflader	
Heros Rotenburg 41/72	BrmG Radlader	Neufahrzeug 12/2019
Heros Rotenburg 41/36	MLW 5	
	Anhänger Drucklufterzeuger a.D.?	
>>> OV Stab		
Heros Rotenburg 86/25	MTW OV / Jugend	
	Schlauchboot Jugend	
	Anhänger 38kVA Lichtmast	
	Anhänger 40kVA Stromerzeuger	
		
THW OV Stade	Ohle Kamp 8	21684 Stade
>>> 1. Technischer Zug		
Heros Stade 21/10	FüKw TZ	
Heros Stade 22/51	GKW	
	Anhänger 8.2t EGS	
>>> Fachgruppe N		
Heros Stade 25/54	MzKW	
	Anhänger NEA 50kVA Lichtmast	
>>> Fachgruppe Wasserschaden / Pumpen		
