Rettungsdienst Landkreis Uelzen		
97-07	LNA	
97-08	ORGL	
		
DRK RW Uelzen	Bartholomäiwiesen 1	29525 Uelzen
Rotkreuz Uelzen 41-83-01	RTW	24h
Rotkreuz Uelzen 41-83-02	RTW	24h
Rotkreuz Uelzen 41-83-03	RTW	Mo-Fr 7-16
Rotkreuz Uelzen 41-83-04	RTW	Mo-Fr 8-18
?	RTW	?
Rotkreuz Uelzen 41-92-01	KTW	Mo-Do 6-13, Fr 8-14
Rotkreuz Uelzen 41-92-02	KTW	Mo-Do 9-17, Fr 6-17
Rotkreuz Uelzen 41-92-03	KTW	Mo-Do 10-20, Fr 9-19
Rotkreuz Uelzen 41-92-04	KTW	?
Rotkreuz Uelzen 41-92-05	KTW	Mo-Do 8-13, Fr 6-13
Rotkreuz Uelzen 41-92-06	KTW	Mo-Do 5-15, Fr 9-18
Rotkreuz Uelzen 41-92-07	KTW	Mo-Do 9-17, Fr 6-17
Rotkreuz Uelzen 41-92-08	KTW	Mo-Do 9-17, F 9-19, Sa 6-14
Rotkreuz Uelzen 41-92-09	KTW	Mo-Do 6-13, Fr 8-14
Rotkreuz Uelzen 41-92-10	KTW	Mo-Do 10-20, Fr 9-19
Rotkreuz Uelzen 41-92-11	KTW	24h
Rotkreuz Uelzen 41-92-12	KTW	?
Rotkreuz Uelzen 41-92-13	KTW	?
Rotkreuz Uelzen 41-92-14	KTW	?
		
DRK NEF Standort Klinikum Uelzen		
Rotkreuz Uelzen 41-82-01	NEF	
		unklar ob 2. NEF vorhanden oder nur Reservefahrzeug
		
DRK RW Bad Bevensen	Klein Bünstorfer Straße 2-4	
Rotkreuz Uelzen 42-82-01	NEF	18-8!
Rotkreuz Uelzen 42-83-01	RTW	24/7
Rotkreuz Uelzen 42-83-02	RTW	16/7
Rotkreuz Uelzen 42-92-01	KTW	Mo-Fr 6-18
		
DRK RW Ebstorf	Domänenplatz 6	29574 Ebstorf
Rotkreuz Uelzen 46-83-01	RTW	
		
DRK RW Suderburger Land	Dreilinger Weg 6b	29556 Bahnsen
Rotkreuz Uelzen 48-83-01	RTW	
		
DRK RW Bad Bodenteich	Am Petersberg 16	29389 Bad Bodenteich
Rotkreuz Uelzen 45-83-01	RTW	
		
DRK OV Uelzen	Miesbacher Straße 4	29525 Uelzen
Rotkreuz Uelzen 40-10-01	KdoW	
Rotkreuz Uelzen 40-10-02	KdoW	
Rotkreuz Uelzen 40-11-01	ELW 1	
Rotkreuz Uelzen 40-83-01	RTW	
Rotkreuz Uelzen 40-83-02	RTW	
Rotkreuz Uelzen 40-83-03	RTW	
Rotkreuz Uelzen 40-89-01	S-RTW	
Rotkreuz Uelzen 40-94-01	KTW 4	
Rotkreuz Uelzen 40-16-01	BtKW	
Rotkreuz Uelzen 40-64-01	BtLKW	
Rotkreuz Uelzen 40-95-01	GW San	
Rotkreuz Uelzen 40-75-01	GW Technik	
		
DRK Bereitschaft Bad Bevensen	Klein Bünstorfer Straße 2-4	
Rotkreuz Uelzen 44-17-01	MTW Hundestaffel	
Rotkreuz Uelzen 44-19-01	Rettungshundestaffelfahrzeug	
Rotkreuz Uelzen 44-74-01	Betr. LKW	
Rotkreuz Uelzen 44-94-01	KTW 4 Tragen	
