Rettungsdienst Landkreis Verden		
	LNA	
		
DRK RW Verden	Rosenweg 9	27283 Verden
Rotkreuz Verden 40-82-01	NEF	
Rotkreuz Verden 40-83-01	RTW	
Rotkreuz Verden 40-83-02	RTW	
Rotkreuz Verden 40-83-03	RTW	
Rotkreuz Verden 40-92-01	NKTW	
Rotkreuz Verden 40-92-02	NKTW	
	Reserve-RTW	
		
DRK RW Morsum	Boschstraße 4	27321 Thedinghausen
Rotkreuz Verden 41-83-01	RTW	
		
DRK RW Achim + Kommunales Rettungszentrum Nord	Hauptstraße 1	28832 Achim
DRK		
Rotkreuz Verden 42-82-01	NEF	24/7
Rotkreuz Verden 42-83-01	RTW	24/7
Rotkreuz Verden 42-83-03	RTW	12/7 Wechsel Donnerstag und Freitag mit Landkreis
Rotkreuz Verden 42-92-01	KTW	
Rotkreuz Verden 42-92-02	KTW	
Rotkreuz Verden 42-83-02	Reserve-RTW	
Landkreis:		
Rettung Verden 82-83-01	RTW	24/7
Rettung Verden 82-83-02	RTW	12/7 Montag bis Mittwoch, Wechsel am Donnerstag
Rettung Verden 82-92-01	KTW	9.00-17.30 an 7 Tagen
		
DRK Bereitschaft:		
Rotkreuz Verden 97-10-08	OrgL. RD/Reserve NEF	
Rotkreuz Verden 97-11-01	ELW 1 ÜGTEL	
Logistikeinheit der Bereitschaft		
		
DRK RW Ottersberg	Fährwisch	28870 Ottersberg
Rotkreuz Verden 43-83-01	RTW	
Rotkreuz Verden 43-83-02	RTW	
		
DRK KV Verden		
Fahrzeugstandort beim OV	Behrensweg 2A	27283 Verden
Rotkreuz Verden 44-17-01	MTW	
Rotkreuz Verden 44-79-01	Quad	
Rotkreuz Verden 44-83-01	RTW	
Rotkreuz Verden 44-83-02	RTW (2 Tragen)	
Rotkreuz Verden 44-83-03	RTW	
Rotkreuz Verden 44-96-01	GW-San	
	Anhänger Logistik	
Fahrzeugstandort am KV	Lindhooper Straße 20-22	27283 Verden
Rotkreuz Verden 97-10-03	KdoW	
		
DRK OV Ottersberg	Grüne Straße 24	28870 Ottersberg
Rotkreuz Verden 45-83-01	RTW	
Rotkreuz Verden 45-83-02	RTW	
Rotkreuz Verden 45-93-01	KTW4	
Rotkreuz Verden 45-17-01	MTW	
Rotkreuz Verden 45-19-01	Mobile Wache	
Rotkreuz Verden 45-79-01	Quad CForce 450	
		
DRK OV Oyten	Drofstraße 18	28876 Oyten
Rotkreuz Verden 46-17-01	MTW	
Rotkreuz Verden 46-64-01	Küchenwagen	
Rotkreuz Verden 46-69-01	GW	
	Feldkochherd	
		
DRK Bereitschaft Baden	Bahnhofstraße 31	28832 Achim
Rotkreuz Verden 47-17-01	MTF	
Rotkreuz Verden 47-93-01	NKTW	
Rotkreuz Verden 47-94-01	KTW (4 Tragen)	
		
JUH OV Verden	Wischhofsweg 1	27283 Dauelsen
Akkon Verden 49-83-01	RTW	
Akkon Verden 49-91-01	KTW Typ B	
		
DRK OV Emtinghausen-Bahlum		
Rettungshundestaffel		
		
DLRG OG Verden	Lüneburger Weg	27238 Verden
Pelikan Verden 72-17-01	MTW	
Pelikan Verden 72-57-01	GW-W	
Pelikan Verden 72-78-01	MRB auf Anhänger	
Pelikan Verden (ohne FRN)	Tauchanhänger	
		
DLRG OG Otterstedt	Pottmoor 12b	28870 Ottersberg
Pelikan Verden 71-57-01	GW Taucher	
Pelikan Verden 71-78-01	MRB	
