Wach- /Funkrufname,Typ,Kommentar
Feuer- und Rettungswache 1 Innenstadt,Agrippastraße 18,50667 Köln
Florian Köln 01 KDOW 01,KdoW,
Florian Köln 01 HLF 01,HLF 20,
Florian Köln 01 HLF 02,HLF 20/16,
Florian Köln 01 PTLF 01,PTLF 4000,
Florian Köln 01 DLK 01,DLK 23/12,
Florian Köln 01 GW-W 01,GW-W,
Abrollbehälter Wasserrettung (AB-W),,
Florian Köln 01 NEF 01,NEF,
Florian Köln 01 RTW 01,RTW,
Florian Köln 01 RTW 02,RTW,
Florian Köln 01 RTW 03,RTW,PTLF-Springer
Florian Köln 01 RTW 04,RTW,
Florian Köln 01 RTW 07,RTW,
Florian Köln 01 RTW 08,RTW,
Florian Köln 01 RTW 09,RTW,Durch 5-15
,,
Feuer- und Rettungswache 2 Marienburg,Schillingsrotter Weg 8-12,50968 Köln
Florian Köln 02 KDOW 01,KdoW,
Florian Köln 02 ELW1 01,ELW1,
Florian Köln 02 HLF 01,HLF 20,
Florian Köln 02 PTLF 01,PTLF 4000,
Florian Köln 02 DLK 01,DLKF 23/12,
Florian Köln 02 RW3 01,RW2,
Florian Köln 02 KW 01,KW 45,
Florian Köln 02 NEF 01,NEF,
Florian Köln 02 RTW 01,RTW,
Florian Köln 02 RTW 02,RTW,
Florian Köln 02 RTW 03,RTW,PTLF-Springer
Florian Köln 02 RTW 04,RTW,
,,
Feuer- und Rettungswache 3 Lindenthal,Gleueler Straße 223-225,50935 Köln
Florian Köln 03 KDOW 01,KdoW,
Florian Köln 3 HLF 01,HLF 20/16,
Florian Köln 3 TLF 01,TLF 24/50,
Florian Köln 3 DLK 01,DLK 23/12,
Florian Köln 03 NEF 01,NEF,
Florian Köln 03 RTW 01,RTW,
Florian Köln 03 RTW 02,RTW,
Florian Köln 03 RTW 03,RTW,TLF-Springer
Florian Köln 03 RTW 04,RTW,
Florian Köln 03 RTW 05,RTW,
,,
Feuer- und Rettungswache 4 Ehrenfeld,Äußere Kanalstraße 67,50827 Köln
Florian Köln 04 KDOW 01,KdoW,
Florian Köln 04 HLF 01,HLF 20,
Florian Köln 04 TLF 01,TLF 24/50,
Florian Köln 04 DLK 01,DLK 23/12,
Florian Köln 04 GW-H 01,GW-H,
Florian Köln 04 NEF 01,NEF,
Florian Köln 04 RTW 01,RTW,
Florian Köln 04 RTW 02,RTW,
Florian Köln 04 RTW 03,RTW,TLF-Springer
Florian Köln 04 RTW 04,RTW,
Florian Köln 04 RTW 05,Schwerlast-RTW,Bei Bedarf durch BF Besetzt
Florian Köln 04 RTW 06,RTW,
,,
Feuer- und Rettungswache 5 Weidenpesch,"Scheibenstr. 13,",50737 Köln
Florian Köln 05 LEITER 01,KdoW LdF,
Florian Köln 05 KDOW 01,KdoW,
Florian Köln 05 KDOW 02,KdoW,
Florian Köln 05 KDOW 03,KdoW,
Florian Köln 05 KDOW 04,KdoW,
Florian Köln 05 KDOW 05,KdoW,
Florian Köln 05 KDOW 06,KdoW,
Florian Köln 05 KDOW 07,KdoW,
Florian Köln 05 KDOW 08,KdoW,
Florian Köln 05 PKW 01,PKW,
Florian Köln 05 PKW 02,PKW,
Florian Köln 05 PKW 03,PKW,
Florian Köln 05 PKW 04,PKW,
Florian Köln 05 PKW 05,ePKW,
Florian Köln 05 PKW 06,ePKW,
Florian Köln 05 PKW 07,ePKW,
Florian Köln 05 ELW1 01,ELW OvA,
Florian Köln 05 ELW1 02,ELW BvA,
Florian Köln 05 ELW1 03,ELW UvA,
Florian Köln 05 ELW1 04,ELW ATF,
Florian Köln 05 ELW3 01,ELW3,
Florian Köln 05 HLF 01,HLF 20,
Florian Köln 05 TLF 01,TLF 4000,
Florian Köln 05 DLK 01,DLK 23/12,
Florian Köln 05 RW 01,RW3,
Florian Köln 05 KW 01,FwK 45,
Florian Köln 05 GW-L 01,GW-L2,
Florian Köln 05 WLF 01,WLF 26-Kr,
Florian Köln 05 WLF 02,WLF 26,
Logistik-Gabelstapler,,"Wird in der Logistikhalle genutzt, kann jedoch auch auf einer Mulde verlastet werden"
AB-Analytik,,
AB-Bau,,
AB-Hochwasser,,
AB-Plattform 1,,
AB-Plattform 2,,
AB-Plattform 3,,
AB-Mulde 1,,
AB-Mulde 2,,
AB-Rüst,,
AB-Schaum,,Auf WLF 5.2 verlastet
AB-Schadwasserrückhaltung,,
AB-Stützen,,
AB-Tank 1,,
AB-Tank 2,,
AB-TEL,,
AB-Versorgung,,
