Wach- /Funkrufname,Typ,Kommentar
FF Köln Fernmeldedienst (95),Scheibenstraße 13,50737 Köln
Florian Köln 95 ELW1 01,ELW1,
Florian Köln 95 ELW2 01,ELW2,
Florian Köln 95 ELW2 02,ELW2,
Florian Köln 95 GW-FU 01,GW-Funk,
Florian Köln 95 GW-FMD 01,GW-FMD,
Florian Köln 95 GW-FMD 02,GW-FMD,
Florian Köln 95 Krad 01,Krad,
Florian Köln 95 Krad 02,Krad,
Florian Köln 95 Krad 03,Krad,
Florian Köln 95 Krad 04,Krad,
Florian Köln 95 MTF 01,MTF,
,,
FF Köln Umweltschutzdienst (84),Osterather Str. 40,50739 Köln
Florian Köln 84 ABC-ERK 01,ABC-ErkKw,
Florian Köln 84 GW-ATF 01,GW-ATF,"ATF NRW (Essen, Dortmund, Köln)"
Florian Köln 84 GW-Dekon-P 01,GW-Dekon-P,
Florian Köln 84 GW-Mess 01,GW-Messtechnik,
,,
FF Köln LG Rodenkirchen (92),Schillingsrotter Str. 36,50996 Köln
Florian Köln 92 LF 01,LF 20-KatS,
Florian Köln 92 LF 02,LF 8/6,Auf Unimog Fahrgestell
Florian Köln 92 MTF 01,MTF,
,Anh FPA 60/10,
,Anh Logistik,
,,
FF Köln LG Lövenich (94),Richard-Wagner-Str. 26-32,50859 Köln
Florian Köln 94 TLF 01,TLF 16/25,
Florian Köln 94 LF20-KatS 01,LF 20-KatS,
Florian Köln 94 MTF 01,MTF,
,,
FF Köln LG Widdersdorf (74),Neue Sandkaul 11,50859 Köln
"Florian Köln 74 LF 01
",LF 10/6,
Florian Köln 74 MTF 01,MTF,
,,
FF Köln LG Longerich (85),Longericher Hauptstraße 97,50739 Köln
Florian Köln 85 LF 01,LF 10/6,
Florian Köln 85 TSF-W 01,TSF-W,
Florian Köln 85 MTF 01,MTF,
,,
FF Köln LG Merkenich (75),Causemannstraße 66,50769 Köln
Florian Köln 75 LF 01,LF 10/6,
Florian Köln 75 MTF 01,MTF,
,,
FF Köln LG Esch (96),Weilerstr. 4,50765 Köln
Florian Köln 96 LF 01,LF 10/6,
Florian Köln 96 LF20-KatS 01,LF 20-KatS,
Florian Köln 96 MTF 01,MTF,
,,
FF Köln LG Fühlingen (86) GH Fühlingen,,
Florian Köln 86 LF 01,LF 10/6,
Florian Köln 86 MTF 02," MTF",
Florian Köln 86 RTB 01,RTB,
,,
FF Köln LG Fühlingen (86) GH Weiler,,
Florian Köln 86 LF 02,LF 10/6,
Florian Köln 86 MTF 01,MTF,
,TSA JF,
,Anh Logistik,
,,
FF Köln LG Langel-Rheinkassel (76),Amandusstr. 51,50769 Köln
Florian Köln 76 HLF 01,HLF 20,
Florian Köln 76 MTF 01,MTF,
,Drohne der Sonderkomponente,
,,
FF Köln LG Roggendorf (66),Quettinghofstr. 36a,50769 Köln
Florian Köln 66 HLF 01,HLF 20,
Florian Köln 66 TSF-W 01,TSF-W,
Florian Köln 66 MTF 01,MTF,
,,
FF Köln LG Worringen (56),Hackenbroicher Str. 38,50679 Köln
Florian Köln 56 LF 01,LF 10/6,
Florian Köln 56 LF20-KatS 01,LF 20-KatS,
Florian Köln 56 SW 01,SW 2000-Tr,
Florian Köln 56 RW 01,RW 1,
Florian Köln 56 MTF 01,MTF,
,,
FF Köln LG Eil (97),Neue Eiler Straße 52,51145 Köln
Florian Köln 97 LF 01,LF 10,
Florian Köln 97 TSF-W 01,TSF-W,
