Wach- /Funkrufname,Typ,Kommentar
Falck RW Köln,Ringstraße 38-46,50996 Köln
Florian Köln 02 N-KTW 01,N-KTW (KTW Typ B),
Florian Köln 12 RTW 02,RTW,
,,
ASB RW Köln,Sülzburgstraße 146,50937 Köln
Florian Köln 03 N-KTW 01,N-KTW (KTW Typ B),
,,
BF Köln RW 4-7 Bickendorf,Mathias-Brüggen-Straße 68,50827 Köln
Florian Köln 04 RTW 07,RTW,
,,
BF Köln NAS 07,Urbacher Weg 19,51149 Köln
Florian Köln 07 NEF 01,NEF,
,,
MHD RW Köln,Stolberger Straße 319,50933 Köln
Florian Köln 07 NEF 02,NEF,
,,
"BF Köln RW 8-2 ",Ostmerheimer Straße 200,51109 Köln
Florian Köln 08 RTW 02,RTW,
,,
JUH RW Köln,Frankfurter Straße 666,51107 Köln
Florian Köln 10 NEF 02,NEF,
Florian Köln 18 RTW 02,RTW,
,,
BF Köln RW 12 Rodenkirchen,Schillingsrotter Str. 36,50996 Köln
Florian Köln 12 RTW 01,RTW,
,,
DRK Köln RW OJS,Oskar-Jäger-Str. 40,50825 Köln
Florian Köln 14 N-KTW 01,N-KTW (KTW Typ B),
,,
BF Köln RW 16 Esch,Weiler Str. 4,50765 Köln
Florian Köln 16 RTW 01,RTW,
,,
BF Köln RW 17 Zündorf,Unterm Berg 19,51143 Köln
Florian Köln 17 RTW 01,RTW,
,,
BF Köln RW 18-1 Merheim,Fußballstr 55,51109 Köln
Florian Köln 18 RTW 01,RTW,
,,
BF Köln RW 19 Dellbrück,Urnenstraße 9-11,51069 Köln
Florian Köln 19 RTW 01,RTW,
,,
BF Köln RW 19-4 Dünnwald,Rönsahler Str. 30,51069 Köln
Florian Köln 19 RTW 04,RTW,
,,
BF Köln RW 29 Stammheim,Düsseldorfer Straße 336,51061 Köln
Florian Köln 19 RTW 02,RTW,
