Wachname,Kürzel,Kennziffer,GAB (Gefahrenabwehrbereich)
BF Köln FuRW Innenstadt,FW1,1,GAB 1
BF Köln FuRW Marienburg,FW2,2,GAB 3
BF Köln FuRW Lindenthal,FW3,3,GAB 3
BF Köln FuRW Ehrenfeld,FW4,4,GAB 2
BF Köln FuRW Weidenpesch,FW5,5,GAB 2
BF Köln FuRW Chorweiler,FW6,6,GAB 2
BF Köln FuRW Porz,FW7,7,GAB 3
BF Köln FuRW Ostheim,FW8,8,GAB 3
BF Köln FuRW Mülheim,FW9,9,GAB 1
BF Köln FuRW Kalk,FW10,10,GAB 1
BF Köln FuRW Weiden,FW14,14,GAB 2
FF Köln Fernmeldedienst,FMD,95,GAB 3
FF Köln Umweltschutzdienst,USD,84,GAB 1
FF Köln LG Rodenkirchen,RD,92,GAB 3
FF Köln LG Lövenich,LV,94,GAB 2
FF Köln LG Widdersdorf,WI,74,GAB 2
FF Köln LG Longerich,LO,85,GAB 2
FF Köln LG Merkenich,MK,75,GAB 2
FF Köln LG Esch,ES,96,GAB 2
FF Köln LG Fühlingen,FU,86,GAB 2
FF Köln LG Langel-Rheinkassel,LR,76,GAB 2
FF Köln LG Roggendorf,RG,66,GAB 2
FF Köln LG Worringen,WO,56,GAB 2
FF Köln LG Eil,EIL,97,GAB 3
FF Köln LG Ensen-Westhoven,EN,87,GAB 3
FF Köln LG Libur,LB,77,GAB 3
FF Köln LG Porz-Langel,PL,67,GAB 3
FF Köln LG Urbach,UB,57,GAB 3
FF Köln LG Wahn-Heide-Lind,WA,47,GAB 3
FF Köln LG Zündorf,ZU,37,GAB 3
FF Köln LG Brück,BR,98,GAB 1
FF Köln LG Heumar,HE,88,GAB 3
FF Köln LG Dellbrück,DE,99,GAB 1
FF Köln LG Dünnwald,DU,89,GAB 1
FF Köln LG Flittard,FL,79,GAB 1
FF Köln LG Holweide,HO,69,GAB 1
FF Köln LG Strunden,ST,59,GAB 1
FF Köln LG Kalk,KA,90,GAB 1
