Funkrufname	Typ	Betreiber	Standort
Christoph Europa 2	RTH	ADAC	Rheine - LRZ Rheine
Christoph Westfalen	ITH	ADAC	Greven - Flughafen Münster-Osnabrück
Christoph 13	RTH	BMI	Bielefeld - LRZ Bielefeld
Christoph 8	RTH	ADAC	Lünen - St. Marien Hospital
Christoph Dortmund	ITH	DRF	Dortmund - Flughafen Wickede
Christoph 9	RTH	BMI	Duisburg - Berufsgenossenschaftliche Unfallklinik
Christoph Europa 1	RTH	ADAC	Würselen - Flugplatz Merzbrück
SAR 41	SAR	HEER	Nörvenich - Fliegerhorst
Christoph 3	RTH	BMI	Köln - Konrad Adenauer Flughafen
Christoph Rheinland	ITH	ADAC	Köln - Konrad Adenauer Flughafen
Christoph 25	RTH	ADAC	Siegen - Evangelisches Jung Stilling Krankenhaus
