Wach- /Funkrufname,Typ,Kommentar
FF Brunsbüttel Wache Nord,Kopernikusstraße 2,25541 Brunsbüttel
Florian Dithmarschen 40-11 -01,ELW 1,
Florian Dithmarschen 40-14-01,MZF,
Florian Dithmarschen 40-25-01,sonTLF,
Florian Dithmarschen 40-32-01,DLK,
Florian Dithmarschen 40-45-01,LF 8/6,
Florian Dithmarschen 40-48-01,HLF 20-16,
Florian Dithmarschen 40-48-02,LF 16-12,
Florian Dithmarschen 40-48-04,LF 10,
Florian Dithmarschen 40-49-01,VLF,
Florian Dithmarschen 40-64-01,WLF-Lkr,
Florian Dithmarschen 40-64-02,WLF-Lkr,
Florian Dithmarschen 40-64-03,WLF-Lkr,
Florian Dithmarschen 40-69-01,GW-Logistik,
Florian Dithmarschen 40-78-01,MZB,
AB Atemschutz,,
AB Schiffsbrandbekämpfung,,
AB Ölwehr,,
AB Rüst,,
AB Mulde,,
AB MZB,,
,,
FF Brunsbüttel OF Ort,Mühlenberg 1,25541 Brunsbüttel
Florian Dithmarschen 40-14-02,MZF,
Florian Dithmarschen 40-46-01,LF 20-16,
Florian Dithmarschen 40-48-03,HLF 20-16,
Florian Dithmarschen 40-61-01,SW2000,
,,
FF Brunsbüttel OF Süd,Am Klint,25541 Brunsbüttel
Florian Dithmarschen 40-20-01,TLF 16-25,
Florian Dithmarschen 40-21-01,sonTLF,
Florian Dithmarschen 40-69-01,sonLog,
,,
Amt Burg-St.Michaelisdonn,,
,,
FF Eddelak,Wilhelm-Johnsen-Straße 9,25715 Eddelak
Florian Dithmarschen 37-18-01,MTW,
Florian Dithmarschen 37-11-01,ELW 1,
Florian Dithmarschen 37-45-01,HLF 10-6,
,,
FF Averlak-Blangenmoor,Hauptstraße 93,25715 Averlak
Florian Dithmarschen 38-14-01,MZF,
Florian Dithmarschen 38-44-01,LF10-6,
,,
FF St.Michaelisdonn,Johannssenstraße 21,25693 Sankt Michaelisdonn
Florian Dithmarschen 39-11-01,ELW 1,
Florian Dithmarschen 39-47-01,LF10,
Florian Dithmarschen 39-48-01,LF16-12,
,,
PF Burg,Seilerstraße 8a,25712 Burg (Dithmarschen)
Florian Dithmarschen 91-11-01,ELW 1,
Florian Dithmarschen 91-14-01,MZF,
Florian Dithmarschen 91-31-01,DLK 18/12,
Florian Dithmarschen 91-45-01,LF10-6,
Florian Dithmarschen 91-48-01,HLF20-16,
,,
FF Buchholz,Hauptstraße 35,25712 Buchholz
Florian Dithmarschen 92-41-01,TSF-W,
Florian Dithmarschen 92-43-01,LF10-6,
,,
FF Kuden,Lindenstraße 9,25712 Kuden
Florian Dithmarschen 93-18-01,MTW,
Florian Dithmarschen 93-41-01,StLF10-6,
,,
FF Quickborn-Brickeln,Rader Straße 4,25712 Brickeln
Florian Dithmarschen 94-41-01,TSF-W,
,,
FF Süderhastedt,Bergstraße 5,25727 Süderhastedt
Florian Dithmarschen 95-41-01,MLF,
Florian Dithmarschen 95-42-01,LF8,
,,
FF Eggstedt,Hauptstraße 38,25721 Eggstedt
Florian Dithmarschen 96-40-01,TSF,
Florian Dithmarschen 96-41-01,StLF10-6,
,,
FF Hochdonn,Hauptstraße 33,25712 Hochdonn
Florian Dithmarschen 97-42-01,LF8,
Florian Dithmarschen 97-48-01,HLF10-6,
,,
FF Frestedt,Dorfstraße 3,25727 Frestedt
Florian Dithmarschen 98-41-01,TSF-W,
FwA-Transport/Schlauch,,
,,
FF Großenrade,Frestedter Weg 2,25712 Großenrade
Florian Dithmarschen 99-41-01,TSF-W,
,,
Amt Büsum-Wesselburen,,
,,
FF Hedwigenkoog,Koogchaussee,25761 Hedwigenkoog
Florian Dithmarschen 16-41-01,TSF-W,
,,
FF Warwerort,Zum Kronenberg,25761 Warwerort
Florian Dithmarschen 17-41-01,TSF-W,
Florian Dithmarschen 17-59-01,sonGW,
,,
FF Büsum,Lehnsweg 12,25761 Büsum
Florian Dithmarschen 18-11-01,ELW1,
Florian Dithmarschen 18-14-01,MZF,
Florian Dithmarschen 18-32-01,DLK23/12,
Florian Dithmarschen 18-43-01,LF8-6,
Florian Dithmarschen 18-46-01,LF16-12,
Florian Dithmarschen 18-48-01,HLF20,
Florian Dithmarschen 18-59-01,sonGW,
Florian Dithmarschen 18-78-01,MZB,
,,
FF Westerdeichstrich,Heunernest 2,25761 Westerdeichstrich
Florian Dithmarschen 19-14-01,MZF,
Florian Dithmarschen 19-43-01,LF8-6,
Florian Dithmarschen 19-65-01,GW-N,
,,
FF Wesselburen-Stadt,Büsumer-Straße 9b,25764 Wesselburen
Florian Dithmarschen 04-11-03,ELW 1 Feuerwehrbereitschaft,
Florian Dithmarschen 20-18-01,MTW,
Florian Dithmarschen 20-20-01,TLF2000,
Florian Dithmarschen 20-44-01,LF8-6,
Florian Dithmarschen 20-48-01,HLF10,
Florian Dithmarschen 04-42-33,LF16-TS Feuerwehrbereitschaft,
,,
FF Hellschen-Heringsand-Unterschaar,Dorfstrasse 12,25764 Hellschen
Florian Dithmarschen 21-41-01,TSF-W,
,,
FF Reinsbüttel,Dorfstrasse 12,25764 Reinsbüttel
