Berufsfeuerwehr		
BF Kiel FuRW Westring	Westring 325	24116 Kiel
FW		diverse Fahrzeuge an Standort Grasweg ausgelagert
Florian Kiel 00/01-01	PKW-Amtsleiter BF	
Florian Kiel 00/01-02	PKW stellv. Amtsleiter BF	
Florian Kiel 00/03-01	KdoW	
Florian Kiel 00/03-02	KdoW	
Florian Kiel 00/05-01	PKW LNA	
Florian Kiel 00/05-02	PKW LNA/ORGL	
Florian Kiel 10/07-01	PKW IRLS	
Florian Kiel 10/11-01	ELW 1	
Florian Kiel 10/11-02	ELW 1 Reserve	
Florian Kiel 10/12-01	ELW 2	
Florian Kiel 10/17-01	PKW	
Florian Kiel 10/17-02	PKW	
Florian Kiel 10/17-03	PKW	
Florian Kiel 10/17-04	PKW	
Florian Kiel 10/17-05	PKW	
Florian Kiel 10/18-01	MTW	
Florian Kiel 10/18-02	MTW	
Florian Kiel 10/19-02	Werkstattwagen	
Florian Kiel 10/32-01	DLK	Löschzug
Florian Kiel 10/32-02	DLK Reserve	
Florian Kiel 10/48-01	HLF	Löschzug
Florian Kiel 10/48-02	HLF	Löschzug
Florian Kiel 10/48-03	HLF Reserve	
Florian Kiel 10/48-04	HLF Reserve	
Florian Kiel 10/63-01	WLF	
Florian Kiel 10/63-02	WLF	
Florian Kiel 10/63-03	WLF	
Florian Kiel 10/64-01	WLF Kran	
Florian Kiel 10/64-02	WLF Kran	
Florian Kiel 10/65-01	Klein-LKW	
Florian Kiel 10/67-01	GW-L1	
Florian Kiel 10/71-01	WLF Kran	a.D.?
		
	Abrollbehälter Gefahrgut (AB-G)	
	Abrollbehälter Rüst (AB-Rüst)	
	Abrollbehälter Technische Einsatzleitung (AB-TEL)	
	Abrollbehälter Schnell Einsatz Gruppe (AB-SEG)	
	Abrollbehälter Sonderlöschmittel (AB-SLM)	
	Abrollbehälter Schiffsbrandbekämpfung (AB-SBB)	
	Abrollbehälter Boot (AB-Boot)	
	Abrollbehälter Mulde	
	Abrollbehälter Öl	
	Abrollbehälter KatS	
	Abrollbehälter Hygiene	
	Abrollbehälter Gefahrgutübung	
		
RD		
Florian Kiel 10/83-01	RTW	
Florian Kiel 10/85-10	KTW Überlast	
Florian Kiel 10/88-01	I-KTW	
		
BF Kiel FuRW Ostring	Röntgenstraße 9-11	24143 Kiel
FW		
Florian Kiel 20/11-1	ELW 1	
Florian Kiel 20/14-1	MZW	
Florian Kiel 20/17-1	PKW	
Florian Kiel 20/19-1	Gerätewagen	
Florian Kiel 20/19-2	Werkstattwagen	
Florian Kiel 20/32-1	DLK	
Florian Kiel 20/32-2	DLK (Reserve)	
Florian Kiel 20/48-1	HLF	
Florian Kiel 20/48-2	HLF	
Florian Kiel 20/48-3	HLF (Reserve)	
Florian Kiel 20/56-1	GW-A	
Florian Kiel 20/65-1	GW	
Florian Kiel 20/65-2	Klein-LKW	Ausrüstungskammer
	FwA-RTB	
	Reserve-RTW	
	Hofschlepper	
RD		
Florian Kiel 20/83-01	RTW	
Florian Kiel 20/89-01	Löschzug-RTW	
Florian Kiel 20/83-10	RTW	"ad hoc"
Florian Kiel 20/85-10	KTW	"ad hoc"
	Reserve RTW	
		
BF Kiel FuRW Nord	Boelckestraße 100	24159 Kiel
FW		
Florian Kiel 30/17-01	PKW	
Florian Kiel 30/24-01	TLF 20/40	
Florian Kiel 30/32-01	DLK 23/12	
Florian Kiel 30/48-01	HLF 20/16	
Florian Kiel 30/59-01	GW-Höhenrettung	
Florian Kiel 00/05-11	KdoW R-Dienst	
Florian Kiel 30/89-01	Löschzug-RTW	auch als 30/83-10 ad hoc RTW
	FwA-RTB	
		
Akademie der Feuerwehr Kiel	Wellseedamm 21	24145 Kiel
Florian Kiel 29/18-03	MTW	
Florian Kiel 29/43-01	LF 10/6	
Florian Kiel 29/48-01	HLF 20/16	
Florian Kiel 29/48-0x	HLF 10	Ausbildungs- und Neufahrzeug 2023
		
		
Freiwillige Feuerwehr		
FF Kiel OW Schilksee	Schilkseer Straße 154b	24159 Kiel
Florian Kiel 40/18-01	MTW	
Florian Kiel 40/47-01	LF KatS SH	
Florian Kiel 40/48-01	HLF 10	Neufahrzeug 2023	
		
FF Kiel OW Elmschenhagen	Rüsterstraße 14	24146 Kiel
Florian Kiel 41/14-01	MZF	
Florian Kiel 41/47-01	LF-KatS	
Florian Kiel 41/47-02	LF-KatS	
Florian Kiel 41/48-01	HLF 10	Neufahrzeug 2023
Florian Kiel 41/61-01	GW-L2	Wasserförderung
Florian Kiel 50/74-01	GW-Dekon P	
		
FF Kiel OW Suchsdorf	Nienbrügger Weg 43	24107 Kiel
Florian Kiel 42/14-01	MZF	
Florian Kiel 42/24-01	TLF 3000	
Florian Kiel 42/42-01	LF 8/6	
Florian Kiel 42/48-01	HLF 10	
Florian Kiel 50/74-02	GW-Dekon P	
		
FF Kiel OW Wellsee	Kirchenberg 1	24145 Kiel
Florian Kiel 43/18-01	MTW	
Florian Kiel 43/43-01	LF 10/6	
Florian Kiel 43/44-01	LF 8/6	a.D.
Florian Kiel 43/48-01	HLF 10	Neufahrzeug 2023
Florian Kiel 50/56-01	GW-A	
		
FF Kiel OW Moorsee	Steindamm 135	24145 Kiel
Florian Kiel 44/18-01	MTW	
Florian Kiel 44/20-01	TLF 16/24-Tr.	
Florian Kiel 44/48-01	HLF 10	Neufahrzeug 2023
		
FF Kiel OW Russee	Rendsburger Landstraße 369C	24111 Kiel
Florian Kiel 45/14-01	MZF	
Florian Kiel 45/47-01	LF 20-KatS	
Florian Kiel 45/47-02	LF 20-KatS	
Florian Kiel 45/48-01	HLF 10	Neufahrzeug 2023
Florian Kiel 45/61-01	GW-L2	Wasserförderung
Florian Kiel 50/67-02	GW-L1	
		
FF Kiel OW Rönne	Petersilienweg 25	24145 Kiel
Florian Kiel 46/14-01	MZF	
Florian Kiel 46/48-01	HLF 10	Neufahrzeug 2023
Florian Kiel 46/50-01	RW1 KatS	
		
FF Kiel OW Meimersdorf	Am Dorfplatz 6	24145 Kiel
Florian Kiel 47/14-01	MZF	
Florian Kiel 47/20-01	TLF 16/24-Tr	
Florian Kiel 47/24-01	TLF 3000	
Florian Kiel 47/48-01	HLF 10	Neufahrzeug 2023
		
FF Kiel OW Dietrichsdorf	Poggendörper Weg 36	24149 Kiel
Florian Kiel 48/14-01	MZF	
Florian Kiel 48/47-01	LF KatS SH	
Florian Kiel 48/48-01	HLF 10	Neufahrzeug 2023
Florian Kiel 50/12-01	ELW 2	Fernmeldezug
Florian Kiel 50/14-01	MZF	Fernmeldezug
Florian Kiel 50/67-01	GW-L1	Verpflegung
		
FF Kiel OW Gaarden	 Diedrichstraße 22	24143 Kiel
Florian Kiel 49/14-01	MZF	
Florian Kiel 49/47-01	LF 20 KatS	Bund
Florian Kiel 49/48-01	HLF 10	
		
FF Kiel Stadtfeuerwehrverband	Diedrichstraße 22	24143 Kiel
Florian Kiel 50/02-01	PKW	Stadtwehrführer
Florian Kiel 50/02-02	PKW	Stellv. Stadtwehrführer
		
Werk- und Betriebsfeuerwehren		
Bundeswehr Feuerwehr Marinestützpunkt Kiel		24159 Kiel
		mehrere Positionierungsorte, vor allem Schweriner Straße
		da das MFG verlegt wurde wohl keine FlKFZ mehr?
Florian Kiel 80/11-01	ELW 1	
Florian Kiel 80/23-01	FlKFZ Gebäude	
Florian Kiel 80/27-01	FlKFZ 3500	a.D.?
Florian Kiel 80/29-01	FlKFZ 1000	a.D.?
Florian Kiel 80/32-01	DL(A)K 23/12	
Florian Kiel 80/48-01	HLF 16	
Florian Kiel 80/51-01	FlKFZ Geräterüst	
Florian Kiel 80/68-01	GW-L2	
	Anhänger Ölwehr	
		
WF Thyssenkrupp Marine Systems Kiel	Werftstraße 112-114	24143 Kiel
Florian Kiel 81-10-01	KdoW	
Florian Kiel 81-18-01	MTW	
Florian Kiel 81-18-02	MTW	
Florian Kiel 81-48-01	HLF	
Florian Kiel 81-69-01	GW-L	
Florian Kiel 81-49-01	LF	
Florian Kiel 81-83-01	RTW	
	RTB	
	Anhänger mit Ölseparationsanlage	
		
