Katastrophenschutz		
BF Kiel KatS-Zentrum	Holzkoppelweg 9	24118 Kiel
		Aufgrund Platzmangels steht ein Teil der Fahrzeuge am Grasweg 14
		
Florian Kiel 11/85-01	KTW-4 geländegängig	
Florian Kiel 11/19-01	MTW	
Florian Kiel 11/44-01	HLF	
Florian Kiel 11/73-01	NEF	
Florian Kiel 11/73-02	PKW	
Florian Kiel 11/65/01	WLF	
		
Fernmeldezug Kiel:		
Florian Kiel 50/14-01	MZF	
Florian Kiel 50/14-02	MZF	
		
DRK KV Kiel:	
Rotkreuz Kiel 66/19-02	MTW	
Rotkreuz Kiel 66/19-03	KTW4	
Rotkreuz Kiel 66/90-01	NKTW	
Rotkreuz Kiel 66/96-01	ArTrKw	
Rotkreuz Kiel 66/98-01	GW-BT	
		
JUH RV Kiel:	
Akkon Kiel 70/19-03	MTW	
Akkon Kiel 70/87-01	NKTW	
Akkon Kiel 70/88-01	ArTrKw	
		
MHD Kiel:		
Johannes Kiel 75/19-03	MTW	
Johannes Kiel 75/92-01	KTW4	
Johannes Kiel 75/92-02	KTW4	
		
		
ASB RV Kiel	Hamburger Chaussee 90	24113 Kiel
Sama Kiel 60/10-01	KdoW	
Sama Kiel 60/14-01	Dienst-KFZ	a.D.?
Sama Kiel 60/18-01	Bt-Kombi	
Sama Kiel 60/97-01	GW-L1	
		
Sanitätsdienst		
Sama Kiel 60/83-11	RTW	
Sama Kiel 60/83-12	RTW	
Sama Kiel 60/96-01	NKTW	
Sama Kiel 60/92-01	KTW-4	
Sama Kiel 60/95-01	GW-San	
		
Wasserrettung:	
Sama Kiel 60/18-01	GW/MTW WasserRett	
	GA-WRD/TES	
	GW-Taucher neu 2021	
	Anhänger Boot	
	Motorboot "MS Heidi"	
		
DRK KV Kiel	Papenkamp 3	24114 Kiel
Rotkreuz Kiel 66/10-01	KdoW	
Rotkreuz Kiel 66/10-02	KdoW	
Rotkreuz Kiel 66/14-01	MZF	
Rotkreuz Kiel 66/16-01	KdoW	
Rotkreuz Kiel 66/18-02	MTW	
Rotkreuz Kiel 66/83-05	RTW	
Rotkreuz Kiel 66/83-06	RTW	
Rotkreuz Kiel 66/83-07	RTW	
Rotkreuz Kiel 66/90-01	NKTW	Steht am KatS Zentrum
Rotkreuz Kiel 66/92-01	KTW-4	
Rotkreuz Kiel 66/95-01	GW-San	
Rotkreuz Kiel 66/96-01	ATrKw	Steht am KatS Zentrum
		
		
JUH OV Kiel	Waitzstraße 44a	24105 Kiel
		Ein Teil der Fahrzeuge steht am Grasweg
Akkon Kiel 70/11-01	ELW 1	
Akkon Kiel 70/15-01	Krad	
Akkon Kiel 70/15-02	Krad	
Akkon Kiel 70/17-01	PKW Med. Transportdienst	MTD KI 2
Akkon Kiel 70/18-01	MTW	
Akkon Kiel 70/18-02	MTW-KatS	
Akkon Kiel 70/18-03	MTW	
Akkon Kiel 70/18-04	MZW Med.Transportdienst	MTD KI 1
Akkon Kiel 70/83-11	RTW	
Akkon Kiel 70/83-12	RTW/MZF	Fernverleger
Akkon Kiel 70/85-11	KTW	
Akkon Kiel 70/90-01	KTW-B	
Akkon Kiel 70/96-01	ArTrKw	
		
MHD Kiel	Jägersberg 7	24103 Kiel
Johannes Kiel 75/18-01	MTF	
Johannes Kiel 75/18-02	MTF	
Johannes Kiel 75/69-01	GW-N	
Johannes Kiel 75/85-01	KTW	
Johannes Kiel 75/92-01	KTW-4	Steht im KatS Zentrum
Johannes Kiel 75/92-02	KTW-4	Steht im KatS Zentrum
		
KIT Team Kiel:		
Johannes Kiel 75/99-01	MTF KIT	
Johannes Kiel 75/99-02	MTF PSNV	
		
		
DRK Wasserwacht Kiel	Göteborgring 82	24109 Kiel
Rotkreuz Kiel 67/19-01	MTW	
Rotkreuz Kiel 67/58-01	MZF	
Rotkreuz Kiel 67/58-02	MZF	
		
	Geräteanhänger	
	Mobile Sanitätsstation	
		
LK 67/78/06	MRB	
LK 67/78/07	MRB	
LK 67/78/08	MRB	
LK 67/78/09	MRB	
LK 67/78/10	MRB	
LK 67/78/14	MRB	
LK 67/78/27	MRB	
LK 67/78/28	MRB	
		
		
DLRG Gliederung Kiel	Zum Kesselort 73-75	24149 Kiel
Pelikan Kiel 64/19-01	MTW	
Pelikan Kiel 64/58-01	GW-Wasserrettung	
		
Adler Kiel 78-01	Barkasse Adler	
Adler Kiel 78-02	RTB 2 Habicht	
Adler Kiel 78-03	MZB Falke	
Adler Kiel 78-04	MZB Nivea 13	
Adler Kiel 78-05	MZB Kondor	
Adler Kiel 78-06	RTB 1 KGB	
Adler Kiel 78-07	RTB 2 Möwe	
		
	Einsatzleitcontainer	
