Kennung	Feuerwehr	Funk	Fahrzeugtyp
			
1	KFV Herzogtum Lauenburg	Lankener Weg 26	21493 Elmenhorst
		Florian Lauenburg 01/10-01	KdoW
		Florian Lauenburg 01/14-01	MZF
		Florian Lauenburg 01/18-01	MTW
		Florian Lauenburg 01/41-01	TSF-W
		Florian Lauenburg 01/46-01	LF 16
		Florian Lauenburg 01/50-01	RW1
		Florian Lauenburg 01/68-01	GW-L2 (Schlauchwagen)
			
2	TEL Herzogtum Lauenburg		
		Florian Lauenburg 02/12-01	ELW2 (TEL)
		Florian Lauenburg 02/14-01	MZF Drohne
			
3	LZG Herzogtum Lauenburg	Lankener Weg 26	21493 Elmenhorst
		Florian Lauenburg 03/11-01	ELW1
		Florian Lauenburg 03/14-01	MZF
		Florian Lauenburg 03/54-01	GW-G
		Florian Lauenburg 03/68-01	GW-L
		Florian Lauenburg 03/71-01	CBRNErkW
		Florian Lauenburg 03/72-02	ReakErk (Lauenburg)
		Florian Lauenburg 03/72-03	ReakErk (Mölln)
		Florian Lauenburg 03/72-04	ReakErk (Schwarzenbek)
		Florian Lauenburg 03/74-01	GW DekonP
			
7	LZG Herzogtum Lauenburg		
		Florian Lauenburg 07/61-01	SW KatS
			Hochleistungspumpe 50
			
10	Geesthacht Hauptwache	Kehrwieder Straße	21502 Geesthacht
		Florian Lauenburg 10/10-01	KdoW
		Florian Lauenburg 10/11-01	ELW 1
		Florian Lauenburg 10/12-01	ELW 2
		Florian Lauenburg 10/18-01	MTW
		Florian Lauenburg 10/25-01	TLF 4000
		Florian Lauenburg 10/32-01	DLK 23/12
		Florian Lauenburg 10/46-01	LF 20
		Florian Lauenburg 10/47-01	LF 16/12
		Florian Lauenburg 10/48-01	HLF 20
		Florian Lauenburg 10/68-01	GW-L2
		Florian Lauenburg 10/76-01	GW-ASG
			
	Geesthacht Nordwache	Mercatorstraße 14a	21502 Geesthacht
		Florian Lauenburg 10/47-02	LF-KatS
		Florian Lauenburg 10/48-02	HLF 20
			
	Grünhof-Tesperhude	Grünhofer Straße 50	21502 Geesthacht
		Florian Lauenburg 10/14-11	MZF
		Florian Lauenburg 10/18-11	MTW JF
		Florian Lauenburg 10/44-11	LF 8/6
		Florian Lauenburg 10/48-11	HLF 20/16
			
	Werkf. KKW Krümmel	Elbuferstraße 82	21502 Geesthacht
		Florian Lauenburg 10/21-21	SLF 25/25
		Florian Lauenburg 10/21-22	SLF 25/25
		Florian Lauenburg 10/46-21	LF 20/16
		Florian Lauenburg 10/67-21	GW-N
			
11	Börnsen	Börnsener Straße 21a	21039 Börnsen
		Florian Lauenburg 11/11-01	ELW 1
		Florian Lauenburg 11/18-01	MTW
		Florian Lauenburg 11/46-01	LF 16/12
		Florian Lauenburg 11/46-02	LF 10
		Florian Lauenburg 11/48-01	HLF 20/16
			
12	Escheburg	Hofweg 2	21039 Escheburg
		Florian Lauenburg 12/11-01	ELW 1
		Florian Lauenburg 12/18-01	MTW
		Florian Lauenburg 12/47-01	LF 16/12
		Florian Lauenburg 12/48-01	HLF 20/16
			
13	Kröppelshagen-Fahrendorf	Schulweg 1	21529 Kröppelshagen
		Florian Lauenburg 13/14-01	MZF
		Florian Lauenburg 13/47-01	LF 10
		Florian Lauenburg 13/48-01	HLF 20/16
			
14	Dassendorf	Am Brink 1	21521 Dassendorf
		Florian Lauenburg 14/18-01	MTF
		Florian Lauenburg 14/18-02	MTF
		Florian Lauenburg 14/47-01	LF 20/16
		Florian Lauenburg 14/48-01	HLF 20/16
			
15	Hohenhorn	Am Ebersoll 2	21526 Hohenhorn
		Florian Lauenburg 15/18-01	MTW
		Florian Lauenburg 15/45-01	LF 8/6
			FwA-Ölschaden
			
	Worth	Bogenstraße	21502 Worth
		Florian Lauenburg 15/46-01	LF 16/12
			
16	Wiershop	Lindenstraße 8	21502 Wiershop
		Florian Lauenburg 16/14-02	MZF
		Florian Lauenburg 16/44-01	LF 8/6
			
	Hamwarde	Dreiecksplatz 2	21502 Hamwarde
		Florian Lauenburg 16/14-01	MZF
		Florian Lauenburg 16/45-01	LF 8/6
		Florian Lauenburg 16/46-01	LF 16
			
17	Wohltorf	Am Brink 5	21521 Wohltorf
		Florian Lauenburg 17/18-01	MTW
		Florian Lauenburg 17/22-01	TLF 16/25
		Florian Lauenburg 17/45-01	LF 10/6
			AL 16/4 (AL 18)
			
18	Wentorf/HH	Fritz-Specht-Weg 3	21465 Wentorf bei Hamburg
		Florian Lauenburg 18/11-01	ELW 1
		Florian Lauenburg 18/18-01	MTF
		Florian Lauenburg 18/18-02	MTF
		Florian Lauenburg 18/22-01	TLF 16/25
		Florian Lauenburg 18/32-01	DLK 23/12
		Florian Lauenburg 18/47-01	LF 16/12
		Florian Lauenburg 18/48-01	LF 20/16
			
19	Aumühle	Bergstraße 9	21521 Aumühle
		Florian Lauenburg 19/14-01	MZF
		Florian Lauenburg 19/18-01	MTW
		Florian Lauenburg 19/42-01	LF 8
		Florian Lauenburg 19/48-01	HLF 20
			FwA-MZ
			ÖSA
			
20	Lauenburg/Elbe	Reeperbahn 33	21481 Lauenburg
		Florian Lauenburg 20/10-01	KdoW
