Funkrufname	Fahrzeugtyp	Kommentare
ORGL und LNA in Kooperation mit Kreis Stormarn, LNA oft per FF-Shuttle		
		
RZ-RW-10 Geesthacht (RW 1)	Am Runden Berge 15	21502 Geesthacht
Rettung Lauenburg 10-82-01	NEF	24h
Rettung Lauenburg 10-83-01	RTW	24h
Rettung Lauenburg 10-83-02	RTW	24h
Rettung Lauenburg 10-83-03	RTW	Mo-Fr 7-17 Uhr
Rettung Lauenburg 10-85-01	KTW	Mo-Fr 6-22 Uhr
Rettung Lauenburg 10-85-02	KTW	Mo-Fr 7-17 Uhr
		
RZ-RW-20 Lauenburg/Elbe	Lütauer Chaussee 18	21481 Lauenburg
Rettung Lauenburg 20-83-01	RTW	
Rettung Lauenburg 20-83-02	RTW	
Rettung Lauenburg 20-85-01	KTW	
		
RZ-RW-27 Basedow	Sandberg 20	21483 Basedow
Rettung Lauenburg 27-85-01	KTW	Mo-Fr tagsüber
Rettung Lauenburg 00-10-03	KdoW ORGL	
Reserve RTW		
Reserve KTW		
		
RZ-RW-30 Schwarzenbek	Bismarckstraße 9 (b)	21493 Schwarzenbek
Rettung Lauenburg 30-83-01	RTW	
		
RZ-RW-33 Lanken	Besenbinderstraße 1	21493 Elmenhorst
Rettung Lauenburg 33-83-01	RTW	24h
Rettung Lauenburg 33-85-01	KTW	Mo-Fr 7-17
		
RZ-RW-40 Büchen	Möllner Straße 61	21514 Büchen
Rettung Lauenburg 40-83-01	RTW	24/7
Rettung Lauenburg 40-83-02	RTW	7-17
		
RZ-RW-60 Mölln	Am Brook 1	23879 Mölln
Rettung Lauenburg 60-82-01	NEF	24h
Rettung Lauenburg 60-83-01	RTW	24h
Rettung Lauenburg 60-83-02	RTW	24h
Rettung Lauenburg 60-83-03	RTW	8-17:30
		
RZ-RW-66 Salem	Seestraße 1	23911 Salem
Rettung Lauenburg 66-83-01	RTW	24h
Rettung Lauenburg 66-85-01	KTW	Mo-Fr 06:30-16:30
		
RZ-RW-68 Lehmrade	Gudower Straße	23883 Lehmrade
Rettung Lauenburg 68-83-01	RTW	24h
		
RZ-RW-70 Ratzeburg (RW II)	Röpersberg 4	23909 Ratzeburg
Rettung Lauenburg 70-82-01	NEF	24h
Rettung Lauenburg 70-83-02	RTW	24h
		
RZ-RW-70 Ratzeburg (RW I)	Am Rackerschlag 7	23909 Ratzeburg
Rettung Lauenburg 70-83-01	RTW	24h
Rettung Lauenburg 70-85-01	KTW	Mo-Sa 07-18
Rettung Lauenburg 70-85-02	KTW	Mo-Fr 07-18
Reserve RTW für den Nordbereich		
		
RZ-RW-91 Schiphorst	Schulweg 1	23847 Schiphorst (Bei der FF)
Rettung Lauenburg 91-83-01	RTW	
		
RZ HLR Verwaltung Ratzeburg	Langenbrücker Straße 15	23909 Ratzeburg
Rettung Lauenburg 00-10-02	KdoW	ORGL, s.a. 10-03 Basedow
Rettung Lauenburg 00-10-04	KdoW	Führungsdienst
		
ASB Bereitschaft Geesthacht	Geesthachter Straße 82	21502 Geesthacht
Sama Lauenburg 10-91-01	KTW	MANV-T, sollte in 2024 durch N-KTW ersetzt werden
		
DRK OV Elbgeest	Schwarzenbeker Landstraße 8	21039 Börnsen
Rotkreuz Lauenburg 11-11-01	ELW	
Rotkreuz Lauenburg 11-14-01	Betr. Kombi	
Rotkreuz Lauenburg 11-18-01	Betr. Kombi	
Rotkreuz Lauenburg 11-18-02	PKW	
Rotkreuz Lauenburg 11-74-01	LKW	
Rotkreuz Lauenburg 11-99-02	GW Betreuung	
	Feldkochherd	
		
DLRG Bezirk Oberelbe	Lütauer CHaussee 17	21481 Lauenburg/Elbe
Führungsgruppe MANV		
Pelikan Lauenburg 20-10-01	KdoW	
Pelikan Lauenburg 20-11-01	ELW	
Pelikan Lauenburg 20-11-02	ELW/MZF	
Pelikan Lauenburg 20-14-01	MZF	
1.Logistikgruppe		
Pelikan Lauenburg 20-67-01	GW-L	BHP 25
Pelikan Lauenburg 20-68-01	GW-L	
	Feldkochanhänger	
	Geschirrmobil	
SEG RD / SanGrp Transport		
Pelikan Lauenburg 10-82-02	NEF	Hintergrund / Reserve NEF
Pelikan Lauenburg 20-83-03	RTW	
Pelikan Lauenburg 20-83-04	RTW	
Pelikan Lauenburg 20-83-05	RTW	
Pelikan Lauenburg 20-90-01	NKTW (4x4)	2017 2. SanGrp Trp
Pelikan Lauenburg 20-90-02	NKTW (4x4)	2023 2. SanGrp Trp
Pelikan Lauenburg 20-90-03	KTW4 (4x4)	2023 2. SanGrp Trp
Wasserrettung		
Pelikan Lauenburg 20-78-02	MZB	
	Wasserrettungsanhänger	Taucher
		
DLRG Bezirk Oberelbe Sto. Hafenstraße	Hafenstraße 27b	21481 Lauenburg/Elbe
Pelikan Lauenburg 20-93-02	KTW 4	Unimog
Pelikan Lauenburg 20-78-01	MZB	Greif 2
Pelikan Lauenburg 20-78-03	MZB	Greif 6 BGrp T SH 2025
		
DLRG Bezirk Oberelbe Sto. Geesthacht	Elbuferstraße 3	21502 Geesthacht
Pelikan Lauenburg 10-18-01	MTW	
Pelikan Lauenburg 10-58-01	GW-Wasserrettung	
Pelikan Lauenburg 10-93-01	KTW-4	
		
DRK OV Schwarzenbek	Bismarckstraße 9b	21493 Schwarzenbek
Rotkreuz Lauenburg 30-14-01	MZF	3. SanGrp Arzt
Rotkreuz Lauenburg 30-18-01	Bt-Kombi	2. BtrGrp
