SEG+WR Hansestadt Lübeck		
		
DRK KV Lübeck	Herrendamm 42-50	23556 Lübeck
Rotkreuz Lübeck 73-10-01	KdoW	
Rotkreuz Lübeck 73-10-02	KdoW	
Rotkreuz Lübeck 73-11-01	ELW 1	
Rotkreuz Lübeck 73-12-01	ELW 2	
Rotkreuz Lübeck 73-90-01	N-KTW	
Rotkreuz Lübeck 73-90-02	N-KTW	
Rotkreuz Lübeck 73-92-01	KTW-4	
Rotkreuz Lübeck 73-92-02	KTW-4	
Rotkreuz Lübeck 73-95-01	GW-San	
Rotkreuz Lübeck 73-96-01	GW-Beh	
Rotkreuz Lübeck 73-97-01	GW-Log	
Rotkreuz Lübeck 73-98-01	GW-Bt	
teilweise veraltet: ?		
	ELW 1	
	NEF/MTW	
	8 RTW	
	3x KTW	
	2x GW-BHP	
	GW-Technik	
	Bt-Kombi	
	MTW-Wasserwacht	
	GW	
	KüKw	
	Quad	
		
MHD Lübeck	Josephinenstraße 27	23554 Lübeck
Johannes Lübeck 93-10-01	KdoW	
Johannes Lübeck 93-17-01	PKW	
Johannes Lübeck 93-18-01	MTW	
Johannes Lübeck 93-18-02	MTW	
Johannes Lübeck 93-67-01	GW-L1	
Johannes Lübeck 93-68-01	LKW-Lbw	
Johannes Lübeck 93-85-01	KTW	
	Planenanhänger	
		
JUH OV Lübeck	Bei der Gasanstalt 12	23560 Lübeck
Akkon Lübeck 83-10-01	KdoW	
Akkon Lübeck 83-12-01	ELW 2	
Akkon Lübeck 83-14-01	MZF	Organtransport, außerdem als 83-82-01 NEF
Akkon Lübeck 83-18-02	MTW	
Akkon Lübeck 83-65-01	LKW-Log	
Akkon Lübeck 83-76-01	Krad	
Akkon Lübeck 83-76-02	Krad	
Akkon Lübeck 83-90-01	N-KTW	
Akkon Lübeck 83-92-01	KTW-4	
Akkon Lübeck 83-97-01	GW-Versorgung	
Akkon Lübeck 83-95-01	GW-San	
Akkon Lübeck 83-95-02	GW-San (MTF)	
teilweise veraltet:?		
	mehrere RTW	
	KTW	
	ELW 1	
	GW-Betreuung	
	2 Quad	
	KdoW	
	MZB	
		
ASB RV Lübeck	Hoeschstraße 1	23560 Lübeck
Sama Lübeck 63-14-01	MZF	
Sama Lübeck 63-18-01	MTW	
Sama Lübeck 63-85-04	KTW	
Sama Lübeck 63-90-01	N-KTW	
Sama Lübeck 63-90-02	N-KTW	
Sama Lübeck 63-92-01	KTW-4	
	GA-San	
		
DRK Wasserwacht Strandwache Priwall	Dünenweg 17	23570 Lübeck
Rotkreuz Lübeck 73-10-04	KdoW	
Rotkreuz Lübeck 72-78-04	MRB	
Rotkreuz Lübeck xx-xx-xx	MRB	
		
DLRG OG Lübeck-Travemünde	Kaiserallee 6	23570 Lübeck
Adler Lübeck 18-01	MTW	
Adler Lübeck 18-02	MTW	
Adler Lübeck 55-01	MRB	
Adler Lübeck 55-02	MRB	
	weitere Boote	
	Rettungs-SUP	
