Übersicht Feuerwehr und Rettungsdienst Stadt Neumünster		
		
		
BF Neumünster FuRW 1	Färberstraße 105-107	24534 Neumünster
Florian Neumünster 10/01-01	KdoW	
Florian Neumünster 10/01-02	KdoW	
Florian Neumünster 10/11-01	ELW 1	
Florian Neumünster 10/11-02	ELW 1	
Florian Neumünster 10/18-01	MTW	
Florian Neumünster 10/18-02	MTW KatS	
Florian Neumünster 10/25-01	TLF 4000	
Florian Neumünster 10/32-01	DLA K 23/12	
Florian Neumünster 10/36-01	TM 30	
Florian Neumünster 10/48-01	HLF 20	
Florian Neumünster 10/48-02	HLF 16/12	
Florian Neumünster 10/48-03	HLF 16/12 (Reserve)	
Florian Neumünster 10/63-01	WLF	
Florian Neumünster 10/63-02	WLF	
Florian Neumünster 10/73-01	PKW	
Florian Neumünster 10/74-01	GW-L/N	
Florian Neumünster 10/74-02	GW-N a.D.!	
Florian Neumünster 10/76-01	Werkstattwagen	
		
Abrollcontainer:		
	AB Schlauch	
	AB Pritsche	
	AB Rüst	
	AB Gefahrgut	
	AB Sonderlöschmittel	
	AB Atem-/Strahlenschutz	
	AB Energie	
	AB Dekon	
		
ELW 2 Gruppe:		
Florian Neumünster 02/12-01	ELW 2	
Florian Neumünster 02/13-01	GW-TEL	
Florian Neumünster 02/18-01	MTW	
		
Löschzug-Gefahrgut		Zug 2 der FF, Zug 1 wird aus Fahrzeugen der BF gebildet
Florian Neumünster 18/72-01	GW-Mess/Reaktorerkunder	
Florian Neumünster 18/74-01	GW-Dekon-P	
		MTW 10-18-01 (s.o.) führt diesen Zug
		
Florian Neumünster 10/10-04	KdoW KatS	
		
Florian Neumünster 10/10-03	KdoW OrgL	
Florian Neumünster 10/83-01	RTW	
Florian Neumünster 10/83-02	RTW	
Florian Neumünster 10/83-03	RTW	
Florian Neumünster 10/83-04	RTW	
Florian Neumünster 10/83-05	RTW	
Florian Neumünster 10/83-06	RTW	
Florian Neumünster 10/83-07	RTW	
Florian Neumünster 10/83-08	RTW	
Florian Neumünster 10/83-09	RTW	
Florian Neumünster 10/83-10	RTW	
Florian Neumünster 10/85-01	KTW	
Florian Neumünster 10/85-02	KTW	
Florian Neumünster 20/82-02	NEF (Reserve NEF)	
		
		
BF Neumünster NEF-Wache	Friesenstraße 11	24534 Neumünster 
Florian Neumünster 20/82-01	NEF	
		
FF Neumünster OF Neumünster Mitte	Färberstraße 105-107	24534 Neumünster
Florian Neumünster 11/18-01	MTW	
Florian Neumünster 11/45-01	LF10/6 TH	
Florian Neumünster 11/46-01	LF 16/12 a.D.!	war bis 02/2020 verliehen an die FF Bönnebüttel-Husberg Rückkehr unklar (04/2020)
Florian Neumünster 11/47-01	 LF-20 KatS	Neufahrzeug 2020
		außerdem Besetzung des ELW 2 der BF
		
FF Neumünster, OF Tungendorf-Stadt	Am Kamp 3	24536 Neumünster
Florian Neumünster 12/18-01	MTW	
Florian Neumünster 12/20-01	TLF 8/18	
Florian Neumünster 12/47-01	LF 20 KatS	
		
FF Neumünster, OF Tungendorf-Dorf	Tasdorfer Weg 9	24536 Neumünster
Florian Neumünster 13/18-01	MTW	
Florian Neumünster 13/44-01	LF 10/6	
	Anhänger Moorbrandbekämpfung	
		
FF Neumünster, OF Wittorf	Mühlenstraße 5	24539 Neumünster
Florian Neumünster 15/18-01	MTF	
Florian Neumünster 15/44-01	LF 10/6	
		
FF Neumünster, OF Einfeld	Dorfstraße 29	24536 Neumünster
Florian Neumünster 16/18-01	MTW	
Florian Neumünster 16/45-01	LF 10-TH	Neufahrzeug 02/2020
Florian Neumünster 16/47-01	LF 20-KatS
		Rüstwagen ohne Funk  (a.d.!)
	Anhänger Moorbrandbekämpfung	
	Anhänger Boot	
		
FF Neumünster, OF Gadeland	Hartwigswalder Straße 3	24539 Neumünster
Florian Neumünster 17/18-01	MTW	
Florian Neumünster 17/45-01	LF 10-TH	
Florian Neumünster 17-47-01	LF KatS	Neufahrzeug 07/2020
		
SEG-Rettungsdienst der BF Neumünster	Färberstraße 105-107	24534 Neumünster
Rettung Neumünster 30/11-01	Abschnittsleitung-RD	
Rettung Neumünster 30/18-01	MTW	
Rettung Neumünster 30/59-01	GW-Technik	
Rettung Neumünster 30/95-01	GW-Rettung	GW-San
	Anhänger-Zelt	
		
Regieeinheit Katastrophenschutz Stadt Neumünster	Färberstraße 105-107	24534 Neumünster
Kater Neumünster 19/18-01	MTW?	
Kater Neumünster 20/19-01	MTW	
Kater Neumünster 20/75-01	Krad	
Kater Neumünster 34/19-01	MTW	
Kater Neumünster 34/87-01	KTW4	
Kater Neumünster 34/87-02	KTW4	
Kater Neumünster 34/87-03	KTW4	
Kater Neumünster 42/19-01	MTW	
Kater Neumünster 42/74-01	BtLKW	
Kater Neumünster 42/74-02	BtLKW	
Kater Neumünster 51/19-01	MTW	
Kater Neumünster 51/73-01	PKW	
Kater Neumünster 51/74-01	LKW	
Kater Neumünster 52/59-01	LKW	
Kater Neumünster xx/01-xx	KdoW KatS	
	Anhänger Lichtmast	
		
DRK KV Neumünster	Schützenstraße 14-16	24534 Neumünster, Fahrzeuge stehen im GAZ!
1. Sanitätsgruppe		
Rotkreuz Neumünster 31/18-01	MTF	
Rotkreuz Neumünster 31/90-01	NKTW	
Rotkreuz Neumünster 31/92-01	KTW4	
Rotkreuz Neumünster 31/92-02	KTW4	
Rotkreuz Neumünster 31/92-03	KTW4	
	Ah-Sanitätsstation	
		
3. Sanitätsgruppe		
Rotkreuz Neumünster 33/18-01	MTF	
Rotkreuz Neumünster 33/95-01	GW-San	
		
1. Betreuungsgruppe		
Rotkreuz Neumünster 41/67-01	GW-N	
Rotkreuz Neumünster 41/97-01	GW-Betr.	
Rotkreuz Neumünster 41/97-02	GW-Küche	
Rotkreuz Neumünster 41/98-02	LKW 2	
	Anh-Feldküche	
