Wache / Funkrufname	Typ	Kommentar
		
Klinikum Nordfriesland 	Niebüll	
LRZ Niebüll		
Christoph Europa 5	RTH	24 Stunden Betrieb
		
Kreis Nordfriesland Katastrophenschutz	Marktstraße 6	25813 Husum
Rettung Nordfriesland 01/10-01	A-Dienst	
Rettung Nordfriesland 01/10-02	RDL	
Rettung Nordfriesland 01/10-03	KdoW-OrgL	
Rettung Nordfriesland 01/10-04	KdoW-OrgL	
		
Kreis Nordfriesland RW Tönning	Am Kreuz 13	25832 Tönning
Rettung Nordfriesland 60/82-01	NEF	24h
Rettung Nordfriesland 60/83-01	RTW	24h
Rettung Nordfriesland 60/83-02	RTW	Tagesdienst
Rettung Nordfriesland 60/83-03	RTW	Reserve
		
Kreis Nordfriesland RW Garding	Tönninger Straße 7	25836 Garding
Rettung Nordfriesland 61/83-01	RTW	24h
Rettung Nordfriesland 61/83/02	RTW	Reserve
		
Kreis Nordfriesland RW Sankt Peter-Ording	Bövergeest 97	25826 Sankt Peter-Ording
		Neubau auf Gelände der FF St. Peter-Ording geplant
Rettung Nordfriesland 62/83-01	RTW	24h, Geländegängig (Beachmachine)
		
Kreis Nordfriesland RW Husum	Schleswiger Chaussee 102 	25813 Husum
Rettung Nordfriesland 70/82-01	NEF	
Rettung Nordfriesland 70/82-02	NEF	Reserve
Rettung Nordfriesland 70/83-01	RTW	24h
Rettung Nordfriesland 70/83-02	RTW	24h
Rettung Nordfriesland 70/83-03	RTW	Tages-RTW
Rettung Nordfriesland 70/83-04	RTW	Reserve
Rettung Nordfriesland 70/85-01	KTW	
Rettung Nordfriesland 70/85-02	KTW	Reserve
		
Kreis Nordfriesland REF-Wache Süd	Dorfstraße 86	25856 Wobbenbüll
Rettung Nordfriesland 70/89-01	REF	 
		
Kreis Nordfriesland RW Högel	Deeleweg 1b	25858 Högel
Rettung Nordfriesland 78/83-01	RTW	24h
		
Kreis Nordfriesland RW Mönkebüll	Buurvogtsweg 4	25842 Langenhorn
		Neubau an der B5 in Langenhorn sollte Ende 2024 fertiggestellt werden
Rettung Nordfriesland 79/83-01	RTW	Tagesdienst
		
Kreis Nordfriesland RW Niebüll	Klanxbüller Straße 7	25899 Niebüll
Rettung Nordfriesland 80/82-01	NEF	24h
Rettung Nordfriesland 80/82-02	NEF	Reserve
Rettung Nordfriesland 80/83-01	RTW	24h
Rettung Nordfriesland 80/83-02	RTW	24h
Rettung Nordfriesland 80/83-03	RTW	24h
Rettung Nordfriesland 80/83-04	RTW	Reserve
Rettung Nordfriesland 80/83-05	RTW	Reserve
Rettung Nordfriesland 80/85-01	KTW	Tagesdienst
		
Kreis Nordfriesland REF-Wache Nord	Süderwaygaard 22	25899 Dagebüll
Rettung Nordfriesland 80/89-01	REF	24h Aktuell wohl nicht i. D. aufgrund Personalmangel
		
DRK RW Westerland	Stephanstraße 16	25980 Sylt-Westerland
Rettung Nordfriesland 90/82-01	NEF	24h
Rettung Nordfriesland 90/82-02	NEF	Reserve
Rettung Nordfriesland 90/83-01	RTW	Tagesdienst
Rettung Nordfriesland 90/83-02	RTW	24h
Rettung Nordfriesland 90/83-03	RTW	24h
Rettung Nordfriesland 90/83-05	RTW	Springerbesetzung / Strandretter
Rettung Nordfriesland 90/85-01	KTW	Tagesdienst
		
Kreis Nordfriesland RW Wyk auf Föhr	Rungholtstraße 15	25938 Wyk auf Föhr
Rettung Nordfriesland 92/82-01	NEF	von Inselärzten als Selbstfahrer besetzt
Rettung Nordfriesland 92/83-01	RTW	24h
Rettung Nordfriesland 92/83-02	RTW	24h
Rettung Nordfriesland 92/89-01	NEF / First Responder	Reserve NEF und First Responder
		
Kreis Nordfriesland RW Amrum	Smäswai 33b	25946 Nebel
Rettung Nordfriesland 94/82-01	NEF	Führt Arzt als Selbstfahrer stets mit sich
Rettung Nordfriesland 94/83-01	RTW	24h
Rettung Nordfriesland 94/83-02	RTW	Hintergund Bereitschaft
		
