Wach- / Funkrufname	Typ	Kommentar
		
Rettung Ostholstein 01/xx-xx	A-Dienst	neu ab 01.02.2024
Rettung Ostholstein 01/10-02	KdoW ORGL	Nordkreis
Rettung Ostholstein 01/10-01	KdoW ORGL	Südkreis
	LNA Nord	unbekannt ob Fahrzeug vorhanden
	LNA Süd	unbekannt ob Fahrzeug vorhanden
		
OH-RW-30 Petersdorf/Fehmarn	Bojendorfer Weg 10	23769 Fehmarn
Sama Ostholstein 30/83-01	RTW	
		
OH-RW-33 Burg a. Fehmarn	Bürgermeister-Lafrentz-Straße 4	23769 Burg auf Fehmarn
Sama Ostholstein 33/82-01	NEF	
Sama Ostholstein 33/83-01	RTW	
Sama Ostholstein 33/83-02	RTW	Saison
		
OH-RW-35 Heiligenhafen	Tollbrettkoppel 15	23774 Heiligenhafen
Sama Ostholstein 35/83-01	RTW	
Sama Ostholstein 35/83-02	RTW	
Sama Ostholstein 35/85-01	KTW	
		
OH-RW-40 Oldenburg (Holstein) 1	Kurzer Kamp 61	23758 Oldenburg
		Neubau gegenüber Mühlenkamp 18 müsste längst fertig sein
Rotkreuz Ostholstein 40/82-01	NEF	
Rotkreuz Ostholstein 40/83-01	RTW	
Rotkreuz Ostholstein 40/83-02	RTW	
Rotkreuz Ostholstein 40/85-01	KTW	
Rotkreuz Ostholstein 40/85-02	KTW	
Rotkreuz Ostholstein 40/85-03	KTW	Saison
		
OH-RW-40 Oldenburg (Holstein) 2 a.D.	Feldstraße 13	23758 Oldenburg
		
OH-LRW-53 Schönwalde	Bungsbergstraße 10	23744 Schönwalde am Bungsberg
Rettung Ostholstein 53-83-01	RTW	24h
		
OH-RW-55 Cismar	Bäderstraße 23a	23743 Grömitz
Akkon Ostholstein 55/83-01	RTW	
Akkon Ostholstein 55/83-02	RTW	
Akkon Ostholstein 55/83-03	RTW	Saison
		
OH-RW-61 Neustadt (Holstein) 1	Am Kiebitzberg 8	23730 Neustadt
Rotkreuz Ostholstein 61/82-01	NEF	
Rotkreuz Ostholstein 61/83-01	RTW	
Rotkreuz Ostholstein 61/83-02	RTW	
Rotkreuz Ostholstein 61/85-01	KTW	
Rotkreuz Ostholstein 61/85-02	KTW	
Rotkreuz Ostholstein 61/85-03	KTW	
		
OH-RW-61 Neustadt (Holstein) 2 a.D	Ziegelhof 8	23730 Neustadt in Holstein
		
OH-RW-64 Malente	Lütjenburger Straße 82	23714 Malente
Rettung Ostholstein 64-83-01	RTW	24h
Rettung Ostholstein 64-83-02	MZF	
		
OH-LRW-67 Eutin	Hospitalstraße 5	23701 Eutin
Rettung Ostholstein 67/82-01	NEF	
Rettung Ostholstein 67/83-01	RTW	
Rettung Ostholstein 67/83-02	RTW	
Rettung Ostholstein 67/83-03	RTW	
Rettung Ostholstein 67/85-01	KTW	
Rettung Ostholstein 67/85-02	KTW	
Rettung Ostholstein 67/85-03	KTW	Saison
	Reserve RTW	
		
OH-LRW-77 Ahrensbök	Poststraße 3	23623 Ahrensbök
		übergangsweise in der FF Ahrensbök
Rettung Ostholstein 77-83-01	RTW (24h)	
Rettung Ostholstein 77-83-02	RTW	
		
OH-LRW-89 Timmendorfer Strand	Bäderrandstraße 10	23669 Timmendorfer Strand
Rettung Ostholstein 89/82-01	NEF	Saison
Rettung Ostholstein 89/83-01	RTW	
Rettung Ostholstein 89/83-02	RTW	
Rettung Ostholstein 89/83-03	RTW	Saison
Rettung Ostholstein 89/83-04	RTW	Saison
Rettung Ostholstein 89/85-01	KTW	
		
OH-RW-92 Bad Schwartau	Fünfhausen 1	23611 Bad Schwartau
Akkon Osholstein 92/82-01	NEF	
Akkon Osholstein 92/83-01	RTW	
Akkon Osholstein 92/83-02	RTW	
Akkon Osholstein 92/83-03	RTW	
Akkon Osholstein 92/85-01	KTW	
	Reserve RTW	
	Reserve KTW	
	Reserve NEF	
		
		
DRK KV Ostholstein	Waldstraße 6	23701 Eutin
Rotkreuz Ostholstein 01/14-01	MZF-Drohne	stationiert in Süsel
Rotkreuz Ostholstein 01/89-01	PKW	Führungsdienst
		
ASB RV Ostholstein	Tollbrettkoppel 15	23774 Heiligenhafen
		1. SanGrp. Arzt, 3. SanGrp. Transport, 1. SanFührungsGrp., 2. BetreuungsGrp.
Sama Ostholstein 35/11-01	ELW 1 (mit Drohne)	
Sama Ostholstein 35/10-01	KdoW	
Sama Ostholstein 35/18-01	MTW	
Sama Ostholstein 35/83-10	RTW	
Sama Ostholstein 35/83-11	RTW	
Sama Ostholstein 35/85-01	KTW	
Sama Ostholstein 35/92-01	KTW-4	
Sama Ostholstein 35/93-01	KTW-4 (Unimog)	
Sama Ostholstein 35/95-01	GW-San	
Sama Ostholstein 35/97-01	GW-Betreuung / Logistik	
Sama Ostholstein 35/99-01	GW	
		
DRK OV Göhl	Feldstraße 13	23758 Oldenburg
1. BtrGrp.	4. SanGrp. Transport	
Rotkreuz Ostholstein 42/83-10	RTW	
Rotkreuz Ostholstein 42/89-01	First Responder	
Rotkreuz Ostholstein 42/90-01	N-KTW	
Rotkreuz Ostholstein 42/90-02	N-KTW	
Rotkreuz Ostholstein 42/92-01	KTW-4	
Rotkreuz Ostholstein 42/95-01	GW-San	
Rotkreuz Ostholstein 42/98-01	GW-Bt	
Rotkreuz Ostholstein 42/99-1	MTW /Bt.Kombi	
	RHS-MTW	ohne BOS Funk
	Feldkochherd	
	Verpflegungsanhänger	
		
DRK OV Neustadt/Holstein	Holmer Weg 4-6	23730 Neustadt
SEG Betreuung	6. SanGrp. Transport OH	LogGrp. Versorgung OH
Rotkreuz Ostholstein 61/14-01	MZF	
Rotkreuz Ostholstein 61/14-02	MZF	
Rotkreuz Ostholstein 61/83-10	RTW	
