Funkkennung	Fahrzeugtyp	Fahrgestell	Baujahr	Kennzeichen	Info
01	KFV Pinneberg FTZ	Alte Bundesstraße 10	25436 Tornesch		
Florian Pinneberg 01-10-01	KdoW	BMW		PI-FV 1001	stv. KBM
Florian Pinneberg 01-17-01	PKW	VW		PI-FV 1120	
Florian Pinneberg 01-17-02	PKW	Skoda		PI-FV 20	
Florian Pinneberg 01-18-01	MTW	Opel		PI-FV 1123	
Florian Pinneberg 01-18-02	MTW	Ford		PI-FV 112	
Florian Pinneberg 01-61-01	SW 2000	MAN			Stationiert in Tangstedt
Florian Pinneberg 01-68-01	LKW	MB Atego		PI-FV 1122	
	MTW (Zivil)	Ford		PI-FV 1124	
					
02	KFV Pinneberg TEL	Alte Bundesstraße 10	25436 Tornesch		
Florian Pinneberg 02-12-01	ELW 2	MB Atego	2002	PI 4	
Florian Pinneberg 02-14-01	MZF	Opel	2010	PI-KX 704	
Florian Pinneberg 02-15-01	ATV/Quad	Polaris Sportsman 800 EFI 4x4 Forrest	2012	PI-KX-50	
Florian Pinneberg 02-67-01	GW-L	MB Atego		PI-KX 705	
	FwA-Lichtmast/Notstrom	AL-KO	2014		
	FwA-Quad		2013		
	FwA-Transport				
					
03	KFV Pinneberg LZG	Alte Bundesstraße 10	25436 Tornesch		
Florian Pinneberg 03-17-01	Leiter ABC-Dienst	BMW	2008	PI-KX 222	
Florian Pinneberg 03-10-01	KdoW	Audi	2012	PI-KX 786	
Florian Pinneberg 03-11-01	ELW	MB Sprinter	2009	PI-KX 780	
Florian Pinneberg 03-18-01	MTW	MB Vito	2016	PI-KX 787	
Florian Pinneberg 03-76-02	ProSaFa	Ford	2014	PI-KX 784	
Florian Pinneberg 03-69-01	GW-L	MB Sprinter	2018	PI-KX 788	
Florian Pinneberg 03-69-02	GW-Messtechnik	MB Sprinter	2019	PI-KX 791	
Florian Pinneberg 03-71-01	CBRN-ErkW	Iveco Daily	2023	PI-KX 709	
Florian Pinneberg 03-72-01	ReakErkKW	MB Sprinter	2011	PI-KX 782	
Florian Pinneberg 03-72-02	ReakErkKW	MB Sprinter	2013	PI-KX 783	
Florian Pinneberg 03-63-01	WLF	MB Actros	2007	PI 8821	
Florian Pinneberg 03-68-01	LKW	Scania	1995	PI-KX 785	
Florian Pinneberg 03-63-02	WLF	MB Zetros	2009		
Florian Pinneberg 03-74-01	GW-Dekon P	MAN	2008	PI-KX 750	
Florian Pinneberg 03-63-03	WLF	MB Arocs	2018	PI-KX 790	
Florian Pinneberg 03-54-01	AB-Gefahrgut		2008		
Florian Pinneberg 03-57-01	AB-Atemschutz		2001		
	AB-Kran/Mulde				
	AB-Mulde		2007		
	Teleskoplader	Atlas	2023	PI-KX 708
					
04	KFV Pinneberg FWB	Alte Bundesstraße 10	25436 Tornesch		
Florian Pinneberg 04-10-01	KdoW	Audi	2012	PI-KX 555	KdoW KatS
Florian Pinneberg 04-HLP500					
Florian Pinneberg 04-AB-Schaum					
Florian Pinneberg 04-AB-Sonderlöschmittel					
Florian Pinneberg 04-AB-Schlauch					
					
05	KFV Pinneberg	Alte Bundesstraße 10	25436 Tornesch		
