Rettung Pinneberg 30/10-01	ORGL	Kein fester Standort, personengebunden
		
PI-RW-31 Pinneberg	Gehrstücken 3	25421 Pinneberg
Rettung Pinneberg 31/82-01	NEF	holt NA aus Klinik ab
Rettung Pinneberg 31/83-01	RTW	
Rettung Pinneberg 31/83-02	RTW	
Rettung Pinneberg 31/83-03	RTW	
Rettung Pinneberg 31/85-01	KTW	
Rettung Pinneberg 31/85-02	KTW	
Rettung Pinneberg 30/83-04	Reserve-RTW	
Rettung Pinneberg 30/10-02	LNA	holt LNA aus Klinik ab
Rettung Pinneberg 30/10-03	Reserve-ORGL	
	Dienstfahrzeug	
		
PI-RW-32 Quickborn	Kieler Straße 128a	25451 Quickborn 
Rettung Pinneberg 32/83-01	RTW	
Rettung Pinneberg 32/83-02	RTW	
		
PI-RW-33 Wedel	Holmer Straße 155a	22880 Wedel 
Rettung Pinneberg 33/82-01	NEF	
Rettung Pinneberg 33/83-01	RTW	
Rettung Pinneberg 33/83-02	RTW	
Rettung Pinneberg 33/83-03	RTW	
Rettung Pinneberg 33/85-01	KTW	
Rettung Pinneberg 30/83-03	Reserve-RTW	
		
PI-RW-34 Elmshorn	Agnes-Karll-Allee 19	25337 Elmshorn 
Rettung Pinneberg 34/82-01	NEF	
Rettung Pinneberg 34/83-01	RTW	24h
Rettung Pinneberg 34/83-02	RTW	24h
Rettung Pinneberg 34/83-03	RTW	12h
Rettung Pinneberg 34/83-04	RTW	12h/5
Rettung Pinneberg 34/85-01	KTW	
Rettung Pinneberg 34/85-02	KTW	
Rettung Pinneberg 30/83-01	Reserve-RTW	
Rettung Pinneberg 30/83-02	Reserve-RTW	
		
PI-RW-35 Barmstedt	An der Bahn 5	25355 Barmstedt 
Rettung Pinneberg 35/83-01	RTW	
		
PI-RW-36 Uetersen	Tornescher Weg 76b	25436 Uetersen 
Rettung Pinneberg 36/83-01	RTW	
Rettung Pinneberg 36/83-02	RTW	
Rettung Pinneberg 36/83-03	RTW	
Rettung Pinneberg 30/83-05	Reserve-RTW	
		
PI-RW-37 Helgoland	Invasorenpfad 1040	27498 Helgoland 
Rettung Pinneberg 37/83-01	RTW	
Rettung Pinneberg 37/83-02	Reserve RTW	
	RTW auf der Düne	
		
PI-RW-38 Pinneberg-West	Eggerstedter Weg 95	25421 Pinneberg
Rettung Pinneberg 38/83-01	RTW	
Rettung Pinneberg 38/83-02	RTW	
Rettung Pinneberg 38/83-03	RTW	
Rettung Pinneberg 38/85-01	KTW	
Rettung Pinneberg 38/85-01	KTW	
Rettung Pinneberg 30/83-06	Reserve-RTW	
