PLÖ-RW-20 Probsteierhagen	Krensberg 1	24253 Probsteierhagen
Rettung Plön 20/83-01	RTW	24/7
Rettung Plön 20/83-02	RTW	24/7
Rettung Plön 20/83-03	RTW	Tages-RTW
Rettung Plön 20/83-04	RTW Reserve	
		
PLÖ-RW-30 Stakendorf	Strandweg 25	24217 Stakendorf
Rettung Plön 30/82-01	NEF	24/7
		
PLÖ-RW-38 Seekrug	Seekrug	24321 Giekau
Rettung Plön 38/83-01	RTW	24/7
		
PLÖ-RW-40 Lütjenburg	Panker Straße 9	24321 Lütjenburg
Rettung Plön 40/83-01	RTW	24/7
Rettung Plön 40/83-02	RTW	7-23
Rettung Plön 40/83-xx	RTW Reserve	
		
PLÖ-RW-60 Preetz	Dänenkamp 3A	24211 Preetz (Neubau 2019)
Rettung Plön 60/82-01	NEF	24/7
Rettung Plön 60/82-02	NEF Reserve	
Rettung Plön 60/83-01	RTW	24/7
Rettung Plön 60/83-02	RTW	24/7
Rettung Plön 60/83-03	RTW	Tages-RTW
Rettung Plön 60/83-04	RTW	Tages-RTW
Rettung Plön 60/85-01	KTW	
Rettung Plön 60/85-02	KTW	
Rettung Plön 60/85-03	KTW	
Rettung Plön 60/83-xx	RTW Reservefahrzeug	
Rettung Plön 00/10-01	KdoW	Leiter RD / ÄLRD
Rettung Plön 00/03-01	KdoW OrgL	von zu Hause besetzt
		
PLÖ-RW-80 Plön	Am alten Güterbahnhof 4	24306 Plön
Akkon Plön 80/83-01	RTW	24/7
Akkon Plön 80/83-02	RTW	7-19
Akkon Plön 80/18-01	MTW	
		
PLÖ-RW-88 Ascheberg	Plöner Chaussee 58	24326 Ascheberg
Rettung Plön 88/83-01	RTW	7-23
		Rettungswache Neubau in Wankendorf/Stolpe geplant als Ersatz für Ascheberg
		
Kreis Plön Kreisverwaltung	Hamburger Straße 17-18	24306 Plön
Kater Plön 01/16-01	KdoW	
		
ASB Dienststelle Schönkirchen	Heinrich-Woehlk-Straße 13	24232 Schönkirchen
Sama Plön 12/14-01	MZF	
Sama Plön 12/18-01	MTW	
Sama Plön 12/90-01	N-KTW	
Sama Plön 12/90-02	N-KTW	
Sama Plön 12/91-01	KTW	
Sama Plön 12/92-01	KTW4	
Sama Plön 12/95-01	GW-San	
		
ASB LV SH	Wasserrettungszug	
	MTF	
Sama Plön 12/78-01	Mehrzweckboot	
		
DRK OV Heikendorf	Wasserwaage 5	24226 Heikendorf
Rotkreuz Plön 14/95-01	GW-San	1. Sanitätsgruppe Plön
Rotkreuz Plön 14/90-01	NKTW	2. Sanitätsgruppe Transport
Rotkreuz Plön 14/90-02	NKTW	2. Sanitätsgruppe Transport
Rotkreuz Plön 14/90-03	NKTW	2. Sanitätsgruppe Transport
Rotkreuz Plön 14/93-01	KTW-4 gl.	Baujahr 1980
		
ASB OV Schönberg	Stakendorfer Tor 6-16	24217 Schönberg
		keine Fahrzeuge / Fahrzeuge unbekannt
		
ASB OV Preetz	Wakendorfer Straße 9	24211 Preetz
		keine Fahrzeuge / Fahrzeuge unbekannt

DRK KV Plöner Land	Plöner Landstraße 14	24211 Schellhorn
		Geschäftsstelle
		
DRK Bereitschaft Preetz	wahrscheinlich Gasstraße 25	24211 Preetz
		Sanitätsbereitschaft / 1. SanGruppe Plön
Rotkreuz Plön xx-xx-01	MTW	
Rotkreuz Plön 63-91-01	KTW?	Mercedes Vario 512
Rotkreuz Plön xx/93-01	KTW-4	
		
DRK Bereitschaft Schönweide/Grebin	?	?
		1. Logistik- und Betreuungsgruppe
		Insgesamt 8-14 Fahrzeuge
		Verpflegungs-/Betreuungsbereitschaft Schönweide
		
		
DRK LV Schleswig-Holstein	Henry-Dunant-Straße 12	24223 Schwentinental 
Einsatz- und Logistikzentrum		
Rotkreuz Schleswig-Holstein 05-18-01	MTW	
Rotkreuz Schleswig-Holstein 05-18-02	MTW	
Rotkreuz 07/74	I-KTW	
Rotkreuz Schleswig-Holstein 05-67-02	LKW	
	weitere MZF/LKW	
		
DLRG OG Schönberg	Promenade 29	24217 Schönberg
Pelikan Plön 16/19-01	MTW	
	RIB Buster	
	IRB Loni	
		
DLRG OG Lütjenburg	Am Hopfenhof 3	24321 Lütjenburg
Adler Plön 40-18-01	MTW	VW T4
Adler Plön 40-58-01	GW-W	Nissan Navara
	Matrialanhänger	
Adler Plön 40-78-01	MRB Pinguin	
Adler Plön 40-78-02	MRB Albatros	
