Wach- /Funkrufname,Typ,Kommentar
"DRK SL-RW-10 Schleswig ","Sankt-Jürgener-Straße 70-72 ",24837 Schleswig
Rotkreuz Schleswig 10-83-01,RTW,
Rotkreuz Schleswig 10-83-02,RTW,
Rotkreuz Schleswig 10-83-03,RTW,
Rotkreuz Schleswig 10-83-04,RTW,
Rotkreuz Schleswig 10-85-01,KTW,
Rotkreuz Schleswig 10-82-02,NEF,Reserve
Rotkreuz Schleswig 10-83-06,RTW,Reserve
Rotkreuz Schleswig 10-83-07,RTW,Reserve
Rotkreuz Schleswig 10-85-02,KTW,Reserve
,,
DRK SL-RW-10 Schleswig-Schuby (NEF-Wache),Osterdiek,24850 Schuby
Rotkreuz Schleswig 10-82-01,NEF,
,,
"RDSF SL-RW-11 Busdorf ","Thorshammer 19 ",24866 Busdorf
Rettung Schleswig 11-83-01,RTW,
Rettung Schleswig 11-83-02,RTW,
,,
"RDSF SL-RW-12 Kropp, ",Möhlensoll 1,24848 Kropp
Rettung Schleswig 12-83-01,RTW,
Rettung Schleswig 12-83-01,RTW,
,,
"DRK SL-RW-12 Stapel, ",Bahnhofstraße 25a,25868 Norderstapel
Rotkreuz Schleswig 12-83-05,RTW,
,,
DRK SL-RW-20 Kappeln,Mehlbydiek 25,24376 Kappeln
Rotkreuz Schleswig 20-83-01,RTW,24h
"Rotkreuz Schleswig 20-83-02 ",RTW,Tages-RTW
Rotkreuz Schleswig 10-83-05,RTW,Reserve
Reserve-KTW,,
,,
"DRK SL-RW-20 Kappeln (NEF-Wache) ","Konsul-Lorentzen-Straße 3 ",24376 Kappeln
Rotkreuz Schleswig 20-82-01,NEF,
,,
DRK SL-RW-23 Steinbergkirche,Gintofter Straße 4a,24972 Steinbergkirche
Rotkreuz Schleswig 23-83-01,RTW,24h
Rotkreuz Schleswig 23-83-02,RTW,nur experimentell / zeitweise? Teilw. Ehrenamtlich
,,
RDSF SL-RW-30 Sörup,Markschell 1,24966 Sörup
Rettung Schleswig 30-83-01,RTW,
,,
"DRK SL-RW-40 Medelby ",Süderfeldweg 10,24994 Medelby
Rotkreuz Schleswig 40-83-01,RTW,
,,
"DRK SL-RW-44 Eggebek ",Norderstraße 10,24852 Eggebek
Rotkreuz Schleswig 44-83-01,RTW,24h
Rotkreuz Schleswig 44-83-02,RTW,Tages-RTW
