Wach- /Funkrufname,Typ,Kommentar
MANV Einheit,Margarethenwallstraße 8,24837 Schleswig
Rettung Schleswig 01-10-01,KDOW,Kein fester Standort (MB Vito)
Rettung Schleswig 01-83-01,NEF,
Rettung Schleswig 01-83-01,RTW,
Rettung Schleswig 01-83-02,RTW,
Rettung Schleswig 01-83-03,RTW,
Rettung Schleswig 01-83-04,RTW,
Rettung Schleswig 01-83-05,RTW,
Rettung Schleswig 01-83-06,RTW,
Rettung Schleswig 01-83-07,RTW,
Rettung Schleswig 01-83-08,RTW,
Rettung Schleswig 01-89-01,MTW,
Rettung Schleswig 01-89-02,MTW,
Rettung Schleswig 01-97-01,GW-MANV,
,,
DRK OV Schleswig,Sankt-Jürgener-Straße 70-72,24837 Schleswig
Rotkreuz Schleswig 10-11-11,ELW 1,
Rotkreuz Schleswig 10-17-11,KdoW,
Rotkreuz Schleswig 10-19-11,MTF,
Rotkreuz Schleswig 10-83-11,RTW,
Rotkreuz Schleswig 10-90-11,KTW B,
Rotkreuz Schleswig 10-90-12,KTW B,
Rotkreuz Schleswig 10-92-13,KrKW,
Rotkreuz Schleswig 10-93-14,KrKW GL,
Rotkreuz Schleswig 10-99-11,sonst. San,
Rotkreuz Schleswig 10-97-11,LKW,
Rotkreuz Schleswig 10-95-11,GW San,
,,
JUH OV Schleswig,Panellenweg 5,24866 Busdorf
Akkon Schleswig 10-11-21,ELW 1,Betreuungsgruppe
Akkon Schleswig 10-14-21,MZF Hundestaffel,
Akkon Schleswig 10-15-21,Krad,Hundestaffel
Akkon Schleswig 10-69-21,GW Hundestaffel,
Anh Hundestaffel,,
Anh Feldkochherd,,Betreuungsgruppe
Akkon Schleswig 10-83-22,KTW-B,Bund - Sanitätsgruppe
Akkon Schleswig 10-92-21,KTW-4,Land - Sanitätsgruppe
Akkon Schleswig 10-95-21,GW-San,Bund - Sanitätsgruppe
Akkon Schleswig 10-97-21,BtLKW,
Akkon Schleswig 10-97-22,BtLKW,
Akkon Schleswig 10-99-21,MTW,Betreuungsgruppe
,,
DRK OV Kappeln,Mehlbydiek 25,24376 Kappeln
Rotkreuz Schleswig 20-11-11,ELW 1,
Rotkreuz Schleswig 20-14-11,MZF/GW,
Rotkreuz Schleswig 20-18-11,MTW Bt,
Rotkreuz Schleswig 20-18-12,Bt-Kombi,
Rotkreuz Schleswig 20-83-11,N-KTW B,
Rotkreuz Schleswig 20-98-11,GW-Bt,
Rotkreuz Schleswig 20-98-12,GW-Bt,
Rotkreuz Schleswig 20-99-11,sonst. GW,
Anhänger Feldkochherd,,
,,
DRK OV Sörup,Schleswiger Straße 3,24966 Sörup
Rotkreuz Schleswig 30-90-11,KTW-B,KatSchutz SL-FL - 2. Sanitätsgruppe Transport
Rotkreuz Schleswig 30-92-11,KTW-4,KatSchutz SL-FL - 2. Sanitätsgruppe Transport
,,
DRK OV Glücksburg,,
Rotkreuz Schleswig 33-90-11,KTW B,KatSchutz SL-FL - 2. Sanitätsgruppe Transport
Rotkreuz Schleswig 33-90-12,KTW B,KatSchutz SL-FL - 2. Sanitätsgruppe Transport
,,
DRK OV Harrislee,"Glyngöre 1
",24955 Harrislee
Rotkreuz Schleswig 42-83-11,RTW,Nur Sandienste (Kein KatSchutz oder RD)
Rotkreuz Schleswig 42-92-11,KTW-4,KatSchutz SL-FL - 1. Sanitätsgruppe Transport
