Kreisweite Fahrzeuge und Reservefahrzeuge		Fahrzeuge ohne Standort entweder personengebunden oder Standort nicht eindeutig zu ermitteln
Rettung Segeberg 40/10-01	KdoW OrgL	
Rettung Segeberg 40/10-02	KdoW LNA	
Rettung Segeberg 40/10-03	KdoW Reserve	
Rettung Segeberg 40/10-04	KdoW LNA 2	
Rettung Segeberg 40/18-01	MTW	
Rettung Segeberg 40/18-02	MTW	
Rettung Segeberg 40/18-03	MTW	
Rettung Segeberg 40/18-04	MTW	
Rettung Segeberg 40/82-01	Reserve-NEF	
Rettung Segeberg 40/82-03	Reserve-NEF	Bad Segeberg
Rettung Segeberg 40/83-04	Reserve RTW	
Rettung Segeberg 40/83-05	Reserve RTW	
Rettung Segeberg 40/83-06	Reserve RTW	
Rettung Segeberg 40/83-11	Reserve RTW	
Rettung Segeberg 40/85-01	Reserve RTW	
Rettung Segeberg 40/85-21	Reserve KTW	
Rettung Segeberg 40/85-22	Reserve KTW	
		
SE-RW-41 Bad Segeberg	Kurhausstraße 57	23795 Bad Segeberg
Rettung Segeberg 41/82-01	NEF	
Rettung Segeberg 41/83-01	RTW	
Rettung Segeberg 41/83-02	RTW	
Rettung Segeberg 41/83-03	RTW	
Rettung Segeberg 41/85-01	KTW	
Rettung Segeberg 41-85-02	KTW	
	Reserve NEF	
	Reserve RTW	
		
SE-RW-41 Bad Segeberg-West	Jaguarring 6	23795 Bad Segeberg
Rettung Segeberg 41/83-11	RTW	
	Reserve RTW	
		
SE-RW-42 Stuvenborn	Hauptstraße 24	24641 Stuvenborn
Rettung Segeberg 42/83-01	RTW	
		Gemeinsamer Neubau mit 3 Stellplätzen und der örtlichen FF geplant
		
SE-RW-43 Rickling	Kirchweg 17a	24635 Rickling
		evtl. Neubau an der B205 geplant
Rettung Segeberg 43/83-01	RTW	
		
SE-RW-44 Seedorf-Berlin	Heerstraße 9	23823 Seedorf
Rettung Segeberg 44/83-01	RTW	
		
SE-RW-45 Bornhöved	An den Kleingärten 2	24619 Bornhöved
Rettung Segeberg 45/83-01	RTW	
		Erweiterung der Wache in Planung
		
SE-RW-46 Henstedt-Ulzburg	Wilstedter Straße 134	24558 Henstedt-Ulzburg
Rettung Segeberg 46/82-01	NEF	
Rettung Segeberg 46/83-01	RTW	
Rettung Segeberg 46/83-02	RTW	
Rettung Segeberg 46/83-03	RTW	
	Reserve RTW	 
		
SE-RW-47 Bad Bramstedt	Hunenkamp 23	24576 Bad Bramstedt
		Neubau 2020
Rettung Segeberg 47/83-01	RTW	
Rettung Segeberg 47/83-02	RTW	
Rettung Segeberg 47/83-03	RTW	
Rettung Segeberg 47/85-01	KTW	a.D.?
	Reserve RTW	
		
