Funk	Feuerwehr	Amt/Stadt	Adresse
Florian Steinburg 00	Kreiswehrführung		
Florian Steinburg 00-01-01	Kreiswehrführer		
			
Florian Steinburg 01	FTZ / Kreisfeuerwehrverband		Elmshorner Straße 48, 25524 Münsterdorf
Florian Steinburg 01-10-01	KdoW	KFV	
Florian Steinburg 01-18-01	MTW	KFV	
Florian Steinburg 01-67-01	GW-L1	FTZ-Rufbereitschaft	
			
Florian Steinburg 02	Technische Einsatzleitung		Elmshorner Straße 48, 25524 Münsterdorf
Florian Steinburg 02-10-01	KdoW	TEL	
Florian Steinburg 02-12-01	ELW 2	TEL	
Florian Steinburg 02-13-01	GW-IuK	TEL	
Florian Steinburg 02-14-01	MZF	TEL	
Florian Steinburg 02-15-01 A	Krad	TEL	
Florian Steinburg 02-18-01	MTW	TEL	
	AB-Einsatzleitung		
			
Florian Steinburg 03	Löschzug Gefahrgut		Elmshorner Straße 48, 25524 Münsterdorf
Florian Steinburg 03-10-01	KdoW	LZG	
Florian Steinburg 03-11-01	ELW 1	LZG	
Florian Steinburg 03-18-01	MTW	LZG	
Florian Steinburg 03-54-01	GW-G	LZG	
Florian Steinburg 03-57-01	GW-AS	LZG	
Florian Steinburg 03-63-01	WLF-26	LZG	
Florian Steinburg 03-63-02	WLF-26	LZG	
Florian Steinburg 03-67-01	GW-L1	LZG	
Florian Steinburg 03-69-01	sonLog	LZG	
Florian Steinburg 03-71-01	CBRNErkW	LZG	
Florian Steinburg 03-72-01	ReakErk	Standort Wrist	
Florian Steinburg 03-72-02	ReakErk	Standort Schenefeld	
Florian Steinburg 03-72-03	ReakErk	Standort Glückstadt	
Florian Steinburg 03-72-04	ReakErk	Standort Wilster	
Florian Steinburg 03-74-01	GWDekonP	LZG	
	AB-Dekon		
	AB-A/S		
	AB-Mulde		
	AB-Pritsche		
			
Florian Steinburg 04	Feuerwehrbereitschaft		Elmshorner Straße 48, 25524 Münsterdorf
Florian Steinburg 04-14-01	MZF	Feuerwehrbereitschaft	
Florian Steinburg 04-18-01	MTW	Feuerwehrbereitschaft	
Florian Steinburg 04-47-01	LF-KatS	Standort Hohenaspe	
Florian Steinburg 04-47-02	LF-KatS	Standort Siehtwende	
Florian Steinburg 04-47-03	LF-KatS	Standort Krempe	
Florian Steinburg 04-47-04	LF-KatS	Feuerwehrbereitschaft	
Florian Steinburg 04-61-01	SW 2000Tr	Feuerwehrbereitschaft	
			
Florian Steinburg 05	FF Breitenberg-Moordiek	Amt Breitenburg	Dörpstraat 8, 25597 Westermoor
Florian Steinburg 05-41-01	TSF-W		
			
Florian Steinburg 06	FF Breitenburg	Amt Breitenburg	Heideweg 23, 25524 Breitenburg
Florian Steinburg 06-14-01	MZF		
Florian Steinburg 06-41-01	MLF		
Florian Steinburg 06-42-01	LF 8		
			
Florian Steinburg 07	FF Münsterdorf	Amt Breitenburg	Kirchenfeld 1 25587 Münsterdorf
Florian Steinburg 07-44-01	LF 10-6		
Florian Steinburg 07-46-01	LF 20		
			
Florian Steinburg 08	FF Oelixdorf	Amt Breitenburg	Oberstraße 56, 25524 Oelixdorf
Florian Steinburg 08-11-01	ELW		
Florian Steinburg 08-41-01	MLF		
Florian Steinburg 08-44-01	LF 8-6		
			
Florian Steinburg 09	FF Westermoor-Kronsmoor	Amt Breitenburg	Dörpstraat 36, 25597 Westermoor
Florian Steinburg 09-40-01	TSF		
			
Florian Steinburg 10	FF Itzehoe	Stadt Itzehoe	Hindenburgstraße 48, 25524 Klosterforst Itzehoe
Florian Steinburg 10-10-01	KdoW		
Florian Steinburg 10-10-02	KdoW		
Florian Steinburg 10-11-01	ELW 1		
Florian Steinburg 10-18-01	MTW		
Florian Steinburg 10-18-02	MTW		
Florian Steinburg 10-18-03	MTW		
Florian Steinburg 10-21-01	TLF 16-24		
Florian Steinburg 10-32-01	DLK 23		
Florian Steinburg 10-32-02	DLK 23		
Florian Steinburg 10-48-01	HLF 20-16		
Florian Steinburg 10-48-02	LF 20		
Florian Steinburg 10-48-03	HLF 20		
Florian Steinburg 10-48-04	HLF 20		
Florian Steinburg 10-51-01	RW 2		
Florian Steinburg 10-56-01 A	GW-A		
Florian Steinburg 10-58-01	GW-W		
Florian Steinburg 10-63-01	WLF-26		
Florian Steinburg 10-64-01	WLF-Lkr		
Florian Steinburg 10-68-01	GW-L2		
Florian Steinburg 10-69-01	sonLog		
Florian Steinburg 10-69-02	sonLog		
Florian Steinburg 10-78-01	MZB		
			
Florian Steinburg 11	FF Blomesche Wildnis	Amt Horst-Herzhorn	Sperforkenweg 18, 25348 Blomesche Wildnis
Florian Steinburg 11-41-01	StLF 10-6		
		
Florian Steinburg 12	FF Borsfleth	Amt Horst-Herzhorn	Schulstraße 36, 25376 Borsfleth
Florian Steinburg 12-41-01	TSF-W		
			
Florian Steinburg 13	FF Engelbrechtsche Wildnis	Amt Horst-Herzhorn	Herzhorner Rhin 1, 25348 Engelbrechtsche Wildnis
Florian Steinburg 13-44-01	LF 10-6		
			
Florian Steinburg 14	FF Gehlensiel	Amt Horst-Herzhorn	Gehlensiel 9b 25379 Herzhorn
Florian Steinburg 14-40-01	TSF		
			
Florian Steinburg 14	FF Herzhorn	Amt Horst-Herzhorn	Reinenreihe 32, 25379 Herzhorn
Florian Steinburg 14-40-02	TSF		
Florian Steinburg 14-41-01	TSF-W		
			
Florian Steinburg 15	FF Kollmar-Bielenberg	Amt Horst-Herzhorn	Wiesengrund 1, 25377 Kollmar
Florian Steinburg 15-41-01	StLF 10-6		
			
Florian Steinburg 15	FF Langenhals	Amt Horst-Herzhorn	Moorhusen 55a 25377 Kollmar
Florian Steinburg 15-41-02	TSF-W		
			
Florian Steinburg 16	FF Krempdorf	Amt Horst-Herzhorn	Dorfstraße 51, 25376 Krempdorf
Florian Steinburg 16-40-01	TSF		
			
Florian Steinburg 17	FF Neuendorf b.E.	Amt Horst-Herzhorn	Moorhusen 7a, 25335 Neuendorf bei Elmshorn
Florian Steinburg 17-41-01	StLF 10-6		
			
Florian Steinburg 18	FF Hungriger Wolf-Bücken	Amt Kellinghusen	Bücken 12, 25551 Hohenlockstedt
Florian Steinburg 18-41-01	TSF-W		
