Rettung Steinburg 20-10-01	KdoW ORGL	Kein fester Standort, personengebunden
Rettung Steinburg 20-10-02	KdoW LNA	
		
IZ-RW-21 Itzehoe	Robert-Koch-Straße 2	25524 Itzehoe
Rettung Steinburg 21-82-01	NEF	
Rettung Steinburg 21-83-01	RTW	
Rettung Steinburg 21-83-02	RTW	
Rettung Steinburg 21-85-01	KTW	
Rettung Steinburg 21-85-02	KTW	
Rettung Steinburg 21-85-03	KTW	
Rettung Steinburg 21-85-04	KTW	neu 2020
Rettung Steinburg 21-85-05	Fern-KTW	
Rettung Schleswig-Holstein	77-84-01	VEF
		
Rettung Steinburg 20-10-01	ELW-RD	
Rettung Steinburg 20-18-01	MTW	
Rettung Steinburg 20-82-01	NEF	Reserve
Rettung Steinburg 20-83-01	RTW	Reserve
Rettung Steinburg 20-83-02	RTW	Reserve
Rettung Steinburg 20-83-03	RTW	an Wache Kellinghusen Reserve
Rettung Steinburg 20-83-04	RTW	Reserve
Rettung Steinburg 20-83-05	RTW	Reserve
		
IZ-RW-22 Glückstadt	Itzehoer Straße 1	25348 Glückstadt 
Rettung Steinburg 22-83-01	RTW	
Rettung Steinburg 22-83-02	RTW	
Rettung Steinburg 20-85-01	KTW Reserve	
		
IZ-RW-23 Kellinghusen	Lockstedter Weg 1	25548 Kellinghusen 
Rettung Steinburg 23-83-01	RTW	
Rettung Steinburg 23-83-02	RTW	
Rettung Steinburg 20-83-03	RTW Reserve	
		
IZ-RW-24 Büchsenkate	Hauptstraße 28	25524 Bekmünde 
Rettung Steinburg 24-83-01	RTW	
		
IZ-RW-25 Nordoe	Elmshorner Straße 44	25524 Breitenburg / Nordoe
Rettung Steinburg 25-83-01	RTW	
Rettung Steinburg 25-83-02	RTW	neu 2020
Rettung Steinburg 25-85-01	KTW	
		
DRK KV Steinburg	Bahnhofstraße 11	25524 Itzehoe (Fahrzeuge stehen in Nordoe)
		
		
DRK OV Itzehoe	Elmshorner Straße 46	25524 Breitenburg
Rotkreuz Steinburg 20-10-01	KdoW	
Medizinische Führungsgruppe		
Rotkreuz Steinburg 20-11-01	ELW	VW LT 2. Generation langer Radstand
Rotkreuz Steinburg 20-13-01	GW-FÜ	
Rotkreuz Steinburg 20-15-01	Krad	
Rotkreuz Steinburg 20-15-02	Krad	
1.+2. Sanitätsgruppe + 2. Betreuungsgruppe + 1. Logistikgruppe		
Rotkreuz Steinburg 25-18-01	MTW	
Rotkreuz Steinburg 25-67-01	GW-Betreuung	
Rotkreuz Steinburg 25-68-01	GW-Logistik	
Rotkreuz Steinburg 25-90-01	B-KTW	
Rotkreuz Steinburg 25-90-02	B-KTW	
Rotkreuz Steinburg 25-92-01	4-Tragen-KTW	
Rotkreuz Steinburg 25-92-03	4 Tragen-KTW	
Rotkreuz Steinburg 25-93-01	S-KTW	
Rotkreuz Steinburg 25-95-01	GW-San	
Rotkreuz Steinburg 25-95-02	GW-San	
Rotkreuz Steinburg 25-96-01	ATW	
Rotkreuz Steinburg 25-98-01	GW-Logistik	
Rotkreuz Steinburg 25-98-02	GW-Logistik	
		
DRK OV Glückstadt	An der Chaussee 34 C	25348 Glückstadt
Rotkreuz Steinburg 22-11-01	ELW	Audi A6
Rotkreuz Steinburg 22-85-01	KTW-B	
Rotkreuz Steinburg 22-87-01	KTW4	
		
DRK OV Wilster	Am Bahndamm 1	25554 Wilster
Rotkreuz Steinburg 24-10-01	KdoW	
Rotkreuz Steinburg 24-18-01	MTW	Medizinische Task Force
Rotkreuz Steinburg 24-59-01	Gerätewagen	
Rotkreuz Steinburg 24-85-01	RTW/KTW	
Rotkreuz Steinburg 24-90-01	NKTW-B	
Rotkreuz Steinburg 24-92-01	KTW4	
		
	ATV / Quad	
	Kärcher Feldküche TFK 250	
	Anhänger	Zelt, Beleuchtung,...
		
DRK OV Kellinghusen	Breitenberger Str.6 / Lornsenstraße 4 (Fahrzeughallen)	25548 Kellinghusen
Rotkreuz Steinburg 23-18-01	MTW Rettungshundestaffel	
Rotkreuz Steinburg 23-18-02	MTW	
Rotkreuz Steinburg 23-85-01	KTW	
Rotkreuz Steinburg 23-90-01	NKTW	
Rotkreuz Steinburg 23-92-01	KTW-4	
Rotkreuz Steinburg 23-92-02	KTW-4	
		
		
DLRG OG Itzehoe	Marienburger Platz 3 oder Sandkuhle 14	25524 Itzehoe
	MTW	
	Boot	
