Funkrufname	Fahrzeugtyp	Kommentare
Stadt Reinbek		
FF Reinbek 90	Klosterbergenstrasse 1b	21465 Reinbek
Florian Stormarn 90-10-01	KdoW	
Florian Stormarn 90-11-01	ELW	
Florian Stormarn 90-18-01	MTW	
Florian Stormarn 90-18-02	MTW	
Florian Stormarn 90-18-03	MTW	
Florian Stormarn 90-32-01	DLK	
Florian Stormarn 90-46-01	LF 10	1.600l Wasser
Florian Stormarn 90-48-01	LF 16/12	1.800l Wasser
Florian Stormarn 90-48-02	HLF 20	2.000l Wasser
Florian Stormarn 90-51-01	RW	
Florian Stormarn 90-67-01	GW-L	
		
FF Schönningstedt 91	Oher Straße 18	21465 Reinbek
Florian Stormarn 91-18-01	MTW	
Florian Stormarn 91-46-01	LF 20	2.000l Wasser
Florian Stormarn 91-48-01	HLF 20	2.000l Wasser
Florian Stormarn 91-96-01	MZF-T	MTW+ Einsatzstellenhygiene
		
FF Ohe 92	Hoibeken 6	21465 Reinbek
Florian Stormarn 92-10-01	KdoW	
Florian Stormarn 92-11-01	ELW 1	
Florian Stormarn 92-18-01	MTW	
Florian Stormarn 92-46-01	LF 20	
Florian Stormarn 92-48-01	HLF 20/16	
		
Gemeinde Oststeinbek		
FF Oststeinbek 93	Stormarnstraße 2	22113 Oststeinbek
Florian Stormarn 93-14-01	MZF	eingesetzt als ELW 1
Florian Stormarn 93-14-02	MZF	KdoW GBM
Florian Stormarn 93-18-01	MTW	
Florian Stormarn 93-18-02	MTW	
Florian Stormarn 93-36-01	HuRW	TMF+RW
Florian Stormarn 93-46-01	LF 20/25	
Florian Stormarn 93-48-01	HLF	
Florian Stormarn 93-68-01	GW Logistik	
Anhänger Boot		
		
FF Havighorst 94	Dorfstraße 49	22113 Oststeinbek
Florian Stormarn 94-19-01	MTW	
Florian Stormarn 94-42-01	LF 8/6	
Florian Stormarn 94-59-01	GW-L2	TS, Wassertank, Schläuche, Öl, TP
		
		
Stadt Glinde		
FF Glinde 80	Oher Weg 8	21509 Glinde
Florian Stormarn 80-10-01	KdoW	
Florian Stormarn 80-10-02	KdoW	
Florian Stormarn 80-11-01	ELW	
Florian Stormarn 80-14-01	MZF	ELW/MTW
Florian Stormarn 80-18-01	MTW	
Florian Stormarn 80-18-03	MTW	
Florian Stormarn 80-32-01	DLK 23/12	
Florian Stormarn 80-41-01	MLF	600l Wasser, 3000er Pumpe
Florian Stormarn 80-46-01	LF 20	3.000l Wasser, 3500er Pumpe
Florian Stormarn 80-48-01	LF 10/6	1.000l Wasser, 2000er Pumpe
Florian Stormarn 80-48-02	HLF 20/16	1.600l Wasser, 2000er Pumpe
Florian Stormarn 80-63-01	WLF	
Florian Stormarn 80-69-01	MZF-T Material/Rollcontainer	
Florian Stormarn 03-71-01	ABC-Erkunder	Löschzug Gefahrgut
AB Logistik		
AB Mulde		
AB Umwelt		
AB Wasser/Schaum		7.000l Wasser, 1.000l Schaum, TS
2 Gabelstapler		
3 Anhänger		
Anhänger Stromerzeuger 100 kVA		
Florian Stormarn 80-22-01 TLF 16/24		Oldtimer
		
Gemeinde Barsbüttel		
FF Barsbüttel 95	Hauptstraße 38e	22885 Barsbüttel
Florian Stormarn 95-11-01	ELW 1	
Florian Stormarn 95-18-01	MTW	
Florian Stormarn 95-32-01	DLK 23	
Florian Stormarn 95-46-01	LF 20	2.000l Wasser, 2000er Pumpe
Florian Stormarn 95-48-01	HLF 20/16	2.500l Wasser, 2000er Pumpe
Florian Stormarn 95-61-01	SW 2000	
		
FF Stellau 98	Am Spritzenhaus 2	22885 Barsbüttel
Florian Stormarn 98-18-01	MTW	
Florian Stormarn 98-47-01	LF 20/16	2.000l Wasser, 3000er Pumpe
Florian Stormarn 98-68-01	GW-L2	Atemschutz, Gefahrgut, Öl
Anhänger Transport		
Anhänger SEA		
		
FF Stemwarde 97	Dorfring 16	22885 Barsbüttel
Florian Stormarn 97-18-01	MTW	
Florian Stormarn 97-48-01	LF 16/12	2.000l Wasser, 1600er Pumpe, TH-Beladung
