Funkrufname	Fahrzeugtyp	Kommentare
Rettungsdienst Landkreis Stormarn		
		
IRLS SÜD	Mommsenstraße 13	23843 Bad Oldesloe
Kater Stormarn 01-10-01	KdoW KatS	
Kreis Stormarn 01-10-10	PKW Leitungsdienst	
Kreis Stormarn 01-10-11	PKW IT-Support-Leitstelle	
Kreis Stormarn 01-10-12	PKW Leitungsdienst	
Kreis Stormarn 01-13-10	GW-Fernmeldedienst	
Rettung Stormarn 01-10-01	KdoW ORGL	an Leitstelle oder beim Diensthabenden zu Hause
Rettung Stormarn 01-10-02	KdoW LNA	beim Diensthabenden
		
OD-RW-20-Reinfeld	Grootkoppel 2a	23858 Reinfeld
Rettung Stormarn 20-83-1	RTW	
		
OD-RW-30-Bad Oldesloe	Rögen 38a	23843 Bad Oldesloe
Rettung Stormarn 30-82-01	NEF	
Rettung Stormarn 30-83-01	RTW	
Rettung Stormarn 30-83-02	RTW	
Rettung Stormarn 30-83-03	RTW	
Rettung Stormarn 30-85-01	KTW	
		
OD-RW-50-Bargteheide 1	Alter Sportplatz 8	22941 Bargteheide
Rettung Stormarn 50-83-01	RTW	
		
OD-RW-50-Bargteheide 2	Carl-Benz-Weg 1	22941 Bargteheide
Rettung Stormarn 50-83-02	RTW	
Rettung Stormarn 50-83-03	RTW	
		
OD-RW-60-Ahrensburg	Roggenweg 1	22926 Ahrensburg
Rettung Stormarn 60-82-01	NEF	
Rettung Stormarn 60-83-01	RTW	
Rettung Stormarn 60-83-02	RTW	
Rettung Stormarn 60-83-03	RTW	
div. Reserve-Fahrzeuge		
		
OD-RW-65-Kayhude	Segeberger Str. 107	23863 Kayhude
Rettung Stormarn 65-83-01	RTW	
		
OD-RW-70-Trittau	Rausdorfer Straße 5b	22946 Trittau
Rettung Stormarn 70-83-01	RTW	
Rettung Stormarn 70-83-02	RTW	
		
OD-RW-90-Reinbek	Hamburger Straße 47	21465 Reinbek
Rettung Stormarn 90-82-01	NEF	24h
Rettung Stormarn 90-83-01	RTW	24h
Rettung Stormarn 90-83-02	RTW	24h
Rettung Stormarn 90-83-03	RTW	
Reserve-RTW, falls nicht zu viele FZ kaputt sind		
		
OD-RW-91-Neuschönningstedt	Birkenweg 3a	21465 Reinbek
Rettung Stormarn 91-83-01	RTW	(24h)
		
OD-RW-97-Stemwarde 1	Bachstraße 6a	22885 Stemwarde
Rettung Stormarn 97-83-01	RTW	
Rettung Stormarn 97-83-02	RTW	
Rettung Stormarn 97-83-03	RTW	
Rettung Schleswig-Holstein 81-84-01	VEF	
	Reserve RTW	
		
OD-RW-97-Stemwarde 2	Kiebitzhörn 34	22882 Barsbüttel
Rettung Stormarn 30-85-01	KTW	
Rettung Stormarn 97-85-01	KTW	
Rettung Stormarn 97-85-02	KTW	
Rettung Stormarn 97-85-03	KTW	
Rettung Stormarn 97-85-04	KTW	
Rettung Stormarn 97-85-05	KTW	
Rettung Stormarn 97-85-06	KTW	
		
DRK OV Reinfeld	Holländerkoppel 8	23858 Reinfeld
Regie Stormarn 20/18-01	BtKombi	
Regie Stormarn 20/92-01	KTW 4	
Regie Stormarn 20/98-01	LKW-Bt	
Regie Stormarn 20/98-02	GW-Bt	
	Feldkochherd	
		
DLRG OG Reinfeld	Lokfelder Straße 13a	23858 Reinfeld
Pelikan Stormarn 20/14-02	MTW	
Pelikan Stormarn 20/19-01	MTW	
Pelikan Stormarn 20/19-02	MTW	
		
ASB RV Stormarn-Segeberg	Hermann-Büssow-Straße 14	23843 Bad Oldesloe
Sama Stormarn 30/14-10	MZF	
Sama Stormarn 30/14-11	MZF	
Sama Stormarn 30/14-12	MZF	
Sama Stormarn 30/14-13	MZF	
Sama Stormarn 30/15-10	Quad	
		
JUH OV Bad Oldesloe	Louise-Zietz-Straße 2	23843 Bad Oldesloe
Rettung Stormarn 01/90-01	N-KTW B	
Akkon Stormarn 30/18-10	MTW	
Regie Stormarn 30/93-04	N-KTW B 4x4	
Akkon Stormarn 30/98-11	BetrLKW	JUH BTP 200
		
KatS-Zentrum Bad Oldesloe	Turmstraße 8-12	23843 Bad Oldesloe
SEG Sanität:		
Regie Stormarn 30/10-01	KdoW SEG San	
Regie Stormarn 30/18-01	MTW SEG	
Regie Stormarn 30/90-01	N-KTW	
Regie Stormarn 30/90-02	N-KTW	
Regie Stormarn 30/93-01	N-KTW 4x4	
Regie Stormarn 30/93-02	N-KTW 4x4	
Regie Stormarn 30/93-03	N-KTW 4x4	
Regie Stormarn 30/95-01	GW-San	
		
SEG Transport:		
Sama Stormarn 30/14-10	MZF	
Sama Stormarn 30/83-10	RTW	
Sama Stormarn 30/83-11	RTW	
Rettung Stormarn 01/11-01	ELW	
Rettung Stormarn 01/90-02	N-KTW	
Rettung Stormarn 01/90-03	N-KTW	
		
SEG Betreuung:		
Regie Stormarn 30/11-01	ELW Betreuung	
Regie Stormarn 30/18-02	MTW Betreuung	
Regie Stormarn 30/18-03	MTW Betreuung	
Regie Stormarn 30/98-01	GW-Bt/Logistik	
Regie Stormarn 30/98-02	GW-Bt/Logistik	
		
DLRG Stormarn	Alter Sportplatz 8	22941 Bargteheide
Pelikan Stormarn 50/10-10	KdoW/MZF	
Pelikan Stormarn 50/14-10	MZF	
Pelikan Stormarn 50/78-10	MRB	
Pelikan Stormarn 50/78-11	MRB	
Pelikan Stormarn 50/78-12	MRB	
		
KatS Zentrum Hammoor	Hauptstraße 4a	22941 Hammoor
Technische Einsatzleitung (TEL):		
Florian Stormarn 02/10-01	KdoW	
Florian Stormarn 02/11-01	ELW 1	
Florian Stormarn 02/12-01	ELW 2	
Florian Stormarn 02/13-01	GW Drohnengruppe	
		
Löschzug-Gefahrgut Stormarn (LZ-G):		
Florian Stormarn 03/11-01	ELW 1	
		
SEG Sanität / Katastrophenschutz (6. Sanitätsgruppe - ASB)		
Regie Stormarn 59/90-02	N-KTW	
Regie Stormarn 59/95-01	GW-San	
		
SEG Sanität / Katastrophenschutz (7. Sanitätsgruppe - DLRG)		
Rettung Stormarn 01/90-04	NKTW	
Regie Stormarn 59/93-01	NKTW 4x4	
		
SEG Sanität / Katastrophenschutz (1. Sanitätsgruppe - DRK)		
Regie Stormarn 59/90-01	N-KTW	
Rettung Stormarn 01/93-01	N-KTW 4x4	
		
SEG Betreuung (4. Betreuungsgruppe - MHD)		
Regie Stormarn 59/98-01	GW-Bt	
		
MHD Ahrensburg	Am Weinberg 8	22926 Ahrensburg
Johannes Stormarn 60/17-10	PKW	
Johannes Stormarn 60/18-01	MTW	
Rettung Stormarn 01/93-02	N-KTW gl	SEG Rettung
Regie Stormarn 60/90-01	N-KTW	
Regie Stormarn 60/96-01	GW-San	
		
DRK OV Großhansdorf	Papenwisch 30	22927 Großhansdorf
Rotkreuz Stormarn 71/19-01	MTW	
Rotkreuz Stormarn 71/19-02	MTW	
Rotkreuz Stormarn 71/90-10	N-KTW	
		
DRK OV Reinbek	Birkenweg 3	21465 Reinbek
Regie Stormarn 91/18-01	Bt-Kombi	
Rotkreuz Stormarn 91/18-10	MTW	
Rotkreuz Stormarn 91/83-10	RTW	San/SEG
Rotkreuz Stormarn 91/98-10	Bt-LKW	
	Anh-Feldkochherd	
	Anh-Cube (mobiler Raum)	
