Funkrufname	Fahrzeugtyp	Kommentare
Rettungsdienst Landkreis Stormarn		
		
ORGL zu 98% in Bad Oldesloe, aber auch zu Hause		
Rettung Stormarn 01-10-01	KdoW ORGL	
LNA meistens per FF-Shuttle, oder mit:		
Rettung Stormarn 01-10-02	KdoW LNA	
		
OD-RW-20-Reinfeld	Grootkoppel 2a	23858 Reinfeld
Rettung Stormarn 20-83-1	RTW	
		
OD-RW-30-Bad Oldesloe	Rögen 38a	23843 Bad Oldesloe
Rettung Stormarn 30-82-01	NEF	
Rettung Stormarn 30-83-01	RTW	
Rettung Stormarn 30-83-02	RTW	
Rettung Stormarn 30-83-03	RTW	
Rettung Stormarn 30-85-01	KTW	
		
OD-RW-50-Bargteheide 1 (Rettungsdienst Stormarn)	Alter Sportplatz 8	22941 Bargteheide
Rettung Stormarn 50-83-01	RTW	
		
OD-RW-50-Bargteheide 2 (Rettungsdienst Stormarn)	Carl-Benz-Weg 1	22941 Bargteheide
Rettung Stormarn 50-83-02	RTW	
		
OD-RW-60-Ahrensburg	Roggenweg 1	22926 Ahrensburg
Rettung Stormarn 60-82-01	NEF	
Rettung Stormarn 60-83-01	RTW	
Rettung Stormarn 60-83-02	RTW	
Rettung Stormarn 60-83-03	RTW	
div. Reserve-Fahrzeuge		

OD-RW-65-Kayhude	Segeberger Str. 107	23863 Kayhude
Rettung Stormarn 65-83-01	RTW	
		
OD-RW-70-Trittau	Rausdorfer Straße 5b	22946 Trittau
Rettung Stormarn 70-83-01	RTW	
Rettung Stormarn 70-83-02	RTW	
		
OD-RW-90-Reinbek	Hamburger Straße 47	21465 Reinbek
Rettung Stormarn 90-82-01	NEF	24h
Rettung Stormarn 90-83-01	RTW	24h
Rettung Stormarn 90-83-02	RTW	24h
Rettung Stormarn 90-83-03	RTW	
Reserve-RTW, falls nicht zu viele FZ kaputt sind		
		
OD-RW-91-Neuschönningstedt	Birkenweg 3a	21465 Reinbek
Rettung Stormarn 91-83-01	RTW	(24h)
		
OD-RW-97-Stemwarde (Rettungsdienst Stormarn)	Bachstraße 6a	22885 Stemwarde
Rettung Stormarn 97-83-01	RTW	
Rettung Stormarn 97-83-02	RTW	
Rettung Stormarn 97-83-03	RTW	
Rettung Stormarn 97-85-01	KTW	
Rettung Stormarn 97-85-02	KTW	
Rettung Stormarn 97-85-03	KTW	
