----- Regionalstelle Schleswig: -----		
		
THW OV Eckernförde	Horn 6	24340 Eckernförde
>>> Zugtrupp		
Heros Eckernförde 21/10	MTW ZugTr	
	Anhänger 2t	
	Anhänger NEA 100kVA LiMa	
		
>>> Bergungsgruppe		
Heros Eckernförde 22/51	GKW I	
	Plattformanhänger Wechselbrücke EGS	
		
>>> Fachgruppe N		
Heros Eckernförde 24/55	MzGW	
	Anhänger NEA 50kVA LiMa	
		
>>> Fachgruppe Wassergefahren (A)		
Heros Eckernförde 36/46	LKW-Lkr	
Heros Eckernförde 36/81	MZAB I	
Heros Eckernförde 36/82	MZAB II	
Heros Eckernförde 36/85	MZB	
Heros Eckernförde 36/87	Schlauchboot	
	3x Anhänger für die Boote	
	ROV (Tauchroboter)	
	2x mobiles Sonar	
		
>>> Fachgruppe Räumen		
Heros Eckernförde 43/62	LKW-K 7t	
Heros Eckernförde 43/73	Teleskoplader	
	Anhänger Tieflader 18t	
		
>>> OV Stab		
Heros Eckernförde 86/21	PKW OV	
Heros Eckernförde 86/25	MTW OV	
	Einachs-Ackerschlepper Jugendgruppe	
	Anhänger Jugendgruppe	
	Anhänger Ölwehr 43 Tiereinsatzgruppe	
		
		
THW OV Flensburg	Lilienthalstraße 46	24941 Flensburg
>> 1. Technischer Zug:		
>>>>>> Zugtrupp		
Heros Flensburg 21/10	MTW TZ	
		
>>> Bergungsgruppe		
Heros Flensburg 22/51	GKW I	
	Anhänger BDF Lafette	EGS / Holz
		
>>> Fachgruppe N		
Heros Flensburg 24/55	MzGW	
	Anhänger SEA 200kVA	
	Anhänger 5t Betreuung	
		
>>> Fachgruppe W/P (A)		
Heros Flensburg 38/34	MLW IV	
Heros Flensburg 38/43	LKW Lbw	
	Anhänger Schmutzwasserpumpe 5000l Börger	
	Anhänger 7t	
		
>> Fachzug Führung und Kommunikation:		
>>>>> Zugtrupp FZ FK		
Heros Flensburg 16/11	FüKW	
>>> Fachgruppe Führungsunterstützung		
Heros Flensburg 17/12	FüKomKW	
	Anhänger Führung/Lage	
>>> Fachgruppe Kommunikation (A)		
Heros Flensburg 18/13	FmKW	
Heros Flensburg 18/31	MLW I	
		
>>> ÖGA Ölwehr (LKN / Havariekommando)		
	Mehrzweckarbeitsboot (Havariekommando)	Ölwehr 4
	Mehrzweckboot (LKN.SH)	Ölwehr 27
	Anhänger Mobmatic-Ölwringer (LKN.SH)	
	Anhänger Dickstoffpumpe/Öl (LKN.SH)	
	Anhänger Ölsperre Binnen/Hafen (LKN.SH)	
	Anhänger Trailer MzAB (Havariekommando)	
	Anhänger Trailer MzB (LKN.SH)	
	Anhänger Trailer Schlauchboot (LKN.SH)	
	Abrollbehälter Ölsperre Hochsee (Havariekommando)	
	Abrollbehälter Ölsperre Hochsee (Havariekommando)	
		
>>> ÖGA Trinkwassernotbrunnen		
Heros Flensburg 86/32	MLW II Unimog	
		
>>> Ortsverband und Stab:		
Heros Flensburg 86/25	MTW Jugend/OV-Stab	
	Anhänger 750 kg	OV/THW-Jugend
	Schlauchboot	
		
		
THW OV Husum	Johannes-Mejer-Straße 9	25813 Husum
>> 1. Technischer Zug		
>>>>> Zugtrupp		
Heros Husum 21/10	MTW Ztr	
		
>>> Bergungsgruppe		
Heros Husum 22/51	GKW I	
	Anhänger BDF Lafette EGS	
		
>>> Fachgruppe N		
Heros Husum 24/54	MzKW	
	Anhänger NEA 50 kVA LiMa	
		
>>> Fachgruppe Räumen		
Heros Husum 43/62	LKW 7 t gl Kipper	
Heros Husum 43/73	BRmG Teleskoplader	
	Anhänger Drucklufterzeuger	
	Anhänger Tieflader	
		
>> Fachzug Logistik		
>>> Gruppe Logistik Verpflegung		
Heros Husum 64/26	MW Fgr	
Heros Husum 64/43	Lkw 7t gl Lbw	
	Anhänger Feldküche	
		
>>> OV Stab		
Heros Husum 86/25	MTW OV	
	Anhänger Pritsche/Plane	
		
		
THW OV Kiel	Georg-Feydt-Weg 35	24109 Kiel
>> Technischer Zug:		
>>>>> Zugtrupp		
Heros Kiel 21/10	MTW-TZ	
		
>>> Bergungsgruppe		
Heros Kiel 22/51	GKW I	
	Anhänger Wechselbrücke	Einsatz-Gerüst-System
		
>>> Fachgruppe N		
Heros Kiel 24/55	MzGW	
	Anhänger NEA 50 kVA mit Lichtmast	
		
>>> Fachgruppe Schwere Bergung (A)		
Heros Kiel 25/54	MzKW	
		
>>> FGr Wassergefahren (B)		
Heros Kiel 37/46	LKW Lkr 27 mt	
Heros Kiel 37/xx	4x Halbponton	
Heros Kiel 37/xx	Rettungs- und Sicherungsboot	
	Anhänger Mehrzweckponton	
	Anhänger Rettungs- und Sicherungsboot	
	Fährenoberbaugerät für Mehrzweckpontons	
		
>>> FGr Ortung (A)		
Heros Kiel 44/35	MLW V	
	Anhänger Hundetransport	
		
>>>>> Trupp Unbemanntes Luftfahrzeug		
Heros Kiel xx/xx	PKW	
		
>>> FGr Ölschaden (B)		
Heros Kiel 56/45	LKW Lkr 19 mt	
Heros Kiel 56/65	WLF	
	Anhänger Abrollbehälter	
	Anhänger Tieflader	
Heros Kiel 56/69	Hägglunds Bv206	
	Mitnahmestapler 3 t gl	
Heros Kiel 56/xx	MzAB Ölschaden	
	diverses Ölwehrgerät	
>>> Ortsverband		
Heros Kiel 86/25	MTW	
Heros Kiel 86/35	MLW 5	
	Anhänger PKW 1,3 to	
		
		
THW OV Niebüll	Gather Landstraße 80	25899 Niebüll
>> Technischer Zug		
>>>>> Zugtrupp		
Heros Niebüll 21/10	MTW TZ	
		
>>> Bergungsgruppe		
