Rettungsleitstelle See	Werderstraße 2	28199 Bremen
Maritime Rescue Co-ordination Centre (MRCC) Bremen		
		
Nordsee		
		
Station Cuxhaven	Am Seedeich 36a Fährhafen	27472 Cuxhaven
Anneliese Kramer DBAM	Seenotrettungskreuzer	 
		
Station Brunsbüttel	Schillerstraße / am Leitwerk vor der Nordschleuse	25541 Brunsbüttel
Gillis Gullbranssson DD 4598	Seenotrettungsboot	
		
Station Bremerhaven	Am Alten Vorhafen 12	27568 Bremerhaven
Hermann Rudolf Meyer DBAC	Seenotrettungskreuzer	 
		
Station Fedderwardersiel	Am Hafen	26969 Fedderwardersiel
Emil Zimmermann DD 4662	Seenotrettungsboot	
		
Station Deutsche Bucht/Helgoland	Südhafen/Westkaje	27498 Helgoland
Hermann Marwede DBAR	Seenotrettungskreuzer	
		
Station Büsum	Am Museumshafen 21	25761 Büsum
Theodor Storm DBAI	Seenotrettungskreuzer	
		
Station Eiderdamm	Nordseite, Zugang über Katinger Watt, Wesselburenerkoog	25764 Eiderdamm
Paul Neisse DJ 5386	Seenotrettungsboot	
		
Station Nordstrand	Hörnstraße 3	25845 Nordstrand
Eiswette DBAB	Seenotrettungskreuzer	
		
Station Amrum	Zum Tonnenhafen	25946 Amrum
Ernst Meier-Hedde DBAQ	Seenotrettungskreuzer	
		
Station Hörnum	Am Kai (Hafenamt)	25980 Hörnum
Horst Heiner Kneten DH 2306	Seenotrettungsboot	
		
Station List	Am Fähranleger 1	25992 List/Sylt
Pidder Lüng DBAP	Seenotrettungskreuzer	
		
Station Wilhelmshaven	Wangeroogekai Schleuseninsel	26382 Wilhelmshaven
Peter Habig DBAJ	Seenotrettungsboot	
		
Station Hooksiel	An der Schleuse	26434 Hooksiel
Bernhard Gruben DBBS	Seenotrettungskreuzer	
		
Station Horumersiel	Zum Hafen	26434 Horumersiel
Wolfgang Paul Lorenz DBKT	Seenotrettungsboot	
		
Station Wangerooge	Ponton am Fähranleger	26486 Wangerooge
Fritz Thieme DA 6179	Seenotrettungsboot	
		
Station Neuharlingersiel	Am Hafen West	26427 Neuharlingersiel
Courage DBAI 2	Seenotrettungsboot	
		
Station Langeoog	Hafendeichstraße 2	26465 Langeoog
Secretarius DD 9495	Seenotrettungsboot	
		
Station Baltrum	Haus Nr. 300	26579 Baltrum
Elli Hoffmann-Röser DK3090	Seenotrettungsboot	
		
Station Norderney	Am Hafen 9	26548 Norderney
Eugen DBAV	Seenotrettungskreuzer	
		
Station Norddeich	Johann-Jannsen-Pad/Am Yachthafen	26506 Norddeich
Otto Diersch DBKX	Seenotrettungsboot	
		
Station Juist	Otto-Mann-Haus, Am Hafen	26571 Juist
Hans Dittmer DK 7002	Seenotrettungsboot	
		
Station Borkum	Am Neuen Hafen	26757 Borkum
Hamburg DBAU	Seenotrettungskreuzer	
		
Ostsee		
		
Station Langballigau	Strandweg 1a	24977 Langballigau
Werner Kuntze DD4639	Seenotrettungsboot	
		
Station Gelting	Gelting-Mole Niesgrau	24395 Gelting
Urusula Dettmann DD4353	Seenotrettungsboot	
		
Station Maasholm	Hauptstraße 43	24404 Maasholm
Hellmut Manthey DK3849	Seenotrettungsboot	
		
